Symbol,sex,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,restoration_FOSGOS
Slc35f6,F,2.181158015,0.188,restored
Slc7a11,F,-2.524454055,0.106,restored
Socs5,F,-2.285002983,0.154,restored
Sox5,F,-2.043101066,0.145,restored
Spata31f3,F,-3.35857507,0.023,restored
Spats2l,F,-2.10427917,0.138,restored
Sptssb,F,-5.341485205,0.003,restored
Srgap1,F,-4.026714802,0.016,restored
Srgap2,F,-2.267996692,0.141,restored
Svep1,F,-2.765665379,0.082,restored
Syne3,F,-3.672657438,0.015,restored
Tal2,F,1.875736508,0.188,restored
Tasor,F,-2.206441455,0.104,restored
Tctn3,F,-2.222338786,0.125,restored
Tekt4,F,2.272448536,0.126,restored
Tfpi,F,-2.117409629,0.14,restored
Tgds,F,-2.267462176,0.141,restored
Thap2,F,-2.366617338,0.122,restored
Tigd4,F,-3.307607649,0.038,restored
Tmem116,F,4.028409933,0.013,restored
Tmem212,F,4.032909119,0.007,restored
Tmem39a,F,-2.753318861,0.067,restored
Tmem74,F,-1.914028293,0.169,restored
Tmprss5,F,-2.224723969,0.146,restored
Trim26,F,2.877468374,0.068,restored
Trim43c,F,-2.467567684,0.103,restored
Trmt112-ps2,F,2.566736533,0.085,restored
Trpc4,F,-2.399849088,0.116,restored
Ttc41,F,-2.483170491,0.065,restored
Ttf2,F,-2.08312073,0.131,restored
Tti1,F,-2.298881901,0.089,restored
Tuft1,F,2.478001993,0.104,restored
Tulp1,F,3.234670176,0.03,restored
Ube2j2,F,1.591166814,0.146,restored
Ush1c,F,3.526118221,0.026,restored
Vav3,F,-2.357154915,0.168,restored
Vmn1r227,F,-2.104108171,0.192,restored
Wls,F,-2.869078763,0.036,restored
Ylpm1,F,-1.882872027,0.198,restored
Zfp109,F,-2.597945999,0.071,restored
Zfp114,F,-1.892663417,0.098,restored
Zfp174,F,-3.572583961,0.021,restored
Zfp354b,F,-2.965730266,0.03,restored
Zfp59,F,-2.113356664,0.192,restored
Zfp595,F,-2.192255961,0.159,restored
Zfp935,F,-2.100610907,0.124,restored
Zfp966,F,-2.244096456,0.107,restored
Zfp968,F,-3.630766556,0.024,restored
Znf41-ps,F,-2.852832593,0.058,restored
