Mouse_ID,section,bregma,diet,treatment,legend,sex,cohort,cage,Area,ARC_cells,ARC_Posit_Nod2_cells,ARC_Posit_Pnoc_cells,ARC_Nod2_aver_puncta,ARC_Pnoc_aver_puncta,ARC_N_double_cells,ARC_Nod2_puncta_double,ARC_Pnoc_puncta_double,ARC_double_Nod2_Pnoc_cells_among_Nod2_posit_cells,ARC_double_Nod2_Pnoc_cells_among_Pnoc_posit_cells
237,6,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,128,137850.2369,623,188,184,5.51,18.22,82,5.71,25.55,43.617021,44.565217
311,4,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,3,114,132217.3718,421,72,89,4.55,20.91,35,4.77,30.54,48.611111,39.325843
311,5,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,3,114,139207.6963,480,102,98,4.36,17.5,33,4.91,24.11,32.352941,33.673469
128,2,not known,HFHS,1472,HFHS 1472,F,1,115,129449.254,449,214,121,5.96,19.89,84,7.75,24.61,39.252336,69.421488
128,4,not known,HFHS,1472,HFHS 1472,F,1,115,122519.6016,580,278,178,5.93,24.01,122,8.59,30.06,43.884892,68.539326
128,5,not known,HFHS,1472,HFHS 1472,F,1,115,128527.6362,519,285,165,5.73,18.64,115,6.68,22.23,40.350877,69.69697
128,6,not known,HFHS,1472,HFHS 1472,F,1,115,118078.383,435,156,90,5.73,25.78,60,7.69,32.69,38.461538,66.666667
134,2,not known,HFHS,1472,HFHS 1472,F,1,111,135762.8624,547,238,151,5.32,16.79,98,5.95,20.95,41.176471,64.900662
134,3,not known,HFHS,1472,HFHS 1472,F,1,111,130778.4544,559,254,144,4.92,18.4,90,5.93,22.11,35.433071,62.5
245,2,not known,HFHS,1472,HFHS 1472,F,2,120,115563.2984,571,174,160,6.22,15.58,70,7.26,20.87,40.229885,43.75
245,3,not known,HFHS,1472,HFHS 1472,F,2,120,139597.3794,644,229,191,5.59,17.03,90,6.8,22.58,39.30131,47.120419
247,1,not known,HFHS,1472,HFHS 1472,F,2,127,120956.1125,587,223,93,4.87,16.37,62,5.14,19.77,27.802691,66.666667
247,2,not known,HFHS,1472,HFHS 1472,F,2,127,133939.9341,626,180,120,5.2,18.7,64,6.65,25.39,35.555556,53.333333
247,3,not known,HFHS,1472,HFHS 1472,F,2,127,118641.4518,571,131,101,4.84,13.41,40,4.77,19.39,30.534351,39.60396
247,4,not known,HFHS,1472,HFHS 1472,F,2,127,138515.5035,628,103,93,4.33,16.48,31,5.88,30.07,30.097087,33.333333
