"sex","metabolite",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif","comparison_type"
"M","IsoValerate","value","FOS+GOS","1472",5,5,-9.47971068567388,6.29674580056773,5.87e-05,0.000176,"***","treatment"
"M","Propionate","value","Vehicle","FOS+GOS",6,6,-0.754645012493569,7.37537710553066,0.474,0.474,"ns","treatment"
"M","Propionate","value","Vehicle","1472",6,5,-7.84985446692143,7.76515699581274,5.89e-05,0.000177,"***","treatment"
"M","Propionate","value","FOS+GOS","1472",6,5,-3.55678549496655,5.81034177908899,0.013,0.025,"*","treatment"
"M","Total","value","Vehicle","FOS+GOS",6,6,-0.866347073776438,8.79495716060704,0.409,0.818,"ns","treatment"
"M","Total","value","Vehicle","1472",6,5,-1.90729688990144,5.86601055286835,0.106,0.318,"ns","treatment"
"M","Total","value","FOS+GOS","1472",6,5,-0.296451279526999,5.40357969114424,0.778,0.818,"ns","treatment"
"M","Valerate","value","Vehicle","FOS+GOS",6,6,-0.0826433399562828,6.54436994174014,0.937,0.937,"ns","treatment"
"M","Valerate","value","Vehicle","1472",6,5,-10.1960711094738,8.67303560153926,4.03e-06,1.21e-05,"****","treatment"
"M","Valerate","value","FOS+GOS","1472",6,5,-5.41503986241753,6.74589424570044,0.001,0.002,"**","treatment"
