Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,real_intake,crumbling,TotalIntake(g),NumberMeals,AverageMealSize(g),AverageMealDuration(g),IntervalBtwMeals(min),EatingRate,LatencyFirstMeal,FirstMealSize,FaecalPellets,LocomotorActivity12h,Rears12h,Rearing_Centre,Rearing_ExternalZone10%,Rearing_ExternalZone20%,CentreTime%,TimeThigmotaxis10%,TimeThigmotaxis20%,CentreDistance_Percentage,DistanceThigmotaxis10%,DistanceThigmotaxis20%,SPT_Ratio,SPT_Ratio_OD,SPT_Ratio_ON,SPT_PreferenceScore,SPT_PreferenceScore_Percentage,SPT_PreferenceScore_OD,SPT_PreferenceScore_ON,SPT_CumulativeDrinkIntake_Water,SPT_CumulativeDrinkIntake_Saccharin,SPT_CumulativeDrinkIntake_Water_OD,SPT_CumulativeDrinkIntake_Saccharin_OD,SPT_CumulativeDrinkIntake_Water_ON,SPT_CumulativeDrinkIntake_Saccharin_ON,SPT_TotalCumulative_WaterDiet_12h,SPT_TotalCumulative_WaterDiet_24h,SPT_TotalCumulative_WaterDiet_36h,SPT_TotalCumulative_WaterDiet_48h,SPT_TotalCumulative_SaccharinDiet_12h,SPT_TotalCumulative_SaccharinDiet_24h,SPT_TotalCumulative_SaccharinDiet_36h,SPT_TotalCumulative_SaccharinDiet_48h,FPT_PreferenceScore,FPT_PreferenceScore_Percentage,FPT_PreferenceScore_OD,FPT_PreferenceScore_Percentage_OD,FPT_PreferenceScore_ON,FPT_PreferenceScore_Percentage_ON,FPT_TotalCumulative_CTDiet,FPT_TotalCumulative_HFHSDiet,FPT_TotalCumulative_CTDiet_OD,FPT_TotalCumulative_HFHS_OD,FPT_TotalCumulative_CTDiet_ON,FPT_TotalCumulative_HFHSDiet_ON,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,FPT_TotalCumulative_CTDiet_12h,FPT_TotalCumulative_CTDiet_24h,FPT_TotalCumulative_CTDiet_36h,FPT_TotalCumulative_CTDiet_48h,FPT_TotalCumulative_HFHSDiet_12h,FPT_TotalCumulative_HFHSDiet_24h,FPT_TotalCumulative_HFHSDiet_36h,FPT_TotalCumulative_HFHSDiet_48h
HFHS_FOS+GOS_C2_L119_P232_F,119,232,2,F,HFHS,FOS+GOS,1.76,1.8,3.56,5,0.55,25.17,182.72,0.36,2.03,0.24,27,23566.6,3219,349,1311,2230,5.4,67.4,94.6,32.2,28,67.8,1.5,0.75,2.25,0.6,60,0.428571429,0.692307692,8,12,4,3,4,9,3,6,7,8,5,8,12,12,0.99,99.45,0.99,99.115044,1,100,0.1,18.1,0.1,11.2,0,6.9,61.60714286,0,0,0,0.1,6.9,16.9,16.9,18.1
HFHS_FOS+GOS_C2_L119_P233_F,119,233,2,F,HFHS,FOS+GOS,1.94,1.7,3.7,6,0.57,41.84,445.3,0.23,14.05,0.7,38,32536.4,4458,617,2084,4142,6.8,57.2,93.3,33.5,25.6,66.5,1,0.75,1.14285714,0.5,50,0.428571429,0.533333333,11,11,4,3,7,8,4,6,9,11,2,3,9,11,0.94,93.55,0.85,85,1,100,0.6,8.7,0.6,3.4,0,5.3,155.8823529,0,0.4,0.4,0.6,3.4,5.4,7.3,8.7
HFHS_FOS+GOS_C2_L128_P236_F,128,236,2,F,HFHS,FOS+GOS,1.44,0.6,2.14,3,0.27,6.67,376.62,0.68,254.33,0.28,31,13081.4,3442,85,1618,2339,2.3,76.8,97.8,38,21,62.1,0.43,1.33333333,0.18181818,0.3,30,0.571428571,0.153846154,7,3,1.5,2,5.5,1,3,4,6.5,7,1,1,1,3,0.99,98.59,1,100,0.98,98.253275,0.4,27.9,0,5.4,0.4,22.5,416.6666667,0.3,0.3,0.4,0.4,10.8,14,25.7,27.9
HFHS_FOS+GOS_C2_L128_P237_F,128,237,2,F,HFHS,FOS+GOS,1.68,0.7,2.38,3,0.45,34.92,390.7,0.22,55.63,0.64,22,25743.2,3090,416,982,2895,5.3,62,94.8,34.8,20.4,65.2,0.79,1,0.7,0.44,44,0.5,0.411764706,7,5.5,2,2,5,3.5,4,5,6,7,1,3,5.5,5.5,0.99,98.67,0.97,97.321429,0.99,99.117647,0.6,44.6,0.3,10.9,0.3,33.7,309.1743119,0.3,0.4,0.4,0.6,20,29.2,42.9,44.6
HFHS_FOS+GOS_C2_L128_P238_F,128,238,2,F,HFHS,FOS+GOS,1.28,0.5,1.78,3,0.41,21.9,504.85,0.31,67.63,0.66,23,20316.9,3141,149,1923,2352,2.3,80.4,97.8,24.6,41.5,75.3,0.92,0.4,1.28571429,0.48,48,0.285714286,0.5625,6,5.5,2.5,1,3.5,4.5,2,3.5,5,6,3,4,5.5,5.5,0.96,96.27,0.84,84.210526,0.98,98.26087,0.5,12.9,0.3,1.6,0.2,11.3,706.25,0.2,0.3,0.3,0.5,6.9,7.6,12,12.9
HFHS_FOS+GOS_C3_L114_P311_F,114,311,3,F,HFHS,FOS+GOS,2.32,0.1,2.44,4,0.35,15.84,291.98,0.36,11.28,0.26,22,23554.5,3350,424,1136,3211,10.6,36.1,89.4,37.1,19.3,63,1.56,2.33333333,0.18181818,0.39,39.13,0.7,0.153846154,7,4.5,1.5,3.5,5.5,1,4,4.5,6,7,0.5,1,1.5,4.5,0.96,95.65,1,100,0.95,95,1.2,26.4,0,3.6,1.2,22.8,633.3333333,1,1,1.2,1.2,12.1,14.7,25.4,26.4
HFHS_1472_C1_L115_P128_F,115,128,1,F,HFHS,1472,2.44,0.9,3.26,6,0.42,25.15,463.8,0.28,4.83,0.34,19,23467.2,2914,471,725,2717,29.3,7.6,70.7,47.1,11.1,53,2.33,3,2.2,0.7,70,0.75,0.6875,3,7,0.5,1.5,2.5,5.5,2,2.5,3,3,3,4.5,7,7,0.95,95.28,0.86,86.36364,0.96,96.3157895,1,20.2,0.3,1.9,0.7,18.3,963.1578947,0.7,0.9,0.9,1,8.7,9.2,18.8,20.2
HFHS_1472_C1_L115_P130_F,115,130,1,F,HFHS,1472,2.36,1.5,3.86,3,1.09,52.86,167.63,0.34,0.97,2.28,15,20972.7,3396,398,976,3197,3.7,64.6,96.3,32.6,22.9,67.4,0.79,0.25,1,0.44,44,0.2,0.5,7,5.5,2,0.5,5,5,3.5,4,5.5,7,3,3,5,5.5,0.97,97.42,0.89,89.28571,0.99,99.2125984,0.4,15.1,0.3,2.5,0.1,12.6,504,0,0.2,0.3,0.4,3.8,5.3,14.1,15.1
HFHS_1472_C1_L115_P131_F,115,131,1,F,HFHS,1472,1.28,0,1.28,2,0.35,80.46,141.72,0.07,19.17,0.34,18,18424.7,3768,270,2334,2030,4.1,71.3,95.9,32.1,28.9,67.9,0.4,0.11764706,1,0.29,29,0.105263158,0.5,12.5,5,8.5,1,4,4,3,4,5,12.5,2,2,4,5,0.99,99.1,0.97,97.01493,1,100,0.2,21.9,0.2,6.5,0,15.4,236.9230769,0,0.2,0.2,0.2,7.5,9.3,17.2,21.9
HFHS_1472_C1_L111_P134_F,111,134,1,F,HFHS,1472,1.76,1.2,2.96,3,0.6,23.53,187.1,0.42,52.77,0.74,16,20794,3470,335,1156,2963,11.7,33.8,88.4,37.6,16.6,62.4,0.71,1,0.66666667,0.42,42,0.5,0.4,7,5,1,1,6,4,4,4,6,7,3,3,4,5,0.99,99.48,1,100,0.99,99.4505495,0.1,19.1,0,1,0.1,18.1,1810,0.1,0.1,0.1,0.1,9.2,10,18.9,19.1
HFHS_1472_C1_L111_P135_F,111,135,1,F,HFHS,1472,1.1,0.6,1.74,3,0.27,21.41,522.23,0.21,19.18,0.32,18,20113,3874,576,1453,3717,7.3,60.3,92.7,34.2,20.7,65.9,0.6,1.33333333,0.41666667,0.38,38,0.571428571,0.294117647,7.5,4.5,1.5,2,6,2.5,4,4,6,7.5,1.5,2,3,4.5,0.98,97.69,0.96,96.2963,0.98,98.0582524,0.3,12.7,0.1,2.6,0.2,10.1,388.4615385,0.2,0.2,0.2,0.3,3.4,4.1,10.8,12.7
HFHS_1472_C2_L120_P245_F,120,245,2,F,HFHS,1472,1.62,0.8,2.48,5,0.38,21.49,545.95,0.29,32.13,0.76,24,13833.8,2066,105,1244,1830,1.1,78.4,98.9,19,45.4,98.9,0.69,0,0.85714286,0.41,41,0,0.461538462,8,5.5,1,0,7,6,4,4,7,8,4,4,6,5.5,0.99,98.81,1,100,0.99,98.666667,0.1,8.3,0,0.9,0.1,7.4,822.2222222,0.1,0.1,0.1,0.1,4.7,5.1,7.8,8.3
HFHS_1472_C2_L120_P246_F,120,246,2,F,HFHS,1472,1.3,0.8,2.22,5,0.35,17.01,598.37,0.34,30.68,0.2,18,14058.4,2285,344,938,2227,3.2,71.1,96.8,25.9,31.3,81,1.27,0,1.27272727,0.56,56,0,0.56,5.5,7,0.5,0,5.5,7,3.5,3,5,5.5,4,4,7,7,0.98,98.16,0.88,88.235294,0.99,99.315068,0.3,16,0.2,1.5,0.1,14.5,966.6666667,0.1,0.2,0.2,0.3,6.2,6.5,14.8,16
HFHS_1472_C2_L127_P247_F,127,247,2,F,HFHS,1472,1.42,0.4,1.82,4,0.31,19.77,412.2,0.26,61.58,0.44,16,16723.7,2777,151,971,2234,2.3,80,97.7,26.6,36,74.1,1.45,1,1.625,0.59,59,0.5,0.619047619,5.5,8,1.5,1.5,4,6.5,2,3,5,5.5,3,4,7.5,8,0.97,97.24,1,100,0.97,96.902655,0.7,24.7,0,2.8,0.7,21.9,782.1428571,0.5,0.5,0.7,0.7,15.6,16.3,22.6,24.7
HFHS_1472_C2_L127_P248_F,127,248,2,F,HFHS,1472,1.42,0,1.42,1,0.22,5.58,,0.66,601.72,0.22,14,26121,3420,601,1015,3105,5.3,64.8,94.7,35.2,19.5,73.4,0.89,1,0.85714286,0.47,47,0.5,0.461538462,4.5,4,1,1,3.5,3,1.5,2,4,4.5,2.5,3.5,4,4,0.99,99.12,1,100,0.99,98.859316,0.3,33.8,0,7.8,0.3,26,333.3333333,0.3,0.3,0.3,0.3,10.4,16.5,32.1,33.8
HFHS_1472_C4_L116_P435_F,116,435,4,F,HFHS,1472,2.12,6.3,8.4,3,2.65,48.76,461.42,0.9,59,4.06,24,25769.8,2800,761,1353,2789,6.6,58.5,93.4,31.4,22.4,68.6,1.75,0.5,0.625,0.36,36.36,0.333333333,0.384615385,7,4,3,1.5,4,2.5,3,4,5,7,2,3,3.5,4,0.91,91.3,0.93,92.857143,0.91,90.625,0.8,8.4,0.2,2.6,0.6,5.8,223.0769231,0.3,0.3,0.6,0.8,3.1,4.8,7.5,8.4
HFHS_1472_C4_L116_P436_F,116,436,4,F,HFHS,1472,1.68,0,1.68,5,0.22,15.4,416.55,0.23,19.55,0.2,26,16379.6,2671,160,1909,2097,3,82,97,33.5,29.2,66.6,1.67,0.66666667,0.57142857,0.38,37.5,0.4,0.363636364,5,3,1.5,1,3.5,2,3,3.5,4,5,1,1.5,2.5,3,0.95,95.19,0.95,94.736842,0.95,95.294118,0.5,9.9,0.1,1.8,0.4,8.1,450,0.4,0.4,0.4,0.5,3,4.7,9.8,9.9
HFHS_1472_C5_L130_P501_F,130,501,5,F,HFHS,1472,2.08,0.3,2.38,5,0.34,17.82,551.73,0.32,74.38,0.3,18,20066.4,3390,245,1470,3145,4,63.3,96,29.6,28.4,70.4,1.75,0.5,0.6,0.36,36.36,0.333333333,0.375,7,4,2,1,5,3,3,4,6,7,2,2.5,3.5,4,0.95,95.29,1,100,0.94,93.8461538,0.4,8.1,0,2,0.4,6.1,305,0.1,0.1,0.4,0.4,3.5,4.5,7.1,8.1
HFHS_1472_C5_L130_P503_F,130,503,5,F,HFHS,1472,1.68,0.7,2.38,3,0.55,30.92,292.28,0.29,34.67,0.38,21,24781.8,3559,705,1849,2874,7.9,63.7,92.1,37.7,22.2,62.3,0.44,2,2.33333333,0.7,69.57,0.666666667,0.7,3.5,8,0.5,1,3,7,3,3,3,3.5,3.5,4,7.5,8,0.97,97.14,0.92,91.6667,0.98,97.65625,0.4,13.6,0.1,1.1,0.3,12.5,1136.363636,0.2,0.2,0.3,0.4,4.8,5,12.7,13.6
CT_CT_C1_L105_P103_M,105,103,1,M,Control,Vehicle,2.36,0.1,2.46,4,0.35,16.26,552.6,0.36,32.87,0.32,28,12628.4,1986,274,858,1726,8.6,59.8,91.3,36,19.7,64,0.89,1.42857143,0.54545455,0.47,47,0.588235294,0.352941176,9,8,3.5,5,5.5,3,4,5.5,7,9,2,5,6,8,0.96,95.71,0.91,90.90909,0.96,96.124031,0.6,13.4,0.1,1,0.5,12.4,1240,0.1,0.2,0.6,0.6,4.5,5.3,13.2,13.4
CT_CT_C1_L105_P104_M,105,104,1,M,Control,Vehicle,2,0,2,3,0.25,16.73,342.23,0.25,40.32,0.2,22,16841.2,3382,366,885,3262,3.3,66.2,96.7,37.5,18.7,62.5,1.7,2.66666667,1.28571429,0.63,63,0.727272727,0.5625,5,8.5,1.5,4,3.5,4.5,2,2.5,4,5,4.5,6,6,8.5,0.98,97.67,1,100,0.97,97.1014493,0.2,8.4,0,1.7,0.2,6.7,394.1176471,0.1,0.1,0.2,0.2,4,4.9,7.6,8.4
CT_CT_C1_L105_P105_M,105,105,1,M,Control,Vehicle,1.7,0,1.7,5,0.28,18.86,383.17,0.24,7.78,0.4,21,10125.8,1605,121,1033,1079,2,75.1,98,32.2,22.7,67.8,0.87,2,0.58333333,0.46,46,0.666666667,0.368421053,7.5,6.5,1.5,3,6,3.5,4.5,5.5,7,7.5,3.5,5,5,6.5,0.96,95.83,0.93,92.85714,0.97,97.0588235,0.4,9.2,0.2,2.6,0.2,6.6,253.8461538,0.2,0.2,0.2,0.4,3.6,4.6,7.6,9.2
CT_CT_C1_L105_P106_M,105,106,1,M,Control,Vehicle,2.08,8.1,10.22,5,2.04,26.02,304.87,1.3,33.18,0.98,17,14543,1155,232,766,1392,3.8,62,96.2,32.4,19.9,67.6,2.83,4.25,2.125,0.74,74,0.80952381,0.68,6,17,2,8.5,4,8.5,3,4,5,6,5.5,9,12,17,0.96,96.43,0.96,96,0.97,96.6101695,0.3,8.1,0.1,2.4,0.2,5.7,237.5,0.1,0.1,0.2,0.3,3.1,4.4,7,8.1
CT_CT_C1_L104_P116_M,104,116,1,M,Control,Vehicle,0.9,1.3,2.26,4,0.33,10.82,318.87,0.5,177.23,0.24,27,13766.3,2781,436,1535,4009,10.7,43.4,89.3,27.7,27.2,72.3,0.33,0.375,0.28571429,0.25,25,0.272727273,0.222222222,15,5,8,3,7,2,4,10,13,15,2,4,4,5,0.94,94.19,0.96,95.83333,0.94,93.5483871,0.5,8.1,0.1,2.3,0.4,5.8,252.173913,0,0.1,0.5,0.5,3.7,4.7,6.8,8.1
CT_CT_C1_L104_P117_M,104,117,1,M,Control,Vehicle,1.18,2.9,4.14,7,0.54,18.85,545.78,0.48,28.13,1.46,23,14323.7,2207,75,2058,1908,12,32.7,88,30.1,21.3,69.9,2.13,1.75,2.5,0.68,68,0.636363636,0.714285714,4,8.5,2,3.5,2,5,1.5,2.5,3,4,3,4,6,8.5,0.97,96.73,0.94,94.02985,0.98,97.752809,0.8,23.7,0.4,6.3,0.4,17.4,276.1904762,0.4,0.6,0.6,0.8,3.9,5.5,19,23.7
CT_CT_C2_L117_P204_M,117,204,2,M,Control,Vehicle,2.08,0.5,2.58,6,0.3,18.37,458.57,0.27,4.18,0.24,23,12443.6,2480,189,1038,2068,3.3,63.3,96.7,28.5,27.1,71.5,0.92,1.66666667,0.7,0.48,48,0.625,0.411764706,6.5,6,1.5,2.5,5,3.5,3,4,6,6.5,2,4,5.5,6,0.98,98.31,1,100,0.98,97.515528,0.4,23.2,0,7.5,0.4,15.7,209.3333333,0.3,0.3,0.4,0.4,4.5,7.3,18.5,23.2
CT_CT_C2_L117_P209_M,117,209,2,M,Control,Vehicle,3.12,0.3,3.26,8,0.34,13.27,512.73,0.43,1.75,0.7,30,14312.5,1093,500,552,1229,15.6,20.9,84.4,42.1,14.3,57.9,1.31,5.66666667,0.5862069,0.57,57,0.85,0.369565217,13,17,1.5,8.5,14.5,8.5,7,4,11.5,13,5.5,12,15,17,0.89,89.21,0.94,94.444444,0.88,88.429752,1.5,12.4,0.1,1.7,1.4,10.7,629.4117647,0.9,1,1.5,1.5,3,4.2,11.9,12.4
CT_CT_C4_L129_P405_M,129,405,4,M,Control,Vehicle,1.62,2,3.64,5,0.58,33.94,320.9,0.29,13.43,1.8,27,17296.2,1972,236,782,2116,13.5,19.3,86.5,37.7,14,62.3,2,0.25,0.625,0.33,33.33,0.2,0.384615385,6,3,2,0.5,4,2.5,3,4,5,6,2,2.5,3,3,0.96,96.34,0.95,95,0.97,96.774194,0.3,7.9,0.1,1.9,0.2,6,315.7894737,0.2,0.2,0.2,0.3,3.2,3.8,6.6,7.9
CT_CT_C4_L129_P407_M,129,407,4,M,Control,Vehicle,,10.5,25.84,7,4.58,38.81,440.08,1.97,0,24.62,15,8341.6,1453,39,1276,956,1,87.8,99,19.9,43.3,80.1,0.83,1.33333333,1.14285714,0.55,54.55,0.571428571,0.533333333,5,6,1.5,2,3.5,4,3,3.5,4,5,2,3,5,6,0.89,88.52,1,100,0.86,86.27451,1.4,10.8,0,2,1.4,8.8,440,0.9,0.9,1.4,1.4,3.4,4.6,10,10.8
CT_CT_C4_L113_P412_M,113,412,4,M,Control,Vehicle,2.46,1.4,3.86,10,0.36,12.21,550.77,0.5,23.55,0.5,24,14212,1851,228,1071,1666,4.4,58.7,95.7,34.3,21.8,65.7,0.38,2,3,0.72,72.41,0.666666667,0.75,4,10.5,1.5,3,2.5,7.5,2,2.5,3,4,3,4.5,9,10.5,0.93,93.27,1,100,0.91,91.358025,0.7,9.7,0,2.3,0.7,7.4,321.7391304,0.3,0.3,0.7,0.7,4.6,5.6,8.4,9.7
CT_CT_C4_L113_P413_M,113,413,4,M,Control,Vehicle,,1.5,36.5,2,0.35,27.64,70.05,0.21,490.43,0.38,31,17064.1,1696,361,1406,1716,4.5,48.9,95.4,30.1,28.7,69.8,1.23,1,0.76923077,0.45,44.83,0.5,0.434782609,8,6.5,1.5,1.5,6.5,5,4,4.5,7,8,3,4,6,6.5,0.93,93.22,1,100,0.9,90.123457,0.8,11,0,3.7,0.8,7.3,197.2972973,0.5,0.5,0.8,0.8,4.3,5.9,8.9,11
HFHS_CT_C1_L110_P109_M,110,109,1,M,HFHS,Vehicle,7.38,24.1,31.48,2,15.75,62.33,18.1,4.21,7.35,12.8,22,17763,2048,80,1560,1999,2.5,73.6,97.5,38.8,24.3,61.2,4.25,4.75,1.5,0.81,81,0.826086957,0.6,4,17,2,9.5,5,7.5,4,6,7,4,4,7.5,11,17,1,99.53,0.75,75.38462,1,99.6724891,0.5,106,4.8,14.7,0.3,91.3,621.0884354,0.3,5.1,0.5,0.5,46.4,49.7,94.6,106
HFHS_CT_C1_L110_P110_M,110,110,1,M,HFHS,Vehicle,,4.3,6.4,9,0.83,15.83,549.2,0.87,5,3.5,25,17154.3,1405,353,670,1927,5.9,59.3,94.1,35.8,18.4,64.2,4.2,4.33333333,4.14285714,0.81,81,0.8125,0.805555556,5,21,1.5,6.5,3.5,14.5,3,3.5,4,5,6,8.5,17,21,1,99.54,0.95,95.34884,1,99.7569866,0.4,86.2,0.2,4.1,0.2,82.1,2002.439024,0.1,0.3,0.4,0.4,41.6,43.7,84.2,86.2
HFHS_CT_C1_L107_P119_M,107,119,1,M,HFHS,Vehicle,1.44,0.2,1.54,3,0.32,15.53,491.43,0.34,11.13,0.22,14,12857.7,2249,126,1036,1725,2,68.1,97.9,24.7,33.2,75.4,1,1.5,0.875,0.5,50,0.6,0.466666667,5,5,1,1.5,4,3.5,2.5,3.5,5,5,2.5,4,5,5,0.93,93.17,0.82,81.81818,0.94,93.6329588,1.9,25.9,0.2,0.9,1.7,25,2777.777778,1.4,1.6,1.9,1.9,12.6,13.5,25.9,25.9
HFHS_CT_C1_L107_P121_M,107,121,1,M,HFHS,Vehicle,,0.4,0.74,2,0.33,14.82,32.8,0.37,4.85,0.34,18,10127,1795,147,1378,1096,1.1,78.6,99,21.9,42.1,78.1,2.57,1,3.2,0.72,72,0.5,0.761904762,3.5,9,1,1,2.5,8,3,4,3.5,3.5,3,4,9,9,1,100,1,100,1,100,0,28.3,0,1.6,0,26.7,1668.75,0,0,0,0,12.1,12.3,26.9,28.3
HFHS_CT_C2_L123_P216_M,123,216,2,M,HFHS,Vehicle,1.68,1.3,2.98,6,0.39,14.15,428.03,0.46,51.55,0.84,15,19113.4,1510,594,770,1667,4.3,71.3,95.7,30.2,25.4,69.9,0.81,0.6,0.94117647,0.45,45,0.375,0.484848485,13.5,11,5,3,8.5,8,6.5,8.5,10.5,13.5,4,6,10,11,0.94,93.86,1,100,0.91,91.463415,0.7,10.7,0,3.2,0.7,7.5,234.375,0.4,0.4,0.7,0.7,2.5,4.2,9.2,10.7
HFHS_CT_C2_L123_P217_M,123,217,2,M,HFHS,Vehicle,0.46,1.8,2.32,6,1.46,38.29,146.3,0.64,279.73,0.96,21,10695.6,826,152,632,882,2,80.4,98.1,29,30.4,71,2.25,2,2.33333333,0.69,69,0.666666667,0.7,4,9,1,2,3,7,2.5,3.5,4,4,3,4.5,8.5,9,0.98,98,0.92,92.307692,0.98,98.312236,0.5,24.5,0.1,1.2,0.4,23.3,1941.666667,0.2,0.3,0.5,0.5,11,11.1,23.4,24.5
HFHS_CT_C2_L121_P219_M,121,219,2,M,HFHS,Vehicle,1.76,3.9,5.66,7,0.74,24.46,307.28,0.5,2.9,0.3,22,22295.9,1996,649,1821,2667,5.7,56.6,94.3,28.9,24.1,71,3.2,,2.2,0.76,76,1,0.6875,2.5,8,0,2.5,2.5,5.5,2,2,2.5,2.5,2,3,6.5,8,0.98,97.75,0.89,88.636364,1,100,0.5,21.7,0.5,3.9,0,17.8,456.4102564,0,0.5,0.5,0.5,14.4,16.3,19.7,21.7
HFHS_CT_C2_L121_P221_M,121,221,2,M,HFHS,Vehicle,2.1,1.2,3.3,7,0.41,12.55,433.97,0.55,9.58,1.18,30,7970.8,1437,68,714,1353,1.6,71.4,98.4,30.7,26.2,69.3,2.86,5,2.5,0.74,74,0.833333333,0.714285714,3.5,10,0.5,2.5,3,7.5,1.5,2,3.5,3.5,4,5,8.5,10,0.97,97.12,0.87,87.096774,0.99,98.584906,0.7,23.6,0.4,2.7,0.3,20.9,774.0740741,0.3,0.7,0.7,0.7,17.9,19,22,23.6
HFHS_CT_C3_L125_P308_M,125,308,3,M,HFHS,Vehicle,1.3,1.4,2.7,5,0.4,9.3,491.73,0.72,22.25,0.5,23,12453.1,2545,191,781,2431,3.2,69,96.8,34.6,22.5,65.4,0.27,3.5,3.75,0.79,78.57,0.777777778,0.789473684,3,11,1,3.5,2,7.5,2,2.5,2.5,3,4,5.5,9,11,0.96,96.39,1,100,0.96,96.067416,1.4,37.4,0,3.2,1.4,34.2,1068.75,1.2,1.2,1.4,1.4,19.4,20.2,35,37.4
HFHS_CT_C3_L125_P310_M,125,310,3,M,HFHS,Vehicle,1.76,6.3,8.06,6,1.29,23.03,332.8,0.93,124.9,0.88,22,15913.9,1286,386,1380,1797,2.8,71.7,97.2,26.8,26.3,73.2,1.56,0.5,0.7,0.39,39.13,0.333333333,0.411764706,7,4.5,2,1,5,3.5,4,5,6,7,1.5,2.5,4.5,4.5,0.9,89.66,0.92,92.105263,0.89,89.285714,3,26,0.3,3.5,2.7,22.5,642.8571429,2.3,2.3,2.7,3,8.9,11.3,24.9,26
HFHS_CT_C4_L126_P422_M,126,422,4,M,HFHS,Vehicle,1.46,2.3,3.76,5,0.64,27.45,418.05,0.39,19.88,0.3,23,24528.8,1645,416,493,1574,7,56,93,39.4,14.7,60.5,1.11,3,0.66666667,0.47,47.37,0.75,0.4,5,4.5,0.5,1.5,4.5,3,3,3,4.5,5,2,3,4,4.5,0.99,99.42,1,100,0.99,99.407115,0.3,51.6,0,1.3,0.3,50.3,3869.230769,0.2,0.2,0.3,0.3,26.8,27.4,50.9,51.6
HFHS_CT_C4_L126_P423_M,126,423,4,M,HFHS,Vehicle,1.08,14.1,15.14,5,3.04,39.59,467.87,1.28,53.68,4.82,13,16073.9,1434,183,1507,1712,2.2,66.5,97.8,23.2,34.1,76.8,0.5,,1.14285714,0.67,66.67,1,0.533333333,3.5,7,0,3,3.5,4,3,3,3.5,3.5,2,3.5,5.5,7,0.99,99.34,0.97,97.058824,0.99,99.430524,0.6,90.6,0.1,3.3,0.5,87.3,2645.454545,0.3,0.4,0.6,0.6,42.3,44.6,89.6,90.6
HFHS_FOS+GOS_C1_L106_P125_M,106,125,1,M,HFHS,FOS+GOS,4.34,5.6,9.78,6,1.41,15.89,447.87,1.48,0.85,6.7,29,14498.7,1181,643,618,1366,5.9,60.3,94,32.7,21.3,67.3,1.4,1,1.66666667,0.58,58,0.5,0.625,5,7,2,2,3,5,2,4,5,5,3,4,6,7,0.95,95.22,0.96,96.36364,0.95,94.9579832,1.4,27.9,0.2,5.3,1.2,22.6,426.4150943,1.1,1.2,1.3,1.4,9.7,11.3,24.2,27.9
HFHS_FOS+GOS_C1_L106_P126_M,106,126,1,M,HFHS,FOS+GOS,1.9,0.7,2.6,6,0.25,7.22,563.65,0.59,8.45,0.26,29,12328.1,1077,234,850,1349,2.6,69.4,97.4,35.3,21.9,64.7,0.57,2,0.33333333,0.36,36,0.666666667,0.25,7,4,1,2,6,2,4,5,7,7,2,3,3,4,0.96,96.15,0.98,98.0198,0.96,95.5555556,1.6,40,0.2,9.9,1.4,30.1,304.040404,1,1.2,1.6,1.6,14.8,17.1,32.4,40
HFHS_FOS+GOS_C2_L124_P226_M,124,226,2,M,HFHS,FOS+GOS,2.92,5.2,8.1,6,1.27,32.29,400.18,0.66,38.28,3.46,38,19605,3586,433,1484,2633,6.7,67.3,93.4,37.9,22.5,62.1,0.86,0.28571429,1.42857143,0.46,46,0.222222222,0.588235294,7,6,3.5,1,3.5,5,3,4.5,5,7,3,4,6,6,0.96,95.6,0.99,99.319728,0.94,94.148936,2.3,50,0.1,14.6,2.2,35.4,242.4657534,1.7,1.7,2.2,2.3,13.4,18.4,40.4,50
HFHS_FOS+GOS_C2_L124_P227_M,124,227,2,M,HFHS,FOS+GOS,2.7,0,2.7,7,0.29,12.03,477.7,0.41,30.77,0.24,27,14322.1,2086,190,1372,1674,3.1,74,96.9,31.9,26.9,68.2,0.93,1.4,0.66666667,0.48,48,0.583333333,0.4,7,6.5,2.5,3.5,4.5,3,4,5,5.5,7,0,2,5,6.5,0.89,89.4,0.84,84,0.9,90.104167,2.3,19.4,0.4,2.1,1.9,17.3,823.8095238,1.2,1.6,2.3,2.3,7.3,8.3,18.3,19.4
HFHS_FOS+GOS_C2_L124_P228_M,124,228,2,M,HFHS,FOS+GOS,2.2,1.4,3.6,7,0.45,13.76,434.03,0.55,22.33,1.86,30,18779.1,2778,381,1567,2061,3.2,73,96.8,31.3,27.7,68.7,1.78,1.33333333,2,0.64,64,0.571428571,0.666666667,9,16,3,4,6,12,4,5,7,9,6,8,14,16,0.96,95.67,0.92,91.935484,0.96,96.188341,2.2,48.6,0.5,5.7,1.7,42.9,752.6315789,1.4,1.6,1.9,2.2,17.8,21.4,46.5,48.6
HFHS_FOS+GOS_C2_L119_P234_M,119,234,2,M,HFHS,FOS+GOS,2.8,2.3,5.18,6,0.66,18.34,482.35,0.6,1.2,0.6,29,17778,1686,448,528,1514,5.8,60.5,94.2,29.9,25.6,70.1,1,0.66666667,1.1,0.5,50,0.4,0.523809524,6.5,6.5,1.5,1,5,5.5,4,4,5,6.5,3,3.5,6,6.5,0.98,97.93,0.96,95.833333,0.98,98.04878,0.9,42.5,0.1,2.3,0.8,40.2,1747.826087,0.4,0.4,0.8,0.9,25.8,27.2,41.6,42.5
