Mouse_ID,section,bregma,diet,treatment,legend,sex,cohort,cage,Area,Tany_N_cells,Tany_Posit_Nod2_cells,Tany_Posit_Pnoc_cells,Tany_Nod2_aver_puncta,Tany_Pnoc_aver_puncta,Tany_N_double_cells,Tany_Nod2_puncta_double,Tany_Pnoc_puncta_double
506,6,-1.91,HFHS,1472,HFHS 1472,M,5,130,21868.885,77,7,0,5.26,0,0,0,0
508,3,-1.55,HFHS,1472,HFHS 1472,M,5,130,8518.3483,44,17,8,7.78,15.59,6,10.1,18.76
508,4,-1.55_-1.67,HFHS,1472,HFHS 1472,M,5,130,14757.3296,43,19,7,6.42,9.25,5,10.15,10.26
508,5,-1.79_-1.91,HFHS,1472,HFHS 1472,M,5,130,15554.699,53,33,18,11.95,10.67,14,18.77,10.99
102,1,not known,Control,Vehicle,Control Vehicle,F,1,105,9587.2159,37,7,0,3.83,0,0,0,0
102,3,not known,Control,Vehicle,Control Vehicle,F,1,105,15285.3215,38,18,4,3.97,7.56,4,3.73,7.56
102,7,not known,Control,Vehicle,Control Vehicle,F,1,105,20299.2813,73,31,0,5.71,0,0,0,0
113,1,not known,Control,Vehicle,Control Vehicle,F,1,104,17456.3523,82,44,5,4.61,10.5,2,5.23,8.02
113,2,not known,Control,Vehicle,Control Vehicle,F,1,104,13152.4585,49,27,0,4.07,0,0,0,0
113,3,not known,Control,Vehicle,Control Vehicle,F,1,104,13953.4054,46,12,0,3.75,0,0,0,0
113,4,not known,Control,Vehicle,Control Vehicle,F,1,104,14855.3539,58,25,5,6.22,12.69,3,8.75,17.3
207,2,-1.55_-1.67,Control,Vehicle,Control Vehicle,F,2,122,16526.5469,50,16,0,5.52,0,0,0,0
207,4,-1.67_-1.79,Control,Vehicle,Control Vehicle,F,2,122,18403.48,63,45,1,6.32,5,0,0,0
207,5,-1.79,Control,Vehicle,Control Vehicle,F,2,122,12219.1148,49,28,0,6.86,0,0,0,0
