Mouse_ID,Cohort,Diet,Treatment,Legend,Age,food_intake,energy_intake
129,2,Control,Vehicle,Control Vehicle,PND4,7.1,25.773
113,4,Control,Vehicle,Control Vehicle,PND4,9.6,34.848
131,6,Control,Vehicle,Control Vehicle,PND4,6.3,22.869
110,1,HFHS,Vehicle,HFHS Vehicle,PND4,6.4,29.536
107,1,HFHS,Vehicle,HFHS Vehicle,PND4,6,27.69
123,2,HFHS,Vehicle,HFHS Vehicle,PND4,6.2,28.613
121,2,HFHS,Vehicle,HFHS Vehicle,PND4,7.4,34.151
125,3,HFHS,Vehicle,HFHS Vehicle,PND4,8.4,38.766
126,4,HFHS,Vehicle,HFHS Vehicle,PND4,6.1,28.1515
133,6,HFHS,Vehicle,HFHS Vehicle,PND4,8.1,37.3815
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND4,7.2,33.228
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND4,5.5,25.3825
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND4,10.7,49.3805
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND4,9.1,41.9965
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND4,7.3,33.6895
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND4,6.2,28.613
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND4,6.8,31.382
115,1,HFHS,1472,HFHS 1472,PND4,6.4,29.536
111,1,HFHS,1472,HFHS 1472,PND4,5.9,27.2285
120,2,HFHS,1472,HFHS 1472,PND4,6.2,28.613
127,2,HFHS,1472,HFHS 1472,PND4,6.7,30.9205
116,4,HFHS,1472,HFHS 1472,PND4,14,64.61
130,5,HFHS,1472,HFHS 1472,PND4,6.8,31.382
135,6,HFHS,1472,HFHS 1472,PND4,6.9,31.8435
105,1,Control,Vehicle,Control Vehicle,PND5,7.9,28.677
104,1,Control,Vehicle,Control Vehicle,PND5,5.5,19.965
117,2,Control,Vehicle,Control Vehicle,PND5,6,21.78
122,2,Control,Vehicle,Control Vehicle,PND5,7.5,27.225
129,2,Control,Vehicle,Control Vehicle,PND5,10.4,37.752
113,4,Control,Vehicle,Control Vehicle,PND5,8.3,30.129
131,6,Control,Vehicle,Control Vehicle,PND5,7.4,26.862
110,1,HFHS,Vehicle,HFHS Vehicle,PND5,7.8,35.997
107,1,HFHS,Vehicle,HFHS Vehicle,PND5,8.6,39.689
123,2,HFHS,Vehicle,HFHS Vehicle,PND5,6.9,31.8435
121,2,HFHS,Vehicle,HFHS Vehicle,PND5,8.3,38.3045
125,3,HFHS,Vehicle,HFHS Vehicle,PND5,8.4,38.766
126,4,HFHS,Vehicle,HFHS Vehicle,PND5,6.7,30.9205
133,6,HFHS,Vehicle,HFHS Vehicle,PND5,7.5,34.6125
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND5,7,32.305
