"Sex","Legend","name","n","G","U","grubbs","p_grubbs"
"F","Control Vehicle","IpGTT_basal_90min",12,2.08,0.57,"lowest value -2.1 is an outlier",0.123
"M","HFHS Vehicle","AUC.",12,2.08,0.571,"highest value 18089 is an outlier",0.125
"F","Control Vehicle","IpGTT_60min",12,2.07,0.573,"highest value 11.3 is an outlier",0.128
"M","Control Vehicle","IpGTT_60min",12,2.07,0.574,"highest value 12.6 is an outlier",0.129
"F","HFHS 1472","AUC_vs_basal",13,2.1,0.603,"lowest value 12078 is an outlier",0.137
"F","Control Vehicle","IpGTT_90min",12,2.03,0.593,"highest value 9.8 is an outlier",0.154
"M","HFHS 1472","IpGTT_60min",12,2.02,0.595,"highest value 13.5 is an outlier",0.156
"F","HFHS FOS+GOS","IpGTT_15min",12,2.01,0.601,"highest value 20.7 is an outlier",0.166
"M","HFHS 1472","AUC_crude",12,2,0.603,"highest value 1558 is an outlier",0.169
"M","Control Vehicle","IpGTT_basal_30min",12,2,0.604,"lowest value 2.3 is an outlier",0.17
"M","HFHS FOS+GOS","IpGTT_basal_90min",13,2.03,0.628,"highest value 2.5 is an outlier",0.174
"M","HFHS 1472","IpGTT_basal_30min",12,1.99,0.607,"lowest value 0.4 is an outlier",0.174
"F","Control Vehicle","AUC.",12,1.97,0.615,"highest value 19489 is an outlier",0.189
"F","HFHS Vehicle","IpGTT_120min",12,1.97,0.617,"lowest value 4.4 is an outlier",0.192
"F","HFHS FOS+GOS","IpGTT_30min",12,1.96,0.621,"lowest value 7.5 is an outlier",0.198
"F","HFHS Vehicle","IpGTT_15min",12,1.95,0.622,"lowest value 7.7 is an outlier",0.2
"F","HFHS FOS+GOS","IpGTT_basal_15min",12,1.91,0.636,"highest value 12.9 is an outlier",0.228
"M","HFHS 1472","IpGTT_basal_15min",12,1.91,0.637,"lowest value 3.1 is an outlier",0.229
"F","HFHS Vehicle","AUC_vs_basal",12,1.9,0.641,"lowest value 11998 is an outlier",0.236
"F","Control Vehicle","IpGTT_basal_30min",12,1.9,0.642,"lowest value 0.9 is an outlier",0.239
"M","HFHS Vehicle","Basal_Glucose",12,1.89,0.644,"lowest value 7.1 is an outlier",0.244
"M","HFHS Vehicle","IpGTT_0min",12,1.89,0.644,"lowest value 7.1 is an outlier",0.244
"F","HFHS 1472","IpGTT_basal_90min",13,1.93,0.664,"highest value 2 is an outlier",0.246
"M","Control Vehicle","AUC_crude",12,1.88,0.648,"highest value 1508 is an outlier",0.251
"F","HFHS 1472","IpGTT_90min",13,1.92,0.667,"lowest value 6.9 is an outlier",0.253
"F","HFHS Vehicle","IpGTT_60min",12,1.86,0.656,"lowest value 7.8 is an outlier",0.271
"M","Control Vehicle","IpGTT_basal_60min",12,1.86,0.657,"highest value 3.3 is an outlier",0.272
"F","Control Vehicle","IpGTT_basal_15min",12,1.86,0.657,"lowest value 2.6 is an outlier",0.273
"M","Control Vehicle","AUC_vs_basal",12,1.85,0.66,"highest value 12392 is an outlier",0.279
"F","HFHS 1472","AUC.",13,1.87,0.683,"lowest value 13099 is an outlier",0.293
"F","HFHS FOS+GOS","AUC_crude",12,1.82,0.67,"lowest value 825.8 is an outlier",0.305
"M","HFHS 1472","IpGTT_90min",12,1.82,0.67,"highest value 11.4 is an outlier",0.305
"F","HFHS FOS+GOS","IpGTT_basal_120min",12,1.82,0.672,"lowest value -2.5 is an outlier",0.309
"M","Control Vehicle","IpGTT_15min",12,1.81,0.674,"highest value 19.8 is an outlier",0.315
"F","Control Vehicle","AUC_vs_basal",12,1.8,0.68,"highest value 12502 is an outlier",0.331
"F","HFHS Vehicle","IpGTT_basal_15min",12,1.79,0.682,"lowest value 1 is an outlier",0.336
"F","HFHS 1472","IpGTT_basal_120min",13,1.82,0.702,"highest value 1.4 is an outlier",0.347
"F","Control Vehicle","IpGTT_30min",12,1.78,0.686,"lowest value 8.7 is an outlier",0.35
"F","HFHS Vehicle","AUC.",12,1.78,0.686,"lowest value 11966 is an outlier",0.35
"M","HFHS FOS+GOS","IpGTT_30min",13,1.8,0.709,"highest value 16.1 is an outlier",0.371
"M","Control Vehicle","IpGTT_90min",12,1.74,0.699,"highest value 10.2 is an outlier",0.387
"M","Control Vehicle","IpGTT_basal_15min",12,1.73,0.702,"highest value 10.5 is an outlier",0.397
"M","HFHS FOS+GOS","IpGTT_120min",13,1.77,0.718,"highest value 9 is an outlier",0.403
"M","HFHS FOS+GOS","AUC.",13,1.76,0.719,"highest value 19240 is an outlier",0.407
"M","HFHS 1472","IpGTT_120min",12,1.72,0.708,"highest value 9.6 is an outlier",0.418
"M","HFHS 1472","IpGTT_basal_120min",12,1.71,0.709,"highest value 1.7 is an outlier",0.422
"M","HFHS FOS+GOS","IpGTT_15min",13,1.73,0.729,"highest value 21.3 is an outlier",0.444
"M","Control Vehicle","IpGTT_120min",12,1.68,0.719,"lowest value 6.3 is an outlier",0.458
"M","HFHS 1472","IpGTT_basal_60min",12,1.67,0.723,"lowest value -0.9 is an outlier",0.474
"F","Control Vehicle","IpGTT_15min",12,1.66,0.726,"lowest value 10.4 is an outlier",0.485
"M","HFHS FOS+GOS","IpGTT_basal_15min",13,1.7,0.74,"highest value 13.5 is an outlier",0.486
"F","HFHS 1472","IpGTT_120min",13,1.69,0.742,"highest value 8.3 is an outlier",0.495
"M","Control Vehicle","Basal_Glucose",12,1.65,0.729,"lowest value 6.7 is an outlier",0.497
"M","Control Vehicle","IpGTT_0min",12,1.65,0.729,"lowest value 6.7 is an outlier",0.497
"M","HFHS FOS+GOS","AUC_vs_basal",13,1.69,0.743,"highest value 12521 is an outlier",0.502
"F","HFHS Vehicle","IpGTT_basal_60min",12,1.65,0.732,"highest value 2.9 is an outlier",0.507
"F","HFHS 1472","Basal_Glucose",13,1.68,0.747,"lowest value 6.1 is an outlier",0.517
"F","HFHS 1472","IpGTT_0min",13,1.68,0.747,"lowest value 6.1 is an outlier",0.517
"M","HFHS FOS+GOS","IpGTT_basal_120min",13,1.67,0.748,"highest value 0.6 is an outlier",0.523
"F","HFHS Vehicle","IpGTT_basal_90min",12,1.63,0.736,"highest value 1.7 is an outlier",0.526
"M","HFHS Vehicle","IpGTT_basal_15min",12,1.63,0.736,"lowest value 2.7 is an outlier",0.527
"F","HFHS 1472","IpGTT_60min",13,1.63,0.759,"lowest value 8 is an outlier",0.574
"M","HFHS 1472","IpGTT_basal_90min",12,1.6,0.747,"lowest value -2.3 is an outlier",0.574
"F","HFHS 1472","IpGTT_basal_60min",13,1.62,0.763,"highest value 4.4 is an outlier",0.594
"F","HFHS Vehicle","IpGTT_90min",12,1.57,0.756,"lowest value 5.8 is an outlier",0.615
"F","HFHS FOS+GOS","IpGTT_90min",12,1.54,0.765,"lowest value 5.8 is an outlier",0.661
"M","HFHS Vehicle","IpGTT_15min",12,1.54,0.765,"highest value 18.9 is an outlier",0.663
"M","HFHS 1472","IpGTT_15min",12,1.54,0.766,"highest value 18.4 is an outlier",0.666
"F","Control Vehicle","Basal_Glucose",12,1.53,0.769,"lowest value 6.6 is an outlier",0.684
"F","Control Vehicle","IpGTT_0min",12,1.53,0.769,"lowest value 6.6 is an outlier",0.684
"F","Control Vehicle","AUC_crude",12,1.51,0.775,"highest value 1310 is an outlier",0.715
"M","HFHS 1472","AUC_vs_basal",12,1.48,0.783,"lowest value 11990 is an outlier",0.764
"M","HFHS FOS+GOS","IpGTT_basal_60min",13,1.47,0.804,"highest value 3.4 is an outlier",0.842
"M","HFHS FOS+GOS","AUC_crude",13,1.45,0.809,"lowest value 1075 is an outlier",0.88
"M","HFHS FOS+GOS","IpGTT_60min",13,1.38,0.827,"highest value 11.7 is an outlier",1
