symbol,sex,statistic_diet,p.adj_diet
Arnt,F,1.642423855,0.132
Arpc1a,F,1.982091906,0.101
Arpc4,F,1.805009693,0.111
Arpc5,F,1.790249826,0.129
Arsk,F,1.777691001,0.129
Asah1,F,1.469752692,0.192
Asap2,F,1.708647633,0.134
Asb13,F,1.892008142,0.107
Asb3,F,1.95758381,0.1
Asb6,F,-1.548609318,0.181
Ascc1,F,1.49928088,0.166
Ash2l,F,1.679761728,0.128
Aspa,F,1.42673862,0.195
Asxl2,F,1.730146258,0.114
Atad1,F,1.51341805,0.186
Atf7ip,F,1.393576309,0.199
Atg12,F,1.518901499,0.175
Atg16l1,F,1.696331805,0.128
Atg3,F,1.747988007,0.113
Atg4b,F,1.522788636,0.161
Atg5,F,1.898457494,0.104
Atl1,F,1.789984824,0.127
Atl2,F,1.482726559,0.192
Atl3,F,1.437074518,0.194
Atp11c,F,1.611752753,0.158
Atp13a3,F,1.521030028,0.176
Atp1b1,F,1.946187483,0.1
Atp23,F,-1.586440032,0.161
Atp2a2,F,1.620223051,0.16
Atp5mc1,F,1.416053976,0.19
Atp6ap2,F,1.650795068,0.154
Atp6v0a2,F,1.496032983,0.174
Atp6v1a,F,1.772154389,0.131
Atp6v1c1,F,1.87912945,0.116
Atp6v1c2,F,1.419530175,0.196
Atp6v1h,F,1.689503932,0.149
Atp8b3,F,-1.478740902,0.18
Atr,F,1.821085349,0.112
Atrn,F,1.736126803,0.116
Atxn10,F,1.865568734,0.114
Atxn2,F,1.7267465,0.129
Avil,F,-1.632472291,0.139
Azin1,F,1.644764744,0.152
B230217C12Rik,F,1.678024915,0.144
B230219D22Rik,F,1.69476124,0.147
B230307C23Rik,F,1.412485893,0.188
B3glct,F,1.487815459,0.184
B3gnt5,F,1.40798109,0.19
B4galt3,F,-1.606241316,0.163
B4galt4,F,1.770277612,0.116
B630019K06Rik,F,1.444407286,0.198
BC030500,F,1.712775132,0.118
BC107364,F,1.483605764,0.173
Bach1,F,1.788011744,0.128
Bag2,F,1.836931356,0.113
Bahcc1,F,-1.753491027,0.126
Bbox1,F,1.648085397,0.148
Bbs4,F,1.542344171,0.157
Bbs5,F,1.860882126,0.108
Bcas2,F,1.778058379,0.126
Bcl10,F,1.518050483,0.179
Bcl2,F,1.633904141,0.153
Bclaf1,F,1.488150589,0.179
Bdkrb2,F,-1.500151971,0.179
Bean1,F,-1.641452145,0.137
Becn1,F,1.877220493,0.106
Bend6,F,1.885885038,0.115
Bfar,F,1.716473125,0.134
Bhlhb9,F,1.734035374,0.138
Bhlhe41,F,-1.465586034,0.173
Bicc1,F,1.764622252,0.109
Bicd1,F,1.635310832,0.153
Bicd2,F,1.657964379,0.138
Blmh,F,1.502518767,0.174
Bloc1s6,F,1.521664295,0.175
Bmi1,F,1.655152439,0.152
Bmp2,F,1.470017303,0.179
Bmp2k,F,1.859491342,0.119
Bmpr1a,F,1.621350837,0.154
Bmpr1b,F,1.87886442,0.102
Bnip3,F,1.602052312,0.168
Bnip3l,F,1.548429075,0.173
Borcs7,F,1.628540508,0.155
Bphl,F,1.536624545,0.175
Bpifb1,F,-1.492909667,0.191
Bpnt1,F,1.669487779,0.145
Bpnt2,F,1.582540162,0.169
Brcc3,F,1.929382427,0.107
Brd4,F,1.446854429,0.18
Bri3bp,F,1.461687417,0.175
Brinp1,F,1.891705801,0.1
Brinp3,F,1.648576059,0.134
Brox,F,1.844971445,0.114
Brs3,F,1.757935315,0.124
Btaf1,F,1.799743752,0.11
Btbd10,F,1.535143477,0.167
Btbd19,F,1.472577907,0.172
Btbd9,F,1.422571349,0.186
Btc,F,1.759611192,0.136
Btf3l4,F,1.586910625,0.166
Btf3l4b,F,-1.703065431,0.149
Btg1,F,1.766293396,0.112
Btnl10,F,1.850845644,0.1
Bub3,F,1.470485789,0.196
Bud31,F,1.428471848,0.187
Bzw1,F,1.927865187,0.106
C1d,F,1.653463477,0.151
Cab39,F,1.693947872,0.146
Cab39l,F,1.6702831,0.149
Cacna1c,F,1.668395187,0.126
Cacna2d3,F,1.789683694,0.116
Cacnb4,F,1.818021188,0.114
Cacul1,F,1.607748814,0.162
Cadm2,F,1.713609316,0.14
Calb1,F,1.773462418,0.134
Calcr,F,1.695988186,0.145
Cald1,F,1.728804319,0.129
Calm1,F,1.842561361,0.121
