"","timepoint","age","sex","legend","name","n","G","U","grubbs","p_grubbs"
"48","w5","pup","F","Control Vehicle","Total",6,1.69,0.313,"highest value 55.74525745 is an outlier",0.124
"49","w5","pup","M","HFHS B. longum APC1472","Valerate",7,1.79,0.38,"highest value 2.370030581 is an outlier",0.125
"50","w12","pup","F","Control Vehicle","Propionate",6,1.68,0.325,"lowest value 2.884 is an outlier",0.135
"51","w5","pup","M","HFHS Vehicle","Acetate",14,2.13,0.624,"lowest value 10.2977978 is an outlier",0.138
"52","w5","pup","F","HFHS B. longum APC1472","IsoButyrate",9,1.9,0.493,"lowest value 0.637860082 is an outlier",0.142
"53","dam","dam","F","Control Vehicle","Valerate",7,1.75,0.403,"highest value 2.632850242 is an outlier",0.146
"54","w5","pup","M","HFHS Vehicle","Propionate",14,2.11,0.63,"highest value 6.405228758 is an outlier",0.146
"55","dam","dam","F","Control Vehicle","Total",7,1.75,0.406,"highest value 44.93872549 is an outlier",0.149
"56","w12","pup","M","HFHS B. longum APC1472","Total",6,1.65,0.344,"lowest value 13.884 is an outlier",0.152
"57","w5","pup","M","HFHS Vehicle","Butyrate",14,2.09,0.637,"highest value 5.170517052 is an outlier",0.158
"58","w12","pup","M","Control Vehicle","Butyrate",6,1.63,0.362,"highest value 4.239 is an outlier",0.17
"59","dam","dam","F","Control Vehicle","IsoButyrate",7,1.72,0.428,"highest value 0.784313725 is an outlier",0.171
"60","w12","pup","F","HFHS Vehicle","Valerate",6,1.63,0.363,"lowest value 1.231 is an outlier",0.171
"61","w5","pup","F","Control Vehicle","IsoButyrate",6,1.63,0.364,"highest value 1.029810298 is an outlier",0.172
"62","w5","pup","M","HFHS Vehicle","Total",14,2.06,0.647,"highest value 35.95315904 is an outlier",0.175
"63","dam","dam","F","HFHS B. longum APC1472","Propionate",7,1.71,0.433,"highest value 8.238993711 is an outlier",0.178
"64","dam","dam","F","HFHS FOS+GOS","Butyrate",7,1.7,0.435,"highest value 6.128550075 is an outlier",0.18
"65","w5","pup","F","HFHS B. longum APC1472","Acetate",9,1.82,0.532,"lowest value 18.08531746 is an outlier",0.19
"66","w5","pup","F","HFHS Vehicle","IsoButyrate",8,1.76,0.494,"highest value 0.811111111 is an outlier",0.191
"67","w12","pup","M","HFHS FOS+GOS","Butyrate",6,1.6,0.383,"highest value 7.308 is an outlier",0.193
"68","w12","pup","M","HFHS B. longum APC1472","Acetate",6,1.6,0.387,"lowest value 7.91 is an outlier",0.196
"69","w12","pup","M","Control Vehicle","Total",6,1.6,0.387,"highest value 39.467 is an outlier",0.197
"70","dam","dam","F","Control Vehicle","Acetate",7,1.68,0.45,"highest value 29.46078431 is an outlier",0.198
"71","w5","pup","F","HFHS FOS+GOS","IsoButyrate",10,1.87,0.57,"lowest value 0.193142361 is an outlier",0.198
"72","w12","pup","F","HFHS Vehicle","Butyrate",6,1.59,0.396,"highest value 4.358 is an outlier",0.207
"73","w12","pup","M","HFHS B. longum APC1472","IsoValerate",6,1.58,0.399,"lowest value 0.348 is an outlier",0.211
"74","dam","dam","F","HFHS Vehicle","Acetate",7,1.66,0.463,"highest value 26.18945869 is an outlier",0.213
"75","w5","pup","M","HFHS FOS+GOS","Acetate",13,1.96,0.652,"highest value 28.45730028 is an outlier",0.22
"76","dam","dam","F","HFHS B. longum APC1472","Valerate",7,1.65,0.469,"highest value 2.520964361 is an outlier",0.221
"77","dam","dam","F","Control Vehicle","IsoValerate",7,1.65,0.469,"highest value 0.800653595 is an outlier",0.222
"78","w5","pup","M","HFHS B. longum APC1472","IsoButyrate",7,1.64,0.474,"highest value 0.606523955 is an outlier",0.228
"79","w12","pup","M","HFHS Vehicle","Acetate",6,1.56,0.418,"highest value 28.152 is an outlier",0.232
"80","w5","pup","M","Control Vehicle","Acetate",11,1.86,0.618,"highest value 36.50715072 is an outlier",0.234
"81","w12","pup","M","HFHS B. longum APC1472","IsoButyrate",6,1.55,0.421,"highest value 0.569 is an outlier",0.236
"82","w5","pup","M","Control Vehicle","Propionate",11,1.86,0.62,"highest value 7.936507937 is an outlier",0.239
"83","w5","pup","M","HFHS FOS+GOS","Valerate",13,1.93,0.662,"highest value 2.04007286 is an outlier",0.242
"84","w5","pup","M","Control Vehicle","IsoButyrate",11,1.84,0.627,"highest value 0.918367347 is an outlier",0.253
"85","w5","pup","F","HFHS Vehicle","Propionate",8,1.68,0.537,"highest value 6.677777778 is an outlier",0.253
"86","dam","dam","F","HFHS FOS+GOS","IsoValerate",7,1.62,0.492,"lowest value 0.329018339 is an outlier",0.254
"87","w5","pup","M","HFHS B. longum APC1472","Acetate",7,1.61,0.495,"lowest value 15.54341226 is an outlier",0.258
"88","w5","pup","M","HFHS FOS+GOS","IsoValerate",13,1.91,0.67,"lowest value 0.366621682 is an outlier",0.261
"89","w5","pup","F","HFHS B. longum APC1472","Butyrate",9,1.73,0.578,"lowest value 3.991769547 is an outlier",0.263
"90","dam","dam","F","Control Vehicle","Butyrate",7,1.6,0.5,"lowest value 1.093903638 is an outlier",0.264
"91","w5","pup","M","Control Vehicle","Butyrate",11,1.81,0.639,"highest value 6.201814059 is an outlier",0.277
"92","w5","pup","M","HFHS Vehicle","Valerate",14,1.92,0.695,"highest value 2.607260726 is an outlier",0.284
"93","w12","pup","M","HFHS B. longum APC1472","Propionate",6,1.5,0.458,"highest value 4.467 is an outlier",0.285
"94","dam","dam","F","HFHS B. longum APC1472","Acetate",7,1.57,0.52,"highest value 25.1335056 is an outlier",0.296
"95","w12","pup","F","HFHS Vehicle","IsoValerate",6,1.47,0.482,"highest value 0.616 is an outlier",0.32
"96","w5","pup","F","Control Vehicle","IsoValerate",6,1.45,0.497,"highest value 1.192411924 is an outlier",0.343
"97","w5","pup","F","HFHS FOS+GOS","Valerate",10,1.69,0.646,"highest value 1.82427108 is an outlier",0.347
"98","w5","pup","M","HFHS B. longum APC1472","Total",7,1.52,0.55,"lowest value 25.51305404 is an outlier",0.347
"99","w12","pup","F","Control Vehicle","IsoButyrate",6,1.44,0.502,"highest value 0.542 is an outlier",0.352
"100","w5","pup","F","Control Vehicle","Acetate",6,1.43,0.508,"highest value 30.09485095 is an outlier",0.361
"101","w5","pup","F","HFHS B. longum APC1472","Total",9,1.59,0.643,"lowest value 34.5627572 is an outlier",0.402
"102","w12","pup","F","Control Vehicle","Acetate",6,1.38,0.543,"highest value 23.354 is an outlier",0.421
"103","dam","dam","F","Control Vehicle","Propionate",7,1.45,0.589,"highest value 6.552287582 is an outlier",0.422
"104","w5","pup","F","HFHS FOS+GOS","Total",10,1.62,0.675,"highest value 60.22786458 is an outlier",0.427
"105","dam","dam","F","HFHS B. longum APC1472","IsoButyrate",7,1.45,0.593,"highest value 0.854297694 is an outlier",0.43
"106","w12","pup","F","Control Vehicle","Total",6,1.35,0.564,"highest value 33.714 is an outlier",0.461
"107","w5","pup","F","HFHS Vehicle","Butyrate",8,1.48,0.641,"highest value 5.622222222 is an outlier",0.465
"108","w12","pup","F","HFHS Vehicle","Total",6,1.34,0.569,"lowest value 17.263 is an outlier",0.471
"109","w12","pup","M","Control Vehicle","Propionate",6,1.34,0.572,"lowest value 2.429 is an outlier",0.475
"110","w12","pup","F","HFHS B. longum APC1472","IsoButyrate",7,1.41,0.614,"highest value 0.464 is an outlier",0.476
"111","w5","pup","M","HFHS B. longum APC1472","IsoValerate",7,1.4,0.617,"lowest value 0.46031746 is an outlier",0.485
"112","w12","pup","F","HFHS B. longum APC1472","IsoValerate",7,1.38,0.631,"lowest value 0.435 is an outlier",0.517
"113","dam","dam","F","HFHS B. longum APC1472","IsoValerate",7,1.38,0.632,"highest value 0.791404612 is an outlier",0.52
"114","w5","pup","M","HFHS B. longum APC1472","Butyrate",7,1.38,0.632,"lowest value 2.931972789 is an outlier",0.52
"115","w12","pup","F","HFHS Vehicle","Acetate",6,1.29,0.598,"lowest value 9.014 is an outlier",0.529
"116","w5","pup","M","HFHS FOS+GOS","IsoButyrate",13,1.67,0.75,"highest value 0.483405483 is an outlier",0.53
"117","dam","dam","F","HFHS Vehicle","IsoButyrate",7,1.37,0.637,"highest value 0.901709402 is an outlier",0.534
"118","w12","pup","F","HFHS B. longum APC1472","Acetate",7,1.36,0.639,"highest value 20.003 is an outlier",0.539
"119","w12","pup","F","HFHS B. longum APC1472","Total",7,1.36,0.64,"lowest value 19.448 is an outlier",0.539
"120","w12","pup","F","HFHS B. longum APC1472","Butyrate",7,1.36,0.64,"highest value 3.179 is an outlier",0.54
"121","w12","pup","M","HFHS Vehicle","IsoButyrate",6,1.28,0.608,"highest value 0.637 is an outlier",0.55
"122","dam","dam","F","HFHS B. longum APC1472","Total",7,1.35,0.646,"highest value 39.06546081 is an outlier",0.554
"123","w5","pup","F","HFHS Vehicle","Total",8,1.4,0.681,"highest value 53.31111111 is an outlier",0.579
"124","w12","pup","M","Control Vehicle","IsoButyrate",6,1.25,0.624,"lowest value 0.329 is an outlier",0.587
