"","legend","sex","name","n","G","U","grubbs","p_grubbs"
"44","Control Vehicle","F","Ghsr_aver_puncta",13,2.26,0.538,"highest value 33.83 is an outlier",0.0687
"45","HFHS Vehicle","F","N_triple_cells",14,2.29,0.564,"highest value 12 is an outlier",0.0711
"46","Control Vehicle","M","double_Lepr_Pomc_cells_among_Pomc_posit_cells",11,2.16,0.486,"lowest value 21.77419355 is an outlier",0.0719
"47","HFHS 1472","F","double_Lepr_Ghsr_cells_among_Ghsr_posit_cells",10,2.1,0.453,"lowest value 24.8 is an outlier",0.0725
"48","HFHS 1472","F","Pomc_puncta_double_Ghsr_Pomc_cells",10,2.09,0.462,"lowest value 4.89 is an outlier",0.0788
"49","Control Vehicle","F","double_Lepr_Pomc_cells_among_Lepr_posit_cells",13,2.22,0.554,"highest value 77.41935484 is an outlier",0.0817
"50","HFHS 1472","F","double_Ghsr_Pomc_cells",10,2.08,0.467,"highest value 79 is an outlier",0.0826
"51","Control Vehicle","F","Posit_Pomc_cells",13,2.22,0.557,"highest value 208 is an outlier",0.0845
"52","HFHS FOS+GOS","M","Ghsr_puncta_triple_cells",12,2.17,0.533,"highest value 49.95 is an outlier",0.0859
"53","HFHS 1472","M","Posit_Pomc_cells",13,2.21,0.559,"highest value 255 is an outlier",0.0862
"54","Control Vehicle","M","Area",11,2.12,0.507,"highest value 136614.2881 is an outlier",0.0883
"55","Control Vehicle","F","Lepr_puncta_triple_cells",13,2.18,0.57,"highest value 55.58 is an outlier",0.0969
"56","HFHS 1472","F","Pomc_puncta_triple_cells",10,2.03,0.489,"lowest value 4.5 is an outlier",0.101
"57","HFHS FOS+GOS","M","triple_posit_cells_among_Pomc_cells",12,2.13,0.552,"highest value 34.57627119 is an outlier",0.104
"58","HFHS 1472","F","Ghsr_puncta_double_Ghsr_Pomc_cells",10,2.02,0.495,"highest value 44.31 is an outlier",0.106
"59","HFHS 1472","M","double_Ghsr_Pomc_cells_among_Ghsr_posit_cells",13,2.16,0.58,"highest value 74.4966443 is an outlier",0.108
"60","HFHS FOS+GOS","M","double_Lepr_Pomc_cells_among_Lepr_posit_cells",12,2.11,0.558,"highest value 84.44444444 is an outlier",0.111
"61","Control Vehicle","M","double_Lepr_Pomc_cells_among_Lepr_posit_cells",11,2.06,0.533,"lowest value 13.39285714 is an outlier",0.112
"62","HFHS FOS+GOS","M","triple_posit_cells_among_Lepr_cells",12,2.1,0.562,"highest value 75.55555556 is an outlier",0.114
"63","HFHS 1472","M","double_Lepr_Pomc_cells_among_Pomc_posit_cells",13,2.14,0.585,"highest value 77.27272727 is an outlier",0.114
"64","HFHS FOS+GOS","F","Area",10,2,0.506,"highest value 146273.1439 is an outlier",0.117
"65","HFHS 1472","F","Lepr_puncta_double_Lepr_Pomc_cells",10,1.99,0.509,"highest value 31.1 is an outlier",0.12
"66","HFHS FOS+GOS","M","ARC_cells",12,2.09,0.567,"highest value 747 is an outlier",0.121
"67","Control Vehicle","M","double_Lepr_Ghsr_cells_among_Ghsr_posit_cells",11,2.04,0.543,"lowest value 19.89247312 is an outlier",0.123
"68","HFHS Vehicle","M","Posit_Lepr_cells",11,2.04,0.544,"highest value 132 is an outlier",0.124
"69","Control Vehicle","F","Ghsr_puncta_triple_cells",13,2.12,0.595,"highest value 74.54 is an outlier",0.126
"70","Control Vehicle","M","Pomc_puncta_double_Ghsr_Pomc_cells",11,2.03,0.546,"highest value 48.58 is an outlier",0.127
"71","HFHS 1472","F","double_Ghsr_Pomc_cells_among_Ghsr_posit_cells",10,1.98,0.515,"highest value 34.16149068 is an outlier",0.127
"72","HFHS 1472","M","Pomc_puncta_double_Lepr_Pomc_cells",13,2.09,0.604,"highest value 115.29 is an outlier",0.138
"73","HFHS FOS+GOS","M","double_Lepr_Ghsr_cells_among_Ghsr_posit_cells",12,2.05,0.585,"highest value 76.74418605 is an outlier",0.142
"74","HFHS Vehicle","F","Lepr_puncta_double_Lepr_Ghsr_cells",14,2.12,0.628,"highest value 20.9 is an outlier",0.144
"75","HFHS 1472","F","Pomc_aver_puncta",10,1.95,0.533,"highest value 52.71 is an outlier",0.146
"76","Control Vehicle","M","Pomc_puncta_triple_cells",11,1.99,0.563,"highest value 48.47 is an outlier",0.147
"77","HFHS Vehicle","M","Lepr_puncta_double_Lepr_Ghsr_cells",11,1.99,0.563,"highest value 21.45 is an outlier",0.147
"78","HFHS FOS+GOS","M","double_Lepr_Ghsr_cells",12,2.04,0.588,"highest value 117 is an outlier",0.147
"79","HFHS 1472","M","double_Ghsr_Pomc_cells_among_Pomc_posit_cells",13,2.08,0.611,"highest value 72.72727273 is an outlier",0.148
"80","HFHS 1472","F","triple_posit_cells_among_Lepr_cells",10,1.94,0.537,"highest value 31.73076923 is an outlier",0.151
"81","Control Vehicle","M","Posit_Pomc_cells",11,1.98,0.569,"lowest value 31 is an outlier",0.155
"82","Control Vehicle","M","Pomc_aver_puncta",11,1.97,0.572,"highest value 42.04 is an outlier",0.159
"83","Control Vehicle","M","double_Ghsr_Pomc_cells_among_Ghsr_posit_cells",11,1.97,0.571,"lowest value 6.722689076 is an outlier",0.159
"84","HFHS 1472","F","double_Lepr_Pomc_cells",10,1.92,0.544,"highest value 89 is an outlier",0.161
"85","HFHS Vehicle","F","Pomc_aver_puncta",14,2.08,0.641,"highest value 35.39 is an outlier",0.166
"86","Control Vehicle","F","triple_posit_cells_among_Pomc_cells",13,2.03,0.627,"highest value 76.19047619 is an outlier",0.173
"87","Control Vehicle","M","triple_posit_cells_among_Lepr_cells",11,1.95,0.582,"lowest value 7.142857143 is an outlier",0.174
"88","HFHS Vehicle","M","double_Lepr_Ghsr_cells_among_Ghsr_posit_cells",11,1.95,0.582,"highest value 57.24137931 is an outlier",0.174
"89","HFHS Vehicle","F","Posit_Pomc_cells",14,2.07,0.646,"highest value 55 is an outlier",0.174
"90","HFHS 1472","M","triple_posit_cells_among_Ghsr_cells",13,2.03,0.629,"highest value 48.99328859 is an outlier",0.176
"91","HFHS Vehicle","M","triple_posit_cells_among_Ghsr_cells",11,1.94,0.586,"highest value 20.32520325 is an outlier",0.179
"92","HFHS Vehicle","F","Pomc_puncta_double_Ghsr_Pomc_cells",14,2.05,0.651,"highest value 34.72 is an outlier",0.183
"93","Control Vehicle","F","Pomc_puncta_double_Lepr_Pomc_cells",13,2.01,0.637,"highest value 74.88 is an outlier",0.19
"94","HFHS Vehicle","M","double_Lepr_Pomc_cells_among_Pomc_posit_cells",11,1.92,0.593,"highest value 52.94117647 is an outlier",0.191
"95","HFHS Vehicle","F","Pomc_puncta_triple_cells",14,2.04,0.655,"highest value 37.48 is an outlier",0.191
