"","legend","sex","name","n","G","U","grubbs","p_grubbs"
"220","HFHS FOS+GOS","F","N_triple_cells",10,1.43,0.748,"highest value 23 is an outlier",0.697
"221","HFHS 1472","M","Ghsr_puncta_double_Lepr_Ghsr_cells",13,1.55,0.784,"highest value 35.97 is an outlier",0.712
"222","HFHS FOS+GOS","F","double_Ghsr_Pomc_cells_among_Ghsr_posit_cells",10,1.41,0.756,"lowest value 4.861111111 is an outlier",0.734
"223","HFHS Vehicle","M","double_Ghsr_Pomc_cells",11,1.44,0.772,"highest value 40 is an outlier",0.757
"224","HFHS Vehicle","F","triple_posit_cells_among_Pomc_cells",14,1.55,0.801,"highest value 28.57142857 is an outlier",0.768
"225","HFHS FOS+GOS","F","double_Lepr_Pomc_cells",10,1.38,0.764,"lowest value 1 is an outlier",0.771
"226","HFHS Vehicle","M","double_Ghsr_Pomc_cells_among_Ghsr_posit_cells",11,1.43,0.776,"lowest value 1.960784314 is an outlier",0.778
"227","Control Vehicle","M","N_triple_cells",11,1.43,0.776,"lowest value 8 is an outlier",0.78
"228","HFHS Vehicle","F","double_Ghsr_Pomc_cells_among_Pomc_posit_cells",14,1.54,0.803,"highest value 42.85714286 is an outlier",0.782
"229","HFHS Vehicle","F","Posit_Ghsr_cells",14,1.53,0.805,"lowest value 4 is an outlier",0.8
"230","HFHS Vehicle","M","triple_posit_cells_among_Lepr_cells",11,1.4,0.783,"highest value 32.91139241 is an outlier",0.819
"231","HFHS Vehicle","F","Posit_Lepr_cells",14,1.52,0.808,"lowest value 23 is an outlier",0.82
"232","HFHS 1472","M","double_Lepr_Ghsr_cells_among_Ghsr_posit_cells",13,1.48,0.803,"lowest value 13.54166667 is an outlier",0.838
"233","HFHS Vehicle","M","N_triple_cells",11,1.39,0.787,"highest value 26 is an outlier",0.843
"234","Control Vehicle","M","Ghsr_aver_puncta",11,1.36,0.796,"lowest value 12.33 is an outlier",0.896
"235","HFHS 1472","M","Ghsr_puncta_triple_cells",13,1.43,0.816,"highest value 43.53 is an outlier",0.934
"236","HFHS 1472","M","double_Lepr_Pomc_cells_among_Lepr_posit_cells",13,1.4,0.823,"highest value 85.6 is an outlier",0.994
"237","Control Vehicle","M","Lepr_aver_puncta",11,1.31,0.811,"highest value 20.49 is an outlier",0.996
"238","HFHS 1472","M","double_Lepr_Ghsr_cells",13,1.32,0.844,"lowest value 9 is an outlier",1
"239","HFHS Vehicle","F","double_Lepr_Ghsr_cells",14,1.39,0.839,"lowest value 2 is an outlier",1
"240","HFHS FOS+GOS","F","Pomc_puncta_double_Lepr_Pomc_cells",10,1.22,0.815,"lowest value 16.36 is an outlier",1
