"module_name","sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"Propionate synthesis I","F","w10",-0.846353241621207,0.406,1.69474974235707,0.191,3.25854282473386,0.01,"not restored","not restored"
"Propionate synthesis I","F","w5",3.62584068323929,0.002,-3.35286451992785,0.006,1.35991757707909,0.188,"restored","not restored"
"Propionate synthesis I","M","w10",2.71881464923266,0.015,-3.96170305545614,0.002,0.0775605651054167,0.939,"restored","not restored"
"Propionate synthesis I","M","w5",5.39978275222512,4.21e-05,-4.77856336359639,0.00039,-1.79810627529364,0.086,"restored","not restored"
"Propionate synthesis II","F","w10",-0.770560240355579,0.45,7.02234320285646,9.94e-07,0.420440983760138,0.678,"not restored","not restored"
"Propionate synthesis II","F","w5",-3.10280269139635,0.007,6.39574631281327,1.14e-05,-0.864614983088461,0.398,"restored","not restored"
"Propionate synthesis II","M","w10",-1.51235843653476,0.145,7.81446700114876,5.91e-07,-0.453048297292982,0.655,"not restored","not restored"
"Propionate synthesis II","M","w5",-1.34087327417049,0.194,0.262479736917128,0.795,-2.39521348621531,0.055,"not restored","not restored"
"Propionate synthesis III","F","w10",0.0957516167021032,0.925,-1.75738338901724,0.186,-2.51247673856873,0.058,"not restored","not restored"
"Propionate synthesis III","F","w5",-0.841232319297235,0.409,0.00958192909577858,0.992,-1.52708649024816,0.42,"not restored","not restored"
"Propionate synthesis III","M","w10",-0.0194523569212915,0.985,1.75385245596628,0.186,-0.949882490543959,0.353,"not restored","not restored"
"Propionate synthesis III","M","w5",-3.40207625776536,0.003,3.95946766343341,0.002,0.655848837125365,0.52,"restored","not restored"
