Sex,Age,Legend,name,n,G,U,grubbs,p_grubbs
F,PND21,Control Vehicle,bw,12,1.86,0.656,highest value 8.6 is an outlier,0.269
F,PND7,HFHS FOS+GOS,bw,12,1.86,0.658,highest value 4.6 is an outlier,0.275
F,PND49,Control Vehicle,bw,12,1.84,0.663,lowest value 12.7 is an outlier,0.287
M,PND63,HFHS Vehicle,bw,12,1.82,0.671,lowest value 20 is an outlier,0.308
F,PND42,HFHS Vehicle,bw,12,1.82,0.672,highest value 18 is an outlier,0.309
M,PND70,HFHS Vehicle,bw,12,1.82,0.673,lowest value 21.1 is an outlier,0.312
F,PND21,HFHS Vehicle,bw,12,1.8,0.679,lowest value 4.6 is an outlier,0.329
M,PND7,HFHS FOS+GOS,bw,13,1.81,0.703,highest value 4.7 is an outlier,0.351
M,PND49,HFHS 1472,bw,12,1.77,0.691,lowest value 18.6 is an outlier,0.364
F,PND70,HFHS 1472,bw,13,1.8,0.708,highest value 21.5 is an outlier,0.368
F,PND35,HFHS Vehicle,bw,12,1.74,0.699,lowest value 13.8 is an outlier,0.388
F,PND28,Control Vehicle,bw,12,1.72,0.706,highest value 12.6 is an outlier,0.41
M,PND42,Control Vehicle,bw,12,1.72,0.706,lowest value 13 is an outlier,0.411
M,PND7,Control Vehicle,bw,12,1.71,0.709,highest value 4.4 is an outlier,0.422
M,PND35,HFHS 1472,bw,12,1.71,0.709,lowest value 16.8 is an outlier,0.423
M,PND42,HFHS Vehicle,bw,12,1.71,0.71,highest value 23.9 is an outlier,0.424
F,PND70,Control Vehicle,bw,12,1.71,0.711,lowest value 15.7 is an outlier,0.43
M,PND1,HFHS Vehicle,bw,12,1.69,0.716,lowest value 1.2 is an outlier,0.446
M,PND42,HFHS 1472,bw,12,1.69,0.716,lowest value 17.5 is an outlier,0.448
F,PND56,HFHS 1472,bw,13,1.72,0.734,highest value 19.4 is an outlier,0.462
F,PND84,Control Vehicle,bw,12,1.68,0.721,highest value 22.1 is an outlier,0.466
F,PND84,HFHS Vehicle,bw,12,1.67,0.723,highest value 21.7 is an outlier,0.472
F,PND63,HFHS Vehicle,bw,12,1.66,0.727,highest value 19.8 is an outlier,0.487
F,PND70,HFHS Vehicle,bw,12,1.63,0.735,highest value 20.5 is an outlier,0.52
M,PND77,HFHS Vehicle,bw,12,1.63,0.737,lowest value 21.4 is an outlier,0.531
F,PND28,HFHS 1472,bw,13,1.66,0.752,lowest value 9.2 is an outlier,0.539
M,PND7,HFHS Vehicle,bw,12,1.62,0.741,highest value 4.5 is an outlier,0.545
F,PND77,Control Vehicle,bw,12,1.61,0.742,highest value 21 is an outlier,0.549
F,PND56,HFHS Vehicle,bw,12,1.59,0.749,lowest value 15.3 is an outlier,0.583
M,PND49,Control Vehicle,bw,12,1.58,0.751,lowest value 16.4 is an outlier,0.592
F,PND14,HFHS 1472,bw,13,1.61,0.765,lowest value 3.1 is an outlier,0.604
M,PND14,HFHS FOS+GOS,bw,13,1.61,0.767,lowest value 6.6 is an outlier,0.616
F,PND21,HFHS 1472,bw,13,1.59,0.772,lowest value 4.5 is an outlier,0.641
M,PND21,HFHS Vehicle,bw,12,1.54,0.763,highest value 11.6 is an outlier,0.653
M,PND21,HFHS FOS+GOS,bw,13,1.58,0.774,lowest value 8.7 is an outlier,0.656
M,PND84,HFHS Vehicle,bw,12,1.53,0.768,lowest value 22.2 is an outlier,0.676
F,PND49,HFHS 1472,bw,13,1.55,0.783,lowest value 13.2 is an outlier,0.708
F,PND1,HFHS 1472,bw,13,1.55,0.784,lowest value 1.1 is an outlier,0.715
F,PND77,HFHS Vehicle,bw,12,1.48,0.782,lowest value 16.5 is an outlier,0.754
M,PND49,HFHS Vehicle,bw,12,1.45,0.792,highest value 23.7 is an outlier,0.818
M,PND56,HFHS Vehicle,bw,12,1.45,0.793,lowest value 20 is an outlier,0.821
F,PND7,HFHS 1472,bw,13,1.47,0.804,highest value 4.4 is an outlier,0.845
F,PND77,HFHS FOS+GOS,bw,12,1.41,0.803,lowest value 18.1 is an outlier,0.89
M,PND1,HFHS FOS+GOS,bw,13,1.44,0.812,lowest value 1.2 is an outlier,0.906
M,PND35,Control Vehicle,bw,12,1.39,0.809,lowest value 9.2 is an outlier,0.935
F,PND35,HFHS FOS+GOS,bw,12,1.33,0.825,lowest value 15.9 is an outlier,1
F,PND1,Control Vehicle,bw_gain,12,NA,NA,highest value 0 is an outlier,0
M,PND1,Control Vehicle,bw_gain,12,NA,NA,highest value 0 is an outlier,0
M,PND1,HFHS Vehicle,bw_gain,12,NA,NA,highest value 0 is an outlier,0
F,PND1,HFHS Vehicle,bw_gain,12,NA,NA,highest value 0 is an outlier,0
F,PND1,HFHS FOS+GOS,bw_gain,12,NA,NA,highest value 0 is an outlier,0
M,PND1,HFHS FOS+GOS,bw_gain,13,NA,NA,highest value 0 is an outlier,0
F,PND1,HFHS 1472,bw_gain,13,NA,NA,highest value 0 is an outlier,0
M,PND1,HFHS 1472,bw_gain,12,NA,NA,highest value 0 is an outlier,0
M,PND35,HFHS FOS+GOS,bw_gain,13,2.88,0.249,lowest value 15.2 is an outlier,0.000816
F,PND7,HFHS Vehicle,bw_gain,12,2.72,0.264,lowest value 1.1 is an outlier,0.00216
