Symbol,sex,statistic_treatment_1472,p.adj_treatment_1472,restoration_1472
Heyl,F,2.50417489,0.094,restored
Hhat,F,2.329801965,0.136,restored
Hmgb2,F,3.733494915,0.013,restored
Hsdl2,F,-2.596928907,0.093,restored
Htr2a,F,-2.00118447,0.176,restored
Htr6,F,2.087370522,0.138,restored
Ier5,F,2.807321455,0.058,restored
Ifi27l2a,F,2.376962173,0.123,restored
Ifitm7,F,-1.999850056,0.151,restored
Ints4,F,-2.343235165,0.14,restored
Irx3,F,2.219246138,0.161,restored
Isoc2b,F,-3.605278842,0.014,restored
Itga7,F,3.275124642,0.037,restored
Jph1,F,2.217929655,0.157,restored
Kbtbd11,F,-2.749706248,0.103,restored
Kirrel2,F,2.52365279,0.093,restored
Klc3,F,1.93178605,0.166,restored
Kmo,F,-2.02117255,0.181,restored
Larp6,F,2.52692215,0.09,restored
Lclat1,F,-2.268068436,0.192,restored
Ldah,F,-3.08702517,0.038,restored
Ldlrad4,F,-1.942502978,0.171,restored
Letm2,F,-2.097970218,0.188,restored
Lin7a,F,-3.178864534,0.038,restored
Lmbr1,F,-2.791291401,0.057,restored
Lrrc28,F,-2.363305123,0.119,restored
Magi1,F,-2.262420151,0.142,restored
Map2k7,F,2.354098663,0.122,restored
Map3k3,F,1.976017248,0.192,restored
Mapk7,F,1.951216284,0.185,restored
Matcap2,F,-3.47292625,0.018,restored
Mcm2,F,2.537425281,0.088,restored
Med14,F,-2.492045263,0.096,restored
Mettl15,F,-3.009865216,0.055,restored
Mettl4,F,-2.396233738,0.127,restored
Mical1,F,2.542422307,0.094,restored
Mindy2,F,-2.9867672,0.055,restored
Mlec,F,-2.326332623,0.085,restored
Mlh3,F,-2.137321812,0.186,restored
Mns1,F,-2.29603381,0.095,restored
Mrnip,F,2.64335322,0.075,restored
Mrpl2,F,2.95694198,0.061,restored
Mrpl45,F,-2.508739707,0.105,restored
Mrpl49,F,-3.878182782,0.015,restored
Ms4a6c,F,-3.480137484,0.021,restored
Muc12,F,-2.794515004,0.089,restored
Mx1,F,-3.207964523,0.032,restored
Mx2,F,-4.567762141,0.002,restored
Nab2,F,2.311039514,0.09,restored
Nadsyn1,F,-2.390487842,0.115,restored
Nanos2,F,2.996665791,0.048,restored
Nat1,F,-2.96963508,0.047,restored
Nat2,F,-2.652285308,0.106,restored
Ncoa7,F,-2.423341781,0.125,restored
Neu3,F,-2.533239682,0.089,restored
Nhp2,F,2.62570364,0.092,restored
Nipa1,F,-2.259224351,0.145,restored
Noct,F,-2.341566954,0.13,restored
Nop9,F,2.389153785,0.114,restored
Notch1,F,2.340793517,0.142,restored
Npffr1,F,-2.189075833,0.169,restored
Npm2,F,2.387201882,0.114,restored
Nppa,F,2.406021254,0.134,restored
Nrg1,F,-2.208260033,0.156,restored
Nsdhl,F,2.716923751,0.065,restored
Nup205,F,-3.089230678,0.04,restored
Nupr1l,F,2.484406005,0.125,restored
Nwd1,F,-2.641321947,0.102,restored
Obi1,F,-2.351952283,0.167,restored
Oip5,F,2.382218732,0.124,restored
Oplah,F,2.810440871,0.06,restored
Oprk1,F,-2.654294059,0.111,restored
Or2n1b,F,2.177011525,0.164,restored
Or5a21,F,-2.372156245,0.118,restored
Or6c211,F,-2.267243738,0.187,restored
Or8b1,F,-3.060924283,0.039,restored
Oxnad1,F,-2.557462467,0.086,restored
P2ry1,F,-3.231631997,0.031,restored
Pafah2,F,-2.160174097,0.185,restored
Panx1,F,-2.22782932,0.151,restored
Pcdhb1,F,-1.978087988,0.186,restored
Pcgf6,F,-1.955642723,0.159,restored
Pcsk1,F,-3.283806793,0.019,restored
Pdzd11,F,-2.270305003,0.141,restored
Pgr15l,F,-3.171931419,0.042,restored
Phf21b,F,3.828811364,0.012,restored
Piezo2,F,-2.232074375,0.149,restored
Pigg,F,-2.236298284,0.156,restored
Pigv,F,-2.48709753,0.072,restored
Pkd2l1,F,2.391307285,0.114,restored
Plekho2,F,2.481498813,0.098,restored
Plxnc1,F,-2.209643773,0.172,restored
Pnma8a,F,-3.019015425,0.05,restored
Pole4,F,-2.681095757,0.07,restored
Polr3k,F,-2.252651939,0.144,restored
Ppie,F,3.169486825,0.021,restored
Ppp1r3f,F,2.62348236,0.077,restored
Prdm5,F,-3.145466479,0.027,restored
Prob1,F,2.200321286,0.161,restored
Prokr2,F,-3.443688379,0.02,restored
Prpf4b,F,-2.403635072,0.079,restored
Prps1l3,F,-2.392356859,0.115,restored
Prrg3,F,-3.436294554,0.023,restored
Ptpn13,F,-2.284491989,0.141,restored
Pxn,F,2.370337597,0.129,restored
Pycr1,F,2.29502914,0.14,restored
Rab9b,F,-2.644412157,0.088,restored
Ralgapa1,F,-2.55841458,0.101,restored
Rbm4,F,-2.455142333,0.104,restored
Rbm47,F,-3.132909468,0.044,restored
Rbmx2,F,2.579175589,0.063,restored
Recql4,F,2.763825358,0.054,restored
Repin1,F,3.374501657,0.03,restored
Rfc1,F,-2.799498504,0.058,restored
Rhbdl2,F,-2.82944523,0.066,restored
Rmnd1,F,-2.673475885,0.08,restored
Rnase1,F,-2.510834205,0.101,restored
Rnf152,F,-2.601330859,0.105,restored
Rnf183,F,-4.348722294,0.005,restored
Robo4,F,3.07940161,0.032,restored
Rpl3-ps2,F,-2.072828987,0.198,restored
Rpp40,F,-2.75674875,0.062,restored
Sacm1l,F,-2.788464673,0.058,restored
Sap130,F,2.283541876,0.144,restored
Sap25,F,2.669095436,0.09,restored
Scn7a,F,-3.029871391,0.038,restored
Sdccag8,F,-2.200969624,0.19,restored
Sema3a,F,-2.278454912,0.094,restored
Sesn2,F,2.37002769,0.122,restored
Sfmbt2,F,-2.57286106,0.094,restored
Sfxn4,F,-2.328301401,0.13,restored
Shroom2,F,-2.152292855,0.174,restored
Slamf6,F,-3.389964187,0.026,restored
Slc19a1,F,2.191026415,0.162,restored
Slc25a28,F,2.110117374,0.183,restored
Slc2a12,F,-3.08557624,0.043,restored
Slc2a4,F,2.239355718,0.156,restored
Slc2a5,F,-2.200711898,0.147,restored
Slc38a6,F,-2.587759779,0.09,restored
Slc5a3,F,-3.28420473,0.042,restored
Slit2,F,-2.364116387,0.151,restored
Smco4,F,-2.396437813,0.14,restored
Smim18,F,-2.148159551,0.175,restored
Sox13,F,2.448420824,0.1,restored
Sox2,F,2.156572664,0.171,restored
Sox5,F,-2.699153927,0.079,restored
Spats2l,F,-2.516790862,0.096,restored
Speer6-ps1,F,2.671586098,0.078,restored
Spef2,F,-2.255716249,0.146,restored
Spice1,F,-2.288931565,0.14,restored
Spocd1,F,3.006109418,0.04,restored
Srebf1,F,2.448503486,0.135,restored
St7l,F,-2.28430899,0.148,restored
Stambp-ps1,F,-2.260576104,0.143,restored
Stat5a,F,4.430385614,0.004,restored
Stk17b,F,-2.221907519,0.16,restored
Stmp1,F,2.531340585,0.098,restored
Sulf1,F,-2.545478896,0.108,restored
Surf2,F,3.3999611,0.027,restored
Syne3,F,-3.311714515,0.017,restored
Tagln,F,2.685025994,0.069,restored
Tal2,F,2.305166901,0.135,restored
Tasor,F,-3.431358546,0.019,restored
Tbc1d10c,F,2.43376375,0.122,restored
Tcf3,F,2.720956795,0.089,restored
Tdrkh,F,-2.878152754,0.062,restored
Tgm7,F,1.954399924,0.159,restored
Tmco4,F,2.575272499,0.089,restored
Tmem116,F,1.576349461,0.168,restored
Tmem74,F,-2.527243665,0.092,restored
Tmprss5,F,-2.247858623,0.146,restored
Trim26,F,2.220731644,0.103,restored
Trip4,F,-2.671404019,0.073,restored
Trp53bp1,F,-2.176523609,0.164,restored
Ttc41,F,-2.93604884,0.049,restored
Ttf2,F,-2.93491248,0.06,restored
Tti1,F,-3.855974115,0.012,restored
Tubd1,F,-3.111419981,0.044,restored
Tuft1,F,2.104470513,0.143,restored
Tulp1,F,1.991641268,0.188,restored
Uba6,F,-2.491517067,0.099,restored
Ube2e2,F,2.758500805,0.069,restored
Ube2j2,F,3.735093331,0.019,restored
Ufm1,F,-2.737154249,0.104,restored
Uqcc6,F,-2.897944714,0.071,restored
Usp13,F,-2.207781983,0.155,restored
Usp54,F,-2.788256177,0.068,restored
Vmn2r87,F,-4.492106029,0.004,restored
Vmn2r97,F,-2.217077182,0.177,restored
Vps13a,F,-3.046273991,0.064,restored
Vps13c,F,-2.094786442,0.198,restored
Vps37b,F,2.280617867,0.137,restored
Washc1,F,2.095920871,0.188,restored
Washc4,F,-2.248742576,0.154,restored
Wdr31,F,-2.112139316,0.191,restored
Wdr35,F,-3.651980382,0.013,restored
Wnt2b,F,-2.574049256,0.086,restored
Wsb1,F,-2.166633352,0.194,restored
Xrcc3,F,2.141200498,0.183,restored
Ylpm1,F,-2.74514344,0.064,restored
Zfp109,F,-2.732663712,0.071,restored
Zfp114,F,-4.157233847,0.012,restored
Zfp174,F,-2.793379486,0.05,restored
Zfp354b,F,-3.468903995,0.019,restored
Zfp473,F,-2.701953597,0.088,restored
Zfp595,F,-2.354759015,0.159,restored
Zfp607b,F,-2.32610171,0.198,restored
Zfp783,F,-2.185279449,0.169,restored
Zfp935,F,-3.193240195,0.036,restored
Zfp942,F,-2.890519074,0.053,restored
Zfp950,F,-2.48123087,0.129,restored
Zfp951,F,-3.324895077,0.025,restored
Zfp966,F,-2.457623834,0.106,restored
Zfp968,F,-2.861050323,0.034,restored
Zhx1,F,-2.114605573,0.196,restored
Zmym6,F,-2.694402377,0.069,restored
Znf41-ps,F,-1.613445648,0.161,restored
Zscan26,F,-2.9454606,0.059,restored
