ID,sex,legend,diet,treatment,cohort,cage,noradrenaline,L_DOPA,DOPAC,dopamine,5HIAA,HVA,5HT,DOPAC_DOPAMINE,HVA_DOPAMINE,5HIAA_5HT,L_DOPA_DOPAMINE,DOPAC_HVA,active_ghrelin,corticosterone
251,M,HFHS 1472,HFHS,1472,2,127,295.87,112.6,3447.15,11190.85,607.03,2210.46,744.4,0.308,0.1975,0.8155,0.01,1.559,0.222912,23.15553
302,F,HFHS Vehicle,HFHS,Vehicle,3,125,314.4,42.09,2829.88,9872.96,512.98,2028.79,691.82,0.2866,0.2055,0.7415,0.0043,1.3949,0.719496,27.86655
305,F,HFHS Vehicle,HFHS,Vehicle,3,125,333.9,50.64,3224.54,11401.39,437.35,1893.29,668.35,0.2828,0.1661,0.6544,0.0044,1.7031,0.29442,49.64154
306,F,HFHS Vehicle,HFHS,Vehicle,3,125,311.58,45.03,3253.97,11912.72,486.45,1465.07,713.28,0.2732,0.123,0.682,0.0038,,0.82242,42.21048
308,M,HFHS Vehicle,HFHS,Vehicle,3,125,294.77,0.27,1891.05,8768.91,450.24,1444.92,625.39,0.2157,0.1648,0.7199,0,1.309,0.333834,63.97515
312,M,HFHS FOS+GOS,HFHS,FOS+GOS,3,114,311.79,68.03,2348.16,10380.55,445.13,1835.37,670.61,0.2262,0.1768,0.6638,0.007,1.279,0.156468,126.2017
315,M,HFHS FOS+GOS,HFHS,FOS+GOS,3,114,406.91,106.71,2783.36,11313.39,528.02,1908.84,766.93,0.246,0.1687,0.6885,0.009,1.458,0.227577,101.7958
401,F,Control Vehicle,Control,Vehicle,4,129,376.33,1.31,2602.46,10760.5,481.94,1509.31,682.38,0.2419,0.1403,0.7063,0.0001,1.7243,0.160215,329.576
405,M,Control Vehicle,Control,Vehicle,4,129,387.36,139.38,2951.21,10306.14,495.15,1542.35,719.27,0.2864,0.1497,0.6884,0.014,1.913,0.284421,62.57055
408,F,Control Vehicle,Control,Vehicle,4,113,328.96,1.03,2201.8,10767.71,467.89,1467.8,702.55,0.2045,0.1363,0.666,0.0001,1.5001,0.562677,320.9747
412,M,Control Vehicle,Control,Vehicle,4,113,436.79,1.76,2034.47,10509.25,489.69,1492.53,740.78,0.1936,0.142,0.661,0,1.363,0.288573,31.81152
420,F,HFHS Vehicle,HFHS,Vehicle,4,126,343.04,49.35,3094.38,10526.82,627.29,2081.12,711.97,0.294,0.1977,,0.0047,1.4869,0.414906,64.03194
422,M,HFHS Vehicle,HFHS,Vehicle,4,126,299.25,95.84,2790.15,10505.54,462.57,1493.93,660.33,0.2656,0.1422,0.7005,0.009,1.868,0.816318,134.4077
435,F,HFHS 1472,HFHS,1472,4,116,355.32,0.8,2050.94,10443,453.82,1416.69,697.79,0.1964,0.1357,,0.0001,1.4477,0.106458,207.3497
438,M,HFHS 1472,HFHS,1472,4,116,351.71,45.89,1772.91,9796.18,452.29,1599.11,698.29,0.181,0.1632,0.6477,0.005,1.109,0.481674,72.57702
501,F,HFHS 1472,HFHS,1472,5,130,386.16,44.03,2640.7,9803.66,522.51,1601.75,676.78,0.2694,0.1634,0.772,0.0045,1.6486,,
507,M,HFHS 1472,HFHS,1472,5,130,349.89,42.07,2723.82,11381.15,555.87,1832.07,709.35,0.2393,0.161,0.7836,0.004,1.487,,
