Sample,sex,timepoint,Cage/Litter,Cohort,Diet,Treatment,legend
231w5,F,w5,119,2,HFHS,FOS+GOS,HFHS FOS+GOS
232w10,F,w10,119,2,HFHS,FOS+GOS,HFHS FOS+GOS
232w5,F,w5,119,2,HFHS,FOS+GOS,HFHS FOS+GOS
233w10,F,w10,119,2,HFHS,FOS+GOS,HFHS FOS+GOS
233w5,F,w5,119,2,HFHS,FOS+GOS,HFHS FOS+GOS
234w10,M,w10,119,2,HFHS,FOS+GOS,HFHS FOS+GOS
234w5,M,w5,119,2,HFHS,FOS+GOS,HFHS FOS+GOS
235w10,M,w10,119,2,HFHS,FOS+GOS,HFHS FOS+GOS
235w5,M,w5,119,2,HFHS,FOS+GOS,HFHS FOS+GOS
236w10,F,w10,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
236w5,F,w5,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
237w10,F,w10,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
237w5,F,w5,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
238w10,F,w10,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
238w5,F,w5,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
239w10,M,w10,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
239w5,M,w5,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
241w10,M,w10,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
243w10,M,w10,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
243w5,M,w5,128,2,HFHS,FOS+GOS,HFHS FOS+GOS
245w10,F,w10,120,2,HFHS,1472,HFHS B. longum APC1472
245w5,F,w5,120,2,HFHS,1472,HFHS B. longum APC1472
246w10,F,w10,120,2,HFHS,1472,HFHS B. longum APC1472
246w5,F,w5,120,2,HFHS,1472,HFHS B. longum APC1472
247w10,F,w10,127,2,HFHS,1472,HFHS B. longum APC1472
247w5,F,w5,127,2,HFHS,1472,HFHS B. longum APC1472
248w10,F,w10,127,2,HFHS,1472,HFHS B. longum APC1472
248w5,F,w5,127,2,HFHS,1472,HFHS B. longum APC1472
250w10,M,w10,127,2,HFHS,1472,HFHS B. longum APC1472
250w5,M,w5,127,2,HFHS,1472,HFHS B. longum APC1472
251w10,M,w10,127,2,HFHS,1472,HFHS B. longum APC1472
251w5,M,w5,127,2,HFHS,1472,HFHS B. longum APC1472
252w10,M,w10,127,2,HFHS,1472,HFHS B. longum APC1472
252w5,M,w5,127,2,HFHS,1472,HFHS B. longum APC1472
302w10,F,w10,125.1,3,HFHS,Vehicle,HFHS Vehicle
302w5,F,w5,125.1,3,HFHS,Vehicle,HFHS Vehicle
