Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,gonWAT,MesWAT,BAT,Liver,Caecum,SmallIntestine,Colon,GonWAT_BW,MesWAT_BW,BAT_BW,Liver_BW,Caecum_BW,SmallIntestine_BW,Colon_BW
HFHS_FOS+GOS_C2_L119_P234_M,119,234,2,M,HFHS,FOS+GOS,0.4795,0.1878,0.0756,0.927,0.4953,34,6.8,0.01809,0.00709,0.00285,0.03498,0.01869,1.28302,0.2566
HFHS_FOS+GOS_C2_L128_P236_F,128,236,2,F,HFHS,FOS+GOS,0.3791,0.1914,0.0587,0.9132,0.409,33,6.8,0.01715,0.00866,0.00266,0.04132,0.01851,1.49321,0.30769
HFHS_FOS+GOS_C2_L128_P238_F,128,238,2,F,HFHS,FOS+GOS,0.2106,0.1607,0.0524,0.8875,0.3684,32,6.3,0.01017,0.00776,0.00253,0.04287,0.0178,1.54589,0.30435
HFHS_FOS+GOS_C2_L128_P239_M,128,241,2,M,HFHS,FOS+GOS,0.5649,0.1487,0.0636,0.9005,0.4299,35,7.8,0.02054,0.00541,0.00231,0.03275,0.01563,1.27273,0.28364
HFHS_FOS+GOS_C2_L128_P239_M,128,243,2,M,HFHS,FOS+GOS,0.4156,0.15,0.0556,0.9439,0.505,34.5,7,0.01463,0.00528,0.00196,0.03324,0.01778,1.21479,0.24648
HFHS_FOS+GOS_C3_L114_P312_M,114,312,3,M,HFHS,FOS+GOS,0.1539,0.0686,0.0497,0.9429,0.7826,37,7.4,0.00552,0.00246,0.00178,0.0338,0.02805,1.32616,0.26523
HFHS_FOS+GOS_C3_L114_P315_M,114,315,3,M,HFHS,FOS+GOS,0.188,0.0825,0.055,1.0556,0.7152,38,7.3,0.00627,0.00275,0.00183,0.03519,0.02384,1.26667,0.24333
HFHS_1472_C1_L115_P130_F,115,130,1,F,HFHS,1472,0.1055,0.0322,0.0467,0.7376,0.1569,33,5.7,0.00512,0.00156,0.00227,0.03581,0.00762,1.60194,0.2767
HFHS_1472_C1_L115_P131_F,115,131,1,F,HFHS,1472,0.0869,0.0362,0.0301,0.7305,0.1124,31,6,0.00472,0.00197,0.00164,0.0397,0.00611,1.68478,0.32609
HFHS_1472_C1_L115_P133_M,115,133,1,M,HFHS,1472,0.2137,0.0675,0.0467,0.7488,0.1834,32,6.8,0.0095,0.003,0.00208,0.03328,0.00815,1.42222,0.30222
HFHS_1472_C1_L111_P135_F,111,135,1,F,HFHS,1472,0.4324,0.128,0.0696,0.7288,0.1916,30,5.7,0.02217,0.00656,0.00357,0.03737,0.00983,1.53846,0.29231
HFHS_1472_C1_L111_P136_M,111,136,1,M,HFHS,1472,0.2453,0.0679,0.0449,0.8743,0.2954,32,6,0.00966,0.00267,0.00177,0.03442,0.01163,1.25984,0.23622
HFHS_1472_C2_L120_P246_F,120,246,2,F,HFHS,1472,0.0884,0.0571,0.0533,0.7608,0.1742,31,5.4,0.00463,0.00299,0.00279,0.03983,0.00912,1.62304,0.28272
HFHS_1472_C2_L127_P248_F,127,248,2,F,HFHS,1472,0.0584,0.064,0.0544,0.7583,0.1381,31,5.9,0.00312,0.00342,0.00291,0.04055,0.00739,1.65775,0.31551
HFHS_1472_C2_L127_P250_M,127,250,2,M,HFHS,1472,0.3087,0.1116,0.0569,0.8715,0.2169,32,6.6,0.01225,0.00443,0.00226,0.03458,0.00861,1.26984,0.2619
HFHS_1472_C2_L127_P251_M,127,251,2,M,HFHS,1472,0.5818,0.2094,0.0826,0.944,0.2394,32,5.5,0.02179,0.00784,0.00309,0.03536,0.00897,1.1985,0.20599
HFHS_1472_C4_L116_P435_F,116,435,4,F,HFHS,1472,0.1011,0.0841,0.0441,0.5767,0.1778,33,5.9,0.00479,0.00399,0.00209,0.02733,0.00843,1.56398,0.27962
HFHS_1472_C4_L116_P438_M,116,438,4,M,HFHS,1472,0.167,0.0662,0.0548,0.9343,0.247,33,6.8,0.00637,0.00253,0.00209,0.03566,0.00943,1.25954,0.25954
HFHS_1472_C5_L130_P501_F,130,501,5,F,HFHS,1472,0.2524,0.1678,0.069,0.9513,0.2788,32,5.6,0.01191,0.00792,0.00325,0.04487,0.01315,1.50943,0.26415
HFHS_1472_C5_L130_P507_M,130,507,5,M,HFHS,1472,0.3188,0.0765,0.0442,0.9728,0.2364,33,6,0.01245,0.00299,0.00173,0.038,0.00923,1.28906,0.23438

