symbol,sex,statistic_diet,p.adj_diet,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,statistic_treatment_1472,p.adj_treatment_1472,restoration_FOSGOS,restoration_1472
Dlat,M,0.396065792,0.705,-0.509785744,1,-0.656212153,1,not restored,not restored
Dlc1,F,1.390526483,0.198,-1.318199302,0.666,-0.685331377,1,not restored,not restored
Dlc1,M,0.392840819,0.704,-0.874327316,1,-0.315648119,1,not restored,not restored
Dld,F,1.793044526,0.127,-0.028466325,1,-0.087387651,1,not restored,not restored
Dld,M,-0.998989994,0.361,0.201050014,1,-0.277838207,1,not restored,not restored
Dlec1,F,-0.928831424,0.378,1.932097362,0.248,0.199854777,0.846,not restored,not restored
Dlec1,M,-0.190861696,0.854,-0.549295169,1,-0.077275441,1,not restored,not restored
Dleu7,F,1.482429389,0.169,-0.114419915,1,-0.106022781,1,not restored,not restored
Dleu7,M,-0.917539115,0.389,0.407181878,1,0.268710677,1,not restored,not restored
Dlg1,F,2.232423751,0.063,0.244809631,1,0.035336495,1,not restored,not restored
Dlg1,M,-0.574883855,0.59,-0.381405965,1,-0.220061736,1,not restored,not restored
Dlg2,F,2.34019419,0.058,-0.795769199,0.892,-1.174250372,0.807,not restored,not restored
Dlg2,M,-0.552887883,0.599,-0.42714161,1,-0.421424428,1,not restored,not restored
Dlg3,F,1.225967725,0.256,0.283009081,1,0.22376172,1,not restored,not restored
Dlg3,M,0.426565724,0.683,-0.797605123,0.912,0.033708066,0.974,not restored,not restored
Dlg4,F,-0.345755269,0.742,-0.281534394,0.786,1.789763191,0.321,not restored,not restored
Dlg4,M,1.638360865,0.154,-0.046847212,1,0.781881652,1,not restored,not restored
Dlg5,F,0.447190343,0.669,-1.577802803,0.438,-0.4630044,0.654,not restored,not restored
Dlg5,M,3.217205796,0.009,-0.232994904,1,-0.320480227,1,not restored,not restored
Dlgap1,F,2.343132781,0.055,-0.99898892,0.524,1.19291827,0.524,not restored,not restored
Dlgap1,M,-0.047395404,0.963,0.212280068,1,0.123338787,1,not restored,not restored
Dlgap2,F,0.894479734,0.404,-0.541648276,1,0.566200475,1,not restored,not restored
Dlgap2,M,1.602203314,0.151,0.057352276,1,-0.486984183,1,not restored,not restored
Dlgap3,F,-0.723298313,0.496,-1.097780551,0.572,1.145865195,0.572,not restored,not restored
Dlgap3,M,0.935480445,0.384,0.059389749,1,0.578116517,1,not restored,not restored
Dlgap4,F,-0.126583991,0.904,-0.730609481,0.489,1.755723152,0.33,not restored,not restored
Dlgap4,M,1.082296145,0.321,-0.350637525,1,0.665487487,1,not restored,not restored
Dlgap5,F,0.421814636,0.687,1.146443824,0.849,1.059072824,0.849,not restored,not restored
Dlgap5,M,-0.139080153,0.893,-1.299040648,0.699,-0.006028892,1,not restored,not restored
Dlk1,F,2.02898768,0.079,-0.639876602,1,0.694953813,1,not restored,not restored
Dlk1,M,2.773017814,0.02,-0.33971455,1,0.362060978,1,not restored,not restored
Dlk2,F,-0.510444574,0.63,-0.778146951,1,-0.723808964,1,not restored,not restored
Dlk2,M,1.142455238,0.303,0.293842134,1,0.299945416,1,not restored,not restored
Dll1,F,-1.571437331,0.156,1.010473072,0.672,1.458515004,0.528,not restored,not restored
Dll1,M,0.458076239,0.658,0.81965464,1,0.660308291,1,not restored,not restored
Dll3,F,-0.251520408,0.809,-0.225001222,1,-0.420509246,1,not restored,not restored
Dll3,M,-0.378984469,0.715,1.869582227,0.215,-0.585127938,0.575,not restored,not restored
Dll4,F,-1.99243485,0.077,1.248840092,0.54,1.452973062,0.54,not restored,not restored
Dll4,M,-1.121736394,0.307,2.024435978,0.167,2.168155885,0.167,not restored,not restored
Dlst,F,0.426541673,0.68,-0.0245454,1,0.58035309,1,not restored,not restored
Dlst,M,1.100063549,0.305,-1.438779159,0.579,-0.658167471,0.772,not restored,not restored
Dlx1,F,0.709367265,0.507,-0.075225871,0.942,-1.471328756,0.522,not restored,not restored
Dlx1,M,1.569281138,0.168,-1.696822678,0.387,0.181450337,0.86,not restored,not restored
Dlx2,F,-0.144284352,0.889,0.886772758,0.846,1.146614685,0.846,not restored,not restored
Dlx2,M,2.000026913,0.085,-0.287780427,1,-0.021711007,1,not restored,not restored
Dlx5,F,0.047450767,0.963,-0.575683263,0.732,0.951222624,0.732,not restored,not restored
Dlx5,M,-0.210093299,0.839,0.079284441,1,0.603328227,1,not restored,not restored
Dlx6,F,1.105783485,0.297,0.504100296,0.98,1.450683914,0.54,not restored,not restored
Dlx6,M,-0.775070817,0.457,-2.053340845,0.202,-1.179107815,0.542,not restored,not restored
Dmac1,F,2.533084637,0.036,0.828482493,0.856,-0.825816739,0.856,not restored,not restored
Dmac1,M,0.550089596,0.595,-0.161107544,0.875,1.151288775,0.63,not restored,not restored
Dmac2,F,-0.458055812,0.662,-0.114737154,1,0.35129707,1,not restored,not restored
Dmac2,M,1.256731995,0.251,-1.153987566,0.58,0.719681426,0.58,not restored,not restored
Dmac2l,F,1.504542179,0.186,0.486433257,1,0.396484025,1,not restored,not restored
Dmac2l,M,0.033245855,0.975,-0.413346766,1,0.053309528,1,not restored,not restored
Dmap1,F,1.662087693,0.132,-0.324755812,1,0.299816858,1,not restored,not restored
Dmap1,M,-0.478125422,0.643,1.075367698,0.616,1.666130094,0.381,not restored,not restored
Dmc1,F,2.931370625,0.015,-0.874044604,0.812,-1.382793985,0.624,not restored,not restored
Dmc1,M,-0.195320732,0.85,-0.077453804,1,-0.297100887,1,not restored,not restored
Dmd,F,1.766822797,0.128,-0.013694832,0.989,-1.031119961,0.68,not restored,not restored
Dmd,M,-0.476797841,0.651,-0.30667519,1,-0.846707548,1,not restored,not restored
Dmgdh,F,0.840783807,0.42,0.583710728,1,0.255254376,1,not restored,not restored
Dmgdh,M,0.298424385,0.771,-0.131502544,1,-0.941248242,1,not restored,not restored
Dmkn,F,-0.002657509,0.998,-0.612962761,1,-0.894115361,1,not restored,not restored
Dmkn,M,0.095273889,0.926,-0.684707533,1,-0.483260348,1,not restored,not restored
Dmp1,F,0.349259343,0.736,-1.513142607,0.483,-1.264154636,0.483,not restored,not restored
Dmp1,M,-0.365528435,0.723,-1.587397664,0.435,-0.370687276,0.719,not restored,not restored
Dmpk,F,-0.809338704,0.45,-0.062591875,1,-0.026032909,1,not restored,not restored
Dmpk,M,0.772240077,0.474,-0.477994117,1,0.476394394,1,not restored,not restored
Dmrta1,F,1.06015391,0.318,-1.214560209,0.512,0.156035672,0.879,not restored,not restored
Dmrta1,M,-1.01518234,0.339,0.222819112,1,1.011685638,1,not restored,not restored
Dmrta2,F,1.614690574,0.143,-1.416276191,0.585,-0.335812441,0.744,not restored,not restored
Dmrta2,M,4.475215717,0.003,-0.225083353,1,0.298861381,1,not restored,not restored
Dmrtb1,F,-1.165049243,0.285,0.067129937,1,-1.016145334,1,not restored,not restored
Dmrtb1,M,1.403397171,0.199,-0.669665039,1,0.466608898,1,not restored,not restored
Dmrtc1a,F,0.803000905,0.449,1.453062629,0.552,0.682101778,0.596,not restored,not restored
Dmrtc1a,M,-0.62387324,0.548,1.45042709,0.537,0.963500569,0.73,not restored,not restored
Dmtf1,F,2.123975284,0.081,0.481509761,1,1.17557683,0.804,not restored,not restored
Dmtf1,M,-0.682030829,0.517,-0.693554445,1,-0.605336076,1,not restored,not restored
Dmtf1l,F,-1.192837643,0.286,1.11335891,0.948,0.368835697,0.948,not restored,not restored
Dmtf1l,M,-2.83128253,0.02,0.872963228,0.948,0.064708722,0.95,not restored,not restored
Dmtn,F,-0.636954085,0.55,0.643317634,1,-0.363872052,1,not restored,not restored
Dmtn,M,0.815413765,0.448,-0.299139658,0.775,0.935744656,0.744,not restored,not restored
Dmwd,F,-0.97670741,0.372,0.853508008,0.552,3.636923833,0.017,not restored,not restored
Dmwd,M,1.477662851,0.197,-0.124183959,1,0.507624287,1,not restored,not restored
Dmxl1,F,1.859676131,0.11,0.318518143,1,0.084510017,1,not restored,not restored
Dmxl1,M,-0.091425042,0.93,-0.295147433,1,-0.866067274,1,not restored,not restored
Dmxl2,F,2.952169213,0.015,-0.027736605,1,-0.058914335,1,not restored,not restored
Dmxl2,M,0.600457701,0.567,-0.665497127,0.528,-1.601745047,0.426,not restored,not restored
Dna2,F,-0.511611194,0.622,-0.76208467,0.934,0.464241436,0.934,not restored,not restored
Dna2,M,-0.886489097,0.398,1.039146569,0.948,1.074389617,0.948,not restored,not restored
Dnaaf1,F,-0.20240118,0.844,0.194397001,1,-0.333606221,1,not restored,not restored
Dnaaf1,M,0.751580699,0.47,-1.962027023,0.235,0.307805558,0.768,not restored,not restored
Dnaaf10,F,0.277907729,0.79,-1.131543125,0.894,-0.729921087,0.968,not restored,not restored
Dnaaf10,M,-1.455625866,0.193,-0.67158256,1,0.058016944,1,not restored,not restored
Dnaaf11,F,2.732731276,0.023,-1.371137833,0.41,-1.644402567,0.393,not restored,not restored
Dnaaf11,M,0.272332291,0.791,-1.056317416,0.969,-0.660113092,1,not restored,not restored
Dnaaf2,F,-1.018665727,0.346,0.007775146,1,0.156800068,1,not restored,not restored
Dnaaf2,M,1.62892841,0.141,-0.177254281,1,0.145831272,1,not restored,not restored
Dnaaf3,F,-1.459832149,0.183,0.270335998,1,0.610845882,1,not restored,not restored
Dnaaf3,M,0.810837667,0.448,-0.562071638,1,0.392885071,1,not restored,not restored
Dnaaf4,F,-0.041800869,0.968,0.070918883,1,0.229311348,1,not restored,not restored
Dnaaf4,M,0.920607002,0.382,-1.646071884,0.272,0.137269049,0.894,not restored,not restored
Dnaaf5,F,-0.409223631,0.692,-0.892495657,0.79,0.343860565,0.79,not restored,not restored
Dnaaf5,M,1.110190999,0.293,0.833767522,1,0.782855534,1,not restored,not restored
Dnaaf8,F,-0.700260727,0.497,0.725084348,0.754,1.593045855,0.411,not restored,not restored
Dnaaf8,M,0.507319751,0.617,-0.403449578,1,0.564315681,1,not restored,not restored
Dnaaf9,F,3.606931263,0.008,-0.505192228,0.85,-1.270545432,0.744,not restored,not restored
Dnaaf9,M,-0.041320745,0.969,-0.35062271,0.738,-1.011982908,0.705,not restored,not restored
Dnah1,F,1.416948436,0.187,0.429094847,1,-0.492030119,1,not restored,not restored
Dnah1,M,0.217218069,0.834,0.730297256,1,0.247851725,1,not restored,not restored
Dnah10,F,0.007741447,0.994,-0.255362452,1,-0.225295236,1,not restored,not restored
Dnah10,M,2.075977983,0.07,0.397073671,0.703,-1.345710599,0.6,not restored,not restored
Dnah11,F,1.381559861,0.201,0.556454688,0.898,-0.792135985,0.898,not restored,not restored
Dnah11,M,0.054186149,0.958,0.140301697,1,-0.626861538,1,not restored,not restored
Dnah12,F,4.243789895,0.002,-1.213363583,0.615,0.602319173,0.615,not restored,not restored
Dnah12,M,1.776928685,0.106,-1.436493661,0.37,-2.266676465,0.141,not restored,not restored
Dnah14,F,1.054079931,0.317,-0.867078758,0.812,-1.308654121,0.717,not restored,not restored
Dnah14,M,-1.159513117,0.275,0.552593556,1,-0.536469081,1,not restored,not restored
Dnah17,F,0.433726115,0.676,0.053818042,1,0.2144482,1,not restored,not restored
Dnah17,M,-1.250090731,0.25,0.256266029,0.864,-0.947752439,0.864,not restored,not restored
Dnah2,F,0.535130286,0.609,0.289283725,1,-0.135544799,1,not restored,not restored
Dnah2,M,0.653819589,0.529,0.422379468,1,-0.505053627,1,not restored,not restored
Dnah3,F,-0.220456429,0.83,1.124920235,0.861,0.412987036,0.861,not restored,not restored
Dnah3,M,0.694510083,0.506,-0.509733461,1,-0.911414909,1,not restored,not restored
Dnah5,F,1.822687479,0.103,-0.679364079,1,-0.850687977,1,not restored,not restored
Dnah5,M,-0.831617189,0.43,-0.20751916,1,-0.809356253,1,not restored,not restored
Dnah6,F,1.944228623,0.083,1.842942918,0.284,0.012349167,0.99,not restored,not restored
Dnah6,M,0.462976398,0.657,0.274975147,0.79,-1.635104646,0.298,not restored,not restored
Dnah7a,F,-2.135355095,0.065,1.536184633,0.378,0.063515186,0.951,not restored,not restored
Dnah7a,M,-0.258871262,0.803,-0.982972591,1,-0.645749124,1,not restored,not restored
Dnah7b,F,5.390749471,0.000353,1.8801748,0.277,0.027008556,0.979,not restored,not restored
Dnah7b,M,-0.801074151,0.442,0.01227016,0.99,-1.108779412,0.891,not restored,not restored
Dnah7c,F,0.147535709,0.886,0.388454639,1,-0.02056503,1,not restored,not restored
Dnah7c,M,0.437687504,0.671,-0.053321244,0.959,-2.206838892,0.145,not restored,not restored
Dnah8,F,1.878365784,0.09,0.959586989,0.724,-0.87622294,0.724,not restored,not restored
Dnah8,M,0.965114608,0.358,-1.583289772,0.345,-1.731151153,0.345,not restored,not restored
Dnah9,F,1.467337795,0.182,-0.305351832,1,-1.013364371,1,not restored,not restored
Dnah9,M,1.725730729,0.12,1.392631098,0.428,-1.06117102,0.428,not restored,not restored
Dnai1,F,0.715713093,0.491,1.528995214,0.474,0.392248626,0.703,not restored,not restored
Dnai1,M,-0.879611196,0.402,-0.551167812,0.595,1.446077334,0.36,not restored,not restored
Dnai2,F,0.485987097,0.643,0.692174063,1,0.050408369,1,not restored,not restored
Dnai2,M,0.619398475,0.552,0.078810748,1,0.228198991,1,not restored,not restored
Dnai3,F,-0.880708171,0.406,0.472847613,0.952,1.16481707,0.822,not restored,not restored
Dnai3,M,-0.22872721,0.824,-0.679497964,1,0.250513995,1,not restored,not restored
Dnai4,F,0.540585101,0.604,0.270588561,1,-0.246945988,1,not restored,not restored
Dnai4,M,-0.156897078,0.878,-0.010539845,1,0.317457645,1,not restored,not restored
Dnai7,F,0.846265412,0.424,1.460392579,0.546,0.077155093,0.94,not restored,not restored
Dnai7,M,1.674447637,0.126,0.043877652,0.966,-2.124381228,0.138,not restored,not restored
Dnaja1,F,1.263997033,0.25,-0.16811684,1,-0.447919891,1,not restored,not restored
Dnaja1,M,-1.233247526,0.266,-0.921774,1,-0.500406731,1,not restored,not restored
Dnaja2,F,1.624003031,0.162,0.36535121,1,0.33283243,1,not restored,not restored
Dnaja2,M,-1.365296668,0.224,-0.213853035,1,-0.158027134,1,not restored,not restored
Dnaja3,F,2.354483093,0.043,-0.806900552,1,-0.881188876,1,not restored,not restored
Dnaja3,M,-0.862365826,0.412,0.242874028,1,0.795552044,1,not restored,not restored
Dnaja4,F,1.710438246,0.122,-0.283081319,1,0.181792737,1,not restored,not restored
Dnaja4,M,-2.565104744,0.039,1.519017311,0.525,0.472961626,0.762,not restored,not restored
Dnajb1,F,-0.845169556,0.425,-0.58402668,1,-0.49423169,1,not restored,not restored
Dnajb1,M,-0.532878125,0.613,-0.271975222,1,-0.043988283,1,not restored,not restored
Dnajb11,F,-0.192590405,0.853,-0.390672109,0.924,0.968791807,0.924,not restored,not restored
Dnajb11,M,-0.377931537,0.714,0.061565367,1,0.784724508,1,not restored,not restored
Dnajb12,F,-0.260064815,0.804,1.166308408,0.556,1.98090487,0.233,not restored,not restored
Dnajb12,M,2.453199182,0.035,-2.341416207,0.11,0.249545116,0.808,not restored,not restored
Dnajb13,F,-1.264739775,0.235,0.971073702,1,0.761721274,1,not restored,not restored
Dnajb13,M,0.081563764,0.937,-1.328046351,0.46,-0.000882788,0.999,not restored,not restored
Dnajb14,F,2.120598487,0.062,-0.096256359,1,-0.214545876,1,not restored,not restored
Dnajb14,M,0.179605402,0.862,-0.399586214,0.699,-1.374667523,0.609,not restored,not restored
Dnajb2,F,-0.784404005,0.461,0.697798981,1,0.214179385,1,not restored,not restored
Dnajb2,M,1.003062015,0.356,0.223441254,1,0.527328661,1,not restored,not restored
Dnajb3,F,0.448125292,0.666,1.365162849,0.636,0.328060131,0.75,not restored,not restored
Dnajb3,M,0.657668901,0.527,-1.188751282,0.406,1.399925927,0.406,not restored,not restored
Dnajb4,F,1.090326458,0.321,0.001825223,1,-0.127242705,1,not restored,not restored
Dnajb4,M,-1.520586029,0.185,-0.192595391,1,-0.543748958,1,not restored,not restored
Dnajb5,F,-0.61135774,0.563,-0.985419872,0.696,0.321265285,0.757,not restored,not restored
Dnajb5,M,0.509094212,0.629,-0.360577942,1,0.416284001,1,not restored,not restored
Dnajb6,F,1.559358152,0.17,1.397574779,0.585,0.906961431,0.772,not restored,not restored
Dnajb6,M,-1.085861527,0.316,0.215927018,1,0.008687731,1,not restored,not restored
Dnajb9,F,1.221375348,0.267,0.64388058,1,0.64675351,1,not restored,not restored
Dnajb9,M,-0.506810766,0.632,-0.289194214,1,-0.512971106,1,not restored,not restored
Dnajc1,F,0.980086612,0.352,1.595759565,0.444,0.768984203,0.734,not restored,not restored
Dnajc1,M,-0.664244304,0.529,-1.319431905,0.624,-1.354663569,0.624,not restored,not restored
Dnajc10,F,2.033663544,0.081,-0.583759215,1,0.132223847,1,not restored,not restored
Dnajc10,M,-0.135760131,0.897,0.035224412,1,-0.500785554,1,not restored,not restored
Dnajc11,F,0.496395952,0.635,-0.413772962,1,0.261952723,1,not restored,not restored
Dnajc11,M,0.169031565,0.87,0.67336757,1,1.337512125,0.636,not restored,not restored
Dnajc12,F,1.584904551,0.169,3.048977936,0.055,0.422984088,0.684,not restored,not restored
Dnajc12,M,0.247795555,0.813,0.291070879,1,-0.095924752,1,not restored,not restored
Dnajc13,F,1.967990407,0.078,-0.356234774,1,-0.028600418,1,not restored,not restored
Dnajc13,M,0.017397218,0.987,-0.400808046,0.7,-1.330230542,0.639,not restored,not restored
Dnajc14,F,0.359669977,0.729,0.240566257,0.815,1.685439605,0.375,not restored,not restored
Dnajc14,M,0.006146737,0.995,-0.126593219,1,-0.334876132,1,not restored,not restored
Dnajc15,F,1.793000058,0.127,-0.259781597,0.801,-2.237738154,0.15,not restored,not restored
Dnajc15,M,-0.000367121,1,-0.231607424,1,-0.759512886,1,not restored,not restored
Dnajc16,F,1.323271549,0.229,-0.395115464,1,-0.406827855,1,not restored,not restored
Dnajc16,M,-0.710237828,0.501,0.150470523,1,0.671641873,1,not restored,not restored
Dnajc17,F,0.027806014,0.979,3.042192491,0.039,0.631024686,0.543,not restored,not restored
Dnajc17,M,1.921246897,0.088,-0.49665386,0.738,1.027486864,0.738,not restored,not restored
Dnajc18,F,0.572933791,0.582,0.607633887,1,0.12569212,1,not restored,not restored
Dnajc18,M,-0.53335908,0.609,-0.128637675,1,0.04107665,1,not restored,not restored
Dnajc19,F,1.926249343,0.097,-0.175531447,0.864,1.47443003,0.344,not restored,not restored
Dnajc19,M,-0.360037823,0.732,-0.486088809,1,-0.420560524,1,not restored,not restored
Dnajc2,F,0.78434571,0.461,2.250129811,0.153,1.342589152,0.43,not restored,not restored
Dnajc2,M,-0.518375847,0.616,-2.093374219,0.188,-1.572066751,0.31,not restored,not restored
Dnajc21,F,1.273838518,0.256,1.720918391,0.36,1.727745498,0.36,not restored,not restored
Dnajc21,M,-0.375207884,0.721,-0.685528742,1,-0.262629416,1,not restored,not restored
Dnajc24,F,2.338713154,0.054,-1.066321482,0.312,-4.228260786,0.006,not restored,not restored
Dnajc24,M,-0.434938277,0.674,-1.138918257,0.738,-1.232362328,0.738,not restored,not restored
Dnajc25,F,1.999530097,0.085,0.075224676,1,0.115819163,1,not restored,not restored
Dnajc25,M,0.429023523,0.677,-1.268685802,0.699,-1.110391633,0.699,not restored,not restored
Dnajc27,F,1.614355011,0.159,-0.026875053,1,-0.450581296,1,not restored,not restored
Dnajc27,M,0.205868519,0.845,0.043852684,1,-0.269327258,1,not restored,not restored
Dnajc28,F,0.676751867,0.516,-0.666680587,0.732,-1.279580326,0.699,not restored,not restored
Dnajc28,M,-0.228540468,0.826,-2.125702923,0.188,-1.786738338,0.208,not restored,not restored
Dnajc3,F,1.637344987,0.154,1.153390762,0.828,0.241143976,0.828,not restored,not restored
Dnajc3,M,-0.652121727,0.538,-0.184014817,1,-0.540338165,1,not restored,not restored
Dnajc30,F,1.615539856,0.152,-0.681499611,1,0.406798305,1,not restored,not restored
Dnajc30,M,1.589983106,0.147,-0.457787377,0.661,1.035604023,0.65,not restored,not restored
Dnajc4,F,-0.804062679,0.447,0.687713922,1,0.603037318,1,not restored,not restored
Dnajc4,M,2.391389947,0.053,-0.708703907,0.994,0.594919493,0.994,not restored,not restored
Dnajc5,F,1.554540375,0.176,0.649100238,1,1.326215162,0.651,not restored,not restored
Dnajc5,M,-0.743808989,0.486,0.990965124,1,-0.080573249,1,not restored,not restored
Dnajc6,F,1.644465894,0.158,0.200899439,1,-0.391949774,1,not restored,not restored
Dnajc6,M,-0.418410989,0.691,0.012431784,1,-0.255157277,1,not restored,not restored
Dnajc7,F,-0.161957673,0.876,0.600316102,1,1.319813655,0.657,not restored,not restored
Dnajc7,M,1.081788686,0.306,-1.446937124,0.537,-0.352140789,0.972,not restored,not restored
Dnajc8,F,-0.761132878,0.468,0.691423985,0.64,1.802954941,0.339,not restored,not restored
Dnajc8,M,-0.539213261,0.602,-1.476016781,0.564,0.254160245,0.808,not restored,not restored
Dnajc9,F,0.389443484,0.705,-1.094477131,0.909,-0.688653914,1,not restored,not restored
Dnajc9,M,-0.897218889,0.391,0.169227811,0.963,1.046748186,0.963,not restored,not restored
Dnal1,F,2.591546492,0.047,0.058310026,0.955,-1.373591571,0.6,not restored,not restored
Dnal1,M,-0.708578277,0.508,-0.336546502,1,-0.781614209,1,not restored,not restored
Dnal4,F,-0.811864999,0.45,0.599761155,0.814,-0.869936703,0.814,not restored,not restored
Dnal4,M,1.028807846,0.348,-0.3390724,1,0.447560512,1,not restored,not restored
Dnali1,F,2.003339404,0.075,0.857945587,0.417,-1.388861332,0.392,not restored,not restored
Dnali1,M,0.053966458,0.958,-0.917851042,1,-0.439923392,1,not restored,not restored
Dnase1,F,3.684658364,0.005,0.456406721,0.66,-2.010956892,0.217,not restored,not restored
Dnase1,M,-0.290112161,0.781,0.082138847,1,-0.67191986,1,not restored,not restored
Dnase1l1,F,-0.645075503,0.534,-0.733793882,1,-0.319832528,1,not restored,not restored
Dnase1l1,M,1.729725514,0.122,0.075714691,0.941,-1.661280659,0.28,not restored,not restored
Dnase1l2,F,-0.456314428,0.659,-0.479703506,1,-0.341963196,1,not restored,not restored
Dnase1l2,M,-0.910832958,0.384,-1.092218626,0.912,-0.326019248,1,not restored,not restored
Dnase2a,F,0.212702415,0.839,1.167607839,0.732,-0.175440946,0.864,not restored,not restored
Dnase2a,M,0.687081114,0.508,-1.090876153,0.903,-0.142551922,0.903,not restored,not restored
Dnd1,F,0.457077407,0.657,0.00697698,0.995,-1.095456097,0.9,not restored,not restored
Dnd1,M,0.227736688,0.828,-0.322229393,1,-0.682458651,1,not restored,not restored
Dner,F,1.841138445,0.122,0.440307055,1,0.970792553,1,not restored,not restored
Dner,M,-0.978541091,0.371,0.696986086,1,0.174621518,1,not restored,not restored
Dnhd1,F,0.764160744,0.466,1.08820807,0.705,-0.288875992,0.779,not restored,not restored
Dnhd1,M,-1.322899386,0.22,1.75654644,0.22,-1.462983047,0.22,not restored,not restored
Dnlz,F,-0.355975343,0.736,-0.880430869,1,0.186540077,1,not restored,not restored
Dnlz,M,1.081934133,0.322,-0.106310015,1,0.339412495,1,not restored,not restored
Dnm1,F,1.842372727,0.101,-0.983337637,0.704,0.931390435,0.704,not restored,not restored
Dnm1,M,1.952809828,0.079,0.008103392,1,0.932262264,1,not restored,not restored
Dnm1l,F,1.545891851,0.178,0.668132638,1,-0.151869676,1,not restored,not restored
Dnm1l,M,-0.937250044,0.391,-0.172985406,1,-0.451459577,1,not restored,not restored
Dnm2,F,-0.68390183,0.519,0.196168904,1,0.99041751,1,not restored,not restored
Dnm2,M,0.684604019,0.52,-0.475206537,0.756,0.925090098,0.756,not restored,not restored
Dnm3,F,1.72417435,0.14,-0.590256619,1,-0.395689935,1,not restored,not restored
Dnm3,M,-0.434471199,0.679,-0.121419826,1,-0.651593202,1,not restored,not restored
Dnmbp,F,-0.576877446,0.577,-0.048958288,0.962,1.40518501,0.434,not restored,not restored
Dnmbp,M,0.155464517,0.88,0.006237022,1,0.489375066,1,not restored,not restored
Dnmt1,F,-0.407540686,0.698,0.207686072,1,-0.039177862,1,not restored,not restored
Dnmt1,M,0.905054245,0.398,-0.844872206,0.963,0.504213715,0.963,not restored,not restored
Dnmt3a,F,0.658173211,0.525,0.371510952,1,0.799757952,1,not restored,not restored
Dnmt3a,M,0.93363992,0.381,1.093265857,0.717,-0.320211262,0.756,not restored,not restored
Dnmt3b,F,0.286394478,0.78,-0.771389628,0.468,1.323097108,0.468,not restored,not restored
Dnmt3b,M,0.037349593,0.971,0.872777692,1,0.290866884,1,not restored,not restored
Dnpep,F,0.520077155,0.614,-0.661829622,1,0.061095142,1,not restored,not restored
Dnpep,M,1.115327783,0.296,0.632107939,1,0.848293257,1,not restored,not restored
Dnph1,F,1.213414624,0.261,-0.414177783,1,-0.565764989,1,not restored,not restored
Dnph1,M,-0.128678232,0.9,1.18415423,0.819,1.193336471,0.819,not restored,not restored
Dnttip1,F,-1.148034621,0.297,1.188022869,0.789,0.332227308,0.789,not restored,not restored
Dnttip1,M,1.010393448,0.354,-0.420471694,1,0.263885033,1,not restored,not restored
Dnttip2,F,0.852611677,0.414,-0.004832219,1,0.520263003,1,not restored,not restored
Dnttip2,M,-0.567217441,0.583,-1.04499136,0.963,-0.426589094,1,not restored,not restored
Doc2a,F,-0.50278687,0.631,-0.834008701,1,-0.41535673,1,not restored,not restored
Doc2a,M,1.47513888,0.185,-0.458388704,1,0.668524773,1,not restored,not restored
Doc2b,F,0.854337641,0.429,-0.390916197,1,-0.786606052,1,not restored,not restored
Doc2b,M,-0.328243173,0.75,-0.619948183,0.746,0.933828831,0.746,not restored,not restored
Doc2g,F,0.240856656,0.818,0.381051561,0.715,1.168873468,0.603,not restored,not restored
Doc2g,M,0.041160747,0.968,0.15848474,1,0.681072546,1,not restored,not restored
Dock1,F,3.957050601,0.003,-1.721465178,0.363,-0.93527548,0.648,not restored,not restored
Dock1,M,-0.355181978,0.733,-0.117120994,1,-0.153762231,1,not restored,not restored
Dock10,F,2.905817281,0.016,-0.581429383,1,-0.660850885,1,not restored,not restored
Dock10,M,-0.471451895,0.655,0.25829489,1,-0.375673344,1,not restored,not restored
Dock11,F,1.791548192,0.124,-1.243950995,0.735,-0.474416658,0.938,not restored,not restored
Dock11,M,-0.584732264,0.578,-0.421566187,1,-0.635246951,1,not restored,not restored
Dock2,F,0.445500103,0.665,-0.251856809,1,-0.359553245,1,not restored,not restored
Dock2,M,0.099775424,0.923,-0.441838262,1,-0.717485147,1,not restored,not restored
Dock3,F,2.106785643,0.065,-0.67873632,1,0.141194951,1,not restored,not restored
Dock3,M,0.474990749,0.648,0.87954938,0.778,-0.904460302,0.778,not restored,not restored
Dock4,F,2.921193775,0.015,-0.352275061,1,-0.377286503,1,not restored,not restored
Dock4,M,0.156000831,0.88,-0.036967506,0.972,-0.896382809,0.927,not restored,not restored
Dock5,F,1.635785182,0.133,-0.460066905,1,-1.06533297,0.942,not restored,not restored
Dock5,M,-0.325832278,0.751,0.899541289,0.782,-0.779910111,0.782,not restored,not restored
Dock6,F,-0.375359645,0.722,-0.537348177,1,-0.489918427,1,not restored,not restored
Dock6,M,0.776635403,0.465,0.579095014,1,0.802280848,1,not restored,not restored
Dock7,F,2.00348106,0.079,-0.204522123,1,0.653829532,1,not restored,not restored
Dock7,M,0.374118489,0.723,-0.408933989,0.726,-1.239458532,0.726,not restored,not restored
Dock8,F,1.201256348,0.27,-0.376389137,1,-0.409689415,1,not restored,not restored
Dock8,M,-1.090189027,0.323,-0.462943971,1,-0.120752678,1,not restored,not restored
Dock9,F,0.83860593,0.421,-0.23453923,1,0.555875698,1,not restored,not restored
Dock9,M,1.633974567,0.135,-0.456803665,0.659,-2.026152712,0.212,not restored,not restored
Dohh,F,-1.238748673,0.269,0.302345703,0.771,2.440674457,0.109,not restored,not restored
