symbol,sex,statistic_diet,p.adj_diet,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,statistic_treatment_1472,p.adj_treatment_1472,restoration_FOSGOS,restoration_1472
1700028K03Rik,F,1.251419005,0.247,0.267607746,1,-0.33355036,1,not restored,not restored
1700028K03Rik,M,-1.776496462,0.107,2.986501813,0.066,0.549452334,0.595,not restored,not restored
1700029J07Rik,F,1.212257568,0.256,-0.548420008,1,0.106191626,1,not restored,not restored
1700029J07Rik,M,-1.290718288,0.235,-0.465007535,1,-1.059835294,0.945,not restored,not restored
1700030J22Rik,F,-0.825469449,0.428,1.355788581,0.621,0.786816664,0.906,not restored,not restored
1700030J22Rik,M,-0.58108468,0.575,-3.302219074,0.033,-2.671568141,0.047,not restored,not restored
1700030K09Rik,F,0.424129579,0.681,1.102887412,0.915,0.874895081,0.915,not restored,not restored
1700030K09Rik,M,0.854258563,0.425,-1.010164378,0.341,-2.451734914,0.129,not restored,not restored
1700037C18Rik,F,-0.191846322,0.853,-1.261554919,0.528,0.038273299,0.97,not restored,not restored
1700037C18Rik,M,0.812474852,0.439,-0.917654723,0.772,0.615279241,0.772,not restored,not restored
1700057G04Rik,F,0.426534711,0.679,-1.196611821,0.542,0.175294495,0.865,not restored,not restored
1700057G04Rik,M,-0.219467471,0.831,0.503585166,1,1.014691116,1,not restored,not restored
1700066M21Rik,F,1.661134245,0.146,-0.89311921,1,-0.870403322,1,not restored,not restored
1700066M21Rik,M,-1.134678953,0.303,0.079709877,1,-0.293066802,1,not restored,not restored
1700067K01Rik,F,0.899729388,0.403,-1.033808651,0.672,-0.033893374,0.974,not restored,not restored
1700067K01Rik,M,0.177330995,0.864,0.996763436,1,0.686607487,1,not restored,not restored
1700086L19Rik,F,2.194089831,0.06,-0.902057302,0.776,-1.275976721,0.732,not restored,not restored
1700086L19Rik,M,-1.17731972,0.276,0.189261246,1,-0.550020049,1,not restored,not restored
1700088E04Rik,F,-0.186968536,0.855,0.205415852,1,0.848647652,1,not restored,not restored
1700088E04Rik,M,-1.359385043,0.205,0.611403593,1,-0.569762842,1,not restored,not restored
1700093K21Rik,F,-1.158318679,0.274,0.574009982,0.584,1.61591746,0.432,not restored,not restored
1700093K21Rik,M,0.707348552,0.502,0.454548053,1,0.000754247,1,not restored,not restored
1700102P08Rik,F,-0.987778713,0.357,0.672417445,1,-0.66934794,1,not restored,not restored
1700102P08Rik,M,-0.813014897,0.436,0.775100702,1,0.795939688,1,not restored,not restored
1700109H08Rik,F,0.504570466,0.625,0.218756235,1,1.361767354,0.609,not restored,not restored
1700109H08Rik,M,0.272597875,0.792,0.277694014,0.789,-0.896041396,0.782,not restored,not restored
1700123O20Rik,F,-1.079555229,0.308,0.783866038,0.904,1.721380664,0.39,not restored,not restored
1700123O20Rik,M,1.371092534,0.208,-0.352950537,0.99,-1.263399509,0.759,not restored,not restored
1810009A15Rik,F,-0.965951039,0.375,-0.550480303,1,0.319301576,1,not restored,not restored
1810009A15Rik,M,1.322749406,0.23,-0.950156993,0.742,0.708249567,0.742,not restored,not restored
1810010H24Rik,F,-0.568526733,0.583,0.097026253,1,0.724985144,1,not restored,not restored
1810010H24Rik,M,0.356183306,0.73,1.556915591,0.489,1.108959723,0.59,not restored,not restored
1810014B01Rik,F,1.235661244,0.252,-1.268034901,0.708,-0.912484039,0.772,not restored,not restored
1810014B01Rik,M,-0.785142142,0.456,-0.214168359,0.835,-1.181845536,0.807,not restored,not restored
1810024B03Rik,F,0.649280392,0.534,-0.989301321,0.41,-1.903756126,0.285,not restored,not restored
1810024B03Rik,M,0.752287503,0.474,-0.400766642,1,-0.418935319,1,not restored,not restored
1810030O07Rik,F,0.931509144,0.386,0.831275047,0.798,2.235289346,0.175,not restored,not restored
1810030O07Rik,M,-1.422840711,0.189,-0.174220955,1,-0.529985353,1,not restored,not restored
1810037I17Rik,F,1.164847702,0.281,0.912514784,0.788,1.757361638,0.33,not restored,not restored
1810037I17Rik,M,0.786380853,0.456,0.028333088,0.978,1.259831434,0.482,not restored,not restored
1810055G02Rik,F,-0.343170198,0.739,-0.047690722,0.963,1.289586083,0.711,not restored,not restored
