Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,Age,bw,bw_gain
HFHS_1472_C2_L120_P245_F,120,245,2,F,HFHS,1472,PND1,1.2,0
HFHS_1472_C2_L120_P246_F,120,246,2,F,HFHS,1472,PND1,1.4,0
HFHS_1472_C2_L127_P247_F,127,247,2,F,HFHS,1472,PND1,1.5,0
HFHS_1472_C2_L127_P248_F,127,248,2,F,HFHS,1472,PND1,1.1,0
HFHS_1472_C2_L127_P250_M,127,250,2,M,HFHS,1472,PND1,1.3,0
HFHS_1472_C2_L127_P251_M,127,251,2,M,HFHS,1472,PND1,1.4,0
HFHS_1472_C2_L127_P252_M,127,252,2,M,HFHS,1472,PND1,1.3,0
HFHS_1472_C4_L116_P435_F,116,435,4,F,HFHS,1472,PND1,1.4,0
HFHS_1472_C4_L116_P436_F,116,436,4,F,HFHS,1472,PND1,1.5,0
HFHS_1472_C4_L116_P438_M,116,438,4,M,HFHS,1472,PND1,1.5,0
HFHS_1472_C4_L116_P439_M,116,439,4,M,HFHS,1472,PND1,1.4,0
HFHS_1472_C5_L130_P501_F,130,501,5,F,HFHS,1472,PND1,1.4,0
HFHS_1472_C5_L130_P503_F,130,503,5,F,HFHS,1472,PND1,1.5,0
HFHS_1472_C5_L130_P506_M,130,506,5,M,HFHS,1472,PND1,1.6,0
HFHS_1472_C5_L130_P507_M,130,507,5,M,HFHS,1472,PND1,1.5,0
HFHS_1472_C5_L130_P508_M,130,508,5,M,HFHS,1472,PND1,1.4,0
CT_CT_C1_L105_P101_F,105,101,1,F,Control,Vehicle,PND7,3.1,1.7
CT_CT_C1_L105_P102_F,105,102,1,F,Control,Vehicle,PND7,2.7,1.7
CT_CT_C1_L105_P103_M,105,103,1,M,Control,Vehicle,PND7,2.9,1.7
CT_CT_C1_L105_P104_M,105,104,1,M,Control,Vehicle,PND7,3.1,1.7
CT_CT_C1_L105_P105_M,105,105,1,M,Control,Vehicle,PND7,2.7,1.4
CT_CT_C1_L105_P106_M,105,106,1,M,Control,Vehicle,PND7,2.9,1.7
CT_CT_C1_L104_P113_F,104,113,1,F,Control,Vehicle,PND7,2.9,1.8
CT_CT_C1_L104_P115_F,104,115,1,F,Control,Vehicle,PND7,2,0.8
CT_CT_C1_L104_P116_M,104,116,1,M,Control,Vehicle,PND7,2.3,1.1
CT_CT_C1_L104_P117_M,104,117,1,M,Control,Vehicle,PND7,3.2,1.8
CT_CT_C2_L117_P201_F,117,201,2,F,Control,Vehicle,PND7,3.2,2
CT_CT_C2_L117_P202_F,117,202,2,F,Control,Vehicle,PND7,3.3,1.9
CT_CT_C2_L117_P204_M,117,204,2,M,Control,Vehicle,PND7,3.5,1.9
CT_CT_C2_L122_P207_F,122,207,2,F,Control,Vehicle,PND7,3.7,2.3
CT_CT_C2_L122_P208_F,122,208,2,F,Control,Vehicle,PND7,3.9,2.4
CT_CT_C2_L117_P209_M,117,209,2,M,Control,Vehicle,PND7,3.9,2.5
CT_CT_C4_L129_P401_F,129,401,4,F,Control,Vehicle,PND7,4.3,2.9
CT_CT_C4_L129_P402_F,129,402,4,F,Control,Vehicle,PND7,4.2,2.8
CT_CT_C4_L129_P405_M,129,405,4,M,Control,Vehicle,PND7,4.4,3
CT_CT_C4_L129_P407_M,129,407,4,M,Control,Vehicle,PND7,4.4,3
CT_CT_C4_L113_P408_F,113,408,4,F,Control,Vehicle,PND7,3.3,1.9
CT_CT_C4_L113_P409_F,113,409,4,F,Control,Vehicle,PND7,3,1.6
CT_CT_C4_L113_P412_M,113,412,4,M,Control,Vehicle,PND7,3.1,1.7
CT_CT_C4_L113_P413_M,113,413,4,M,Control,Vehicle,PND7,3,1.6
HFHS_CT_C1_L110_P109_M,110,109,1,M,HFHS,Vehicle,PND7,4.1,2.8
HFHS_CT_C1_L110_P110_M,110,110,1,M,HFHS,Vehicle,PND7,4.2,2.7
HFHS_CT_C1_L107_P119_M,107,119,1,M,HFHS,Vehicle,PND7,3.1,1.8
HFHS_CT_C1_L107_P121_M,107,121,1,M,HFHS,Vehicle,PND7,2.9,1.7
HFHS_CT_C2_L123_P211_F,123,211,2,F,HFHS,Vehicle,PND7,3.6,2.3
HFHS_CT_C2_L123_P212_F,123,212,2,F,HFHS,Vehicle,PND7,2.4,
