"Legend","name","n","G","U","grubbs","p_grubbs"
"HFHS Vehicle","PND19",7,1.48,0.576,"lowest value 10.153 is an outlier",0.397
"Control Vehicle","PND10",7,1.47,0.579,"lowest value 17.061 is an outlier",0.402
"Control Vehicle","PND18",7,1.46,0.585,"highest value 33.396 is an outlier",0.413
"HFHS FOS+GOS","PND13",7,1.45,0.59,"lowest value 41.9965 is an outlier",0.424
"HFHS FOS+GOS","PND18",7,1.45,0.59,"highest value 55.8415 is an outlier",0.424
"Control Vehicle","PND3",7,1.44,0.595,"highest value 27.225 is an outlier",0.435
"HFHS Vehicle","PND4",7,1.44,0.595,"highest value 38.766 is an outlier",0.435
"HFHS Vehicle","PND5",7,1.4,0.62,"lowest value 30.9205 is an outlier",0.491
"HFHS FOS+GOS","PND11",7,1.39,0.625,"lowest value 37.843 is an outlier",0.504
"HFHS Vehicle","PND3",7,1.39,0.627,"highest value 38.766 is an outlier",0.508
"HFHS 1472","PND19",7,1.36,0.638,"highest value 54.9185 is an outlier",0.535
"HFHS FOS+GOS","PND10",7,1.36,0.639,"lowest value 35.074 is an outlier",0.537
"HFHS 1472","PND6",7,1.36,0.642,"lowest value 17.9985 is an outlier",0.544
"Control Vehicle","PND13",7,1.35,0.645,"highest value 44.649 is an outlier",0.552
"HFHS 1472","PND14",7,1.34,0.649,"lowest value 26.767 is an outlier",0.565
"HFHS 1472","PND21",7,1.33,0.655,"highest value 61.841 is an outlier",0.581
"HFHS Vehicle","PND15",7,1.31,0.668,"lowest value 23.5365 is an outlier",0.615
"HFHS 1472","PND13",7,1.31,0.668,"highest value 50.765 is an outlier",0.615
"Control Vehicle","PND2",7,1.29,0.678,"lowest value 10.527 is an outlier",0.644
"HFHS 1472","PND11",7,1.27,0.689,"highest value 50.3035 is an outlier",0.676
"HFHS 1472","PND8",7,1.26,0.692,"highest value 57.6875 is an outlier",0.687
"HFHS 1472","PND16",7,1.23,0.706,"highest value 51.688 is an outlier",0.729
"HFHS Vehicle","PND7",7,1.19,0.726,"highest value 50.765 is an outlier",0.796
"HFHS 1472","PND15",7,1.17,0.734,"highest value 50.3035 is an outlier",0.827
"HFHS Vehicle","PND22",6,NA,NA,NA,NA
"HFHS FOS+GOS","PND22",4,NA,NA,NA,NA
"HFHS 1472","PND12",6,NA,NA,NA,NA
