"","legend","sex","name","n","G","U","grubbs","p_grubbs"
"43","HFHS 1472","F","numeric_ARC_Posit_Nod2_cells",12,1.79,0.683,"lowest value 103 is an outlier",0.339
"44","HFHS Vehicle","M","numeric_ARC_double_Nod2_Pnoc_cells_among_Nod2_posit_cells",11,1.74,0.666,"highest value 54.651163 is an outlier",0.344
"45","HFHS 1472","F","numeric_ARC_Nod2_puncta_double",12,1.78,0.685,"highest value 8.59 is an outlier",0.345
"46","Control Vehicle","F","numeric_ARC_Pnoc_aver_puncta",13,1.82,0.702,"lowest value 15.44 is an outlier",0.35
"47","HFHS Vehicle","M","numeric_ARC_Nod2_puncta_double",11,1.73,0.67,"lowest value 2.99 is an outlier",0.355
"48","HFHS Vehicle","M","numeric_ARC_Posit_Pnoc_cells",11,1.73,0.672,"highest value 184 is an outlier",0.361
"49","HFHS FOS+GOS","M","numeric_Area",15,1.86,0.734,"lowest value 85133.4157 is an outlier",0.369
"50","HFHS FOS+GOS","F","numeric_ARC_Pnoc_puncta_double",12,1.74,0.7,"highest value 34.06 is an outlier",0.391
"51","HFHS 1472","M","numeric_ARC_N_double_cells",15,1.83,0.743,"highest value 169 is an outlier",0.402
"52","HFHS FOS+GOS","F","numeric_ARC_Nod2_puncta_double",12,1.73,0.703,"highest value 8.6 is an outlier",0.403
"53","Control Vehicle","F","numeric_Area",13,1.76,0.722,"lowest value 98064.2857 is an outlier",0.416
"54","Control Vehicle","M","numeric_ARC_N_double_cells",11,1.67,0.692,"highest value 169 is an outlier",0.421
"55","Control Vehicle","F","numeric_ARC_double_Nod2_Pnoc_cells_among_Nod2_posit_cells",13,1.75,0.724,"highest value 50.137741 is an outlier",0.425
"56","HFHS Vehicle","F","numeric_ARC_Posit_Pnoc_cells",12,1.7,0.713,"lowest value 8 is an outlier",0.436
"57","Control Vehicle","M","numeric_ARC_Nod2_puncta_double",11,1.64,0.703,"lowest value 4.55 is an outlier",0.456
"58","Control Vehicle","M","numeric_ARC_cells",11,1.64,0.703,"highest value 680 is an outlier",0.457
"59","HFHS FOS+GOS","M","numeric_ARC_double_Nod2_Pnoc_cells_among_Pnoc_posit_cells",15,1.78,0.757,"highest value 54.751131 is an outlier",0.463
"60","HFHS 1472","F","numeric_ARC_N_double_cells",12,1.66,0.727,"lowest value 31 is an outlier",0.488
"61","HFHS Vehicle","F","numeric_ARC_Nod2_aver_puncta",12,1.66,0.728,"highest value 6.52 is an outlier",0.493
"62","HFHS 1472","M","numeric_ARC_Posit_Pnoc_cells",15,1.75,0.765,"highest value 299 is an outlier",0.505
"63","HFHS Vehicle","M","numeric_ARC_double_Nod2_Pnoc_cells_among_Pnoc_posit_cells",11,1.6,0.717,"highest value 59.821429 is an outlier",0.506
"64","HFHS Vehicle","F","numeric_ARC_cells",12,1.64,0.734,"lowest value 359 is an outlier",0.515
"65","HFHS Vehicle","M","numeric_ARC_Pnoc_aver_puncta",11,1.58,0.727,"lowest value 10.4 is an outlier",0.545
"66","HFHS Vehicle","F","numeric_ARC_Nod2_puncta_double",12,1.61,0.743,"highest value 8.8 is an outlier",0.554
"67","HFHS 1472","F","numeric_ARC_Posit_Pnoc_cells",12,1.6,0.745,"highest value 191 is an outlier",0.566
"68","HFHS 1472","M","numeric_ARC_cells",15,1.71,0.777,"highest value 720 is an outlier",0.568
"69","Control Vehicle","M","numeric_ARC_Posit_Nod2_cells",11,1.55,0.735,"highest value 344 is an outlier",0.579
"70","HFHS FOS+GOS","F","numeric_Area",12,1.57,0.755,"highest value 146631.6395 is an outlier",0.611
"71","HFHS FOS+GOS","F","numeric_ARC_double_Nod2_Pnoc_cells_among_Pnoc_posit_cells",12,1.56,0.758,"highest value 83.443709 is an outlier",0.626
"72","Control Vehicle","M","numeric_ARC_double_Nod2_Pnoc_cells_among_Pnoc_posit_cells",11,1.52,0.746,"highest value 68.421053 is an outlier",0.628
"73","Control Vehicle","M","numeric_ARC_Posit_Pnoc_cells",11,1.52,0.746,"lowest value 126 is an outlier",0.629
"74","Control Vehicle","F","numeric_ARC_double_Nod2_Pnoc_cells_among_Pnoc_posit_cells",13,1.59,0.771,"highest value 75.833333 is an outlier",0.636
"75","Control Vehicle","F","numeric_ARC_Posit_Nod2_cells",13,1.59,0.772,"highest value 363 is an outlier",0.642
"76","HFHS FOS+GOS","M","numeric_ARC_Posit_Nod2_cells",15,1.65,0.791,"highest value 203 is an outlier",0.652
"77","HFHS FOS+GOS","F","numeric_ARC_Posit_Nod2_cells",12,1.52,0.771,"lowest value 72 is an outlier",0.692
"78","HFHS Vehicle","M","numeric_ARC_Nod2_aver_puncta",11,1.47,0.763,"highest value 6.06 is an outlier",0.711
"79","HFHS Vehicle","F","numeric_ARC_N_double_cells",12,1.49,0.781,"lowest value 3 is an outlier",0.747
"80","HFHS 1472","M","numeric_ARC_Pnoc_aver_puncta",15,1.58,0.808,"lowest value 15.08 is an outlier",0.766
"81","HFHS Vehicle","F","numeric_ARC_Posit_Nod2_cells",12,1.46,0.789,"highest value 254 is an outlier",0.795
"82","HFHS Vehicle","M","numeric_ARC_Posit_Nod2_cells",11,1.41,0.781,"highest value 197 is an outlier",0.807
"83","HFHS 1472","F","numeric_Area",12,1.45,0.791,"lowest value 115563.2984 is an outlier",0.814
"84","Control Vehicle","M","numeric_Area",11,1.39,0.787,"lowest value 106132.6032 is an outlier",0.839
"85","HFHS FOS+GOS","M","numeric_ARC_N_double_cells",15,1.54,0.818,"highest value 123 is an outlier",0.843
"86","HFHS FOS+GOS","M","numeric_ARC_Nod2_aver_puncta",15,1.52,0.823,"highest value 6.36 is an outlier",0.885
"87","HFHS FOS+GOS","F","numeric_ARC_N_double_cells",12,1.38,0.81,"lowest value 33 is an outlier",0.938
"88","HFHS FOS+GOS","M","numeric_ARC_Nod2_puncta_double",15,1.4,0.851,"highest value 7.27 is an outlier",1
