Mouse_ID,section,bregma,diet,treatment,legend,sex,cohort,cage,Area,Lepr_aver_puncta,Ghsr_aver_puncta,Pomc_aver_puncta,ARC_cells,Posit_Lepr_cells,Posit_Ghsr_cells,Posit_Pomc_cells,Lepr_puncta_triple_cells,Ghsr_puncta_triple_cells,Pomc_puncta_triple_cells,double_Ghsr_Pomc_cells,double_Lepr_Ghsr_cells,double_Lepr_Pomc_cells,N_triple_cells,Lepr_puncta_double_Lepr_Ghsr_cells,Ghsr_puncta_double_Lepr_Ghsr_cells,Ghsr_puncta_double_Ghsr_Pomc_cells,Pomc_puncta_double_Ghsr_Pomc_cells,Lepr_puncta_double_Lepr_Pomc_cells,Pomc_puncta_double_Lepr_Pomc_cells,double_Ghsr_Pomc_cells_among_Pomc_posit_cells,double_Ghsr_Pomc_cells_among_Ghsr_posit_cells,double_Lepr_Ghsr_cells_among_Lepr_posit_cells,double_Lepr_Ghsr_cells_among_Ghsr_posit_cells,double_Lepr_Pomc_cells_among_Pomc_posit_cells,double_Lepr_Pomc_cells_among_Lepr_posit_cells,triple_posit_cells_among_Pomc_cells,triple_posit_cells_among_Lepr_cells,triple_posit_cells_among_Ghsr_cells
218,5,not know,HFHS,Vehicle,HFHS Vehicle,F,2,123,128247.1112,8.71,11.85,19.44,460,60,105,20,0,0,0,2,48,4,0,9.67,16.82,14.95,6.94,6.65,18.55,10,1.904761905,80,45.71428571,20,6.666666667,0,0,0
303,4,-1.79_-1.91,HFHS,Vehicle,HFHS Vehicle,F,3,125.2,127314.0257,15.01,21.32,19.82,445,102,154,55,24.36,31.54,17.01,19,73,25,12,14.46,30.01,22.78,15.8,16.46,25.55,34.54545455,12.33766234,71.56862745,47.4025974,45.45454545,24.50980392,21.81818182,11.76470588,7.792207792
303,4,not known,HFHS,Vehicle,HFHS Vehicle,F,3,125.2,127718.6947,11.16,15.81,19.91,416,84,132,20,7.43,9.52,34.87,4,64,7,3,12.74,22.61,9.7,29.97,6.32,31.42,20,3.03030303,76.19047619,48.48484848,35,8.333333333,15,3.571428571,2.272727273
303,6,not known,HFHS,Vehicle,HFHS Vehicle,F,3,125.2,128607.8242,11.29,14.28,23.31,462,71,127,34,18.16,31.46,9.45,11,53,16,7,12.46,21.54,23.74,16.29,13.03,23.04,32.35294118,8.661417323,74.64788732,41.73228346,47.05882353,22.53521127,20.58823529,9.85915493,5.511811024
304,5,-1.91_-2.03,HFHS,Vehicle,HFHS Vehicle,F,3,125.2,125157.5169,7.31,15.5,9.37,400,30,44,33,15.4274,16.1678,7,2,8,5,1,9.64,15.4,10.17,5.82,9.74,9.65,6.060606061,4.545454545,26.66666667,18.18181818,15.15151515,16.66666667,3.03030303,3.333333333,2.272727273
419,3,not known,HFHS,Vehicle,HFHS Vehicle,F,4,126,151588.4915,5.46,7.47,21.2,390,35,13,26,0,0,0,1,2,6,0,6.83,3.09,4,15.5114,6.42,32.72,3.846153846,7.692307692,5.714285714,15.38461538,23.07692308,17.14285714,0,0,0
419,4,not known,HFHS,Vehicle,HFHS Vehicle,F,4,126,142482.7381,5.4,4.05,19.86,406,23,4,34,3.8091,4.2748,10.6259,2,2,10,1,3.4,4.04,3.92,15.39,5.98,40.33,5.882352941,50,8.695652174,50,29.41176471,43.47826087,2.941176471,4.347826087,25
419,6,not know,HFHS,Vehicle,HFHS Vehicle,F,4,126,154368.0742,4.67,10.5,15.04,407,37,17,23,0,0,0,0,2,9,0,4.4,17.73,0,0,4.02,17.78,0,0,5.405405405,11.76470588,39.13043478,24.32432432,0,0,0
421,3,-1.55_-1.67,HFHS,Vehicle,HFHS Vehicle,F,4,126,134061.8066,17.51,22.17,25.53,553,105,181,45,29.14,46.33,11.02,7,82,16,4,20.9,34.67,27.9,16.37,10.98,30.64,15.55555556,3.867403315,78.0952381,45.3038674,35.55555556,15.23809524,8.888888889,3.80952381,2.209944751
421,5,-1.79_-1.85,HFHS,Vehicle,HFHS Vehicle,F,4,126,124676.2654,12.6,14.93,21.42,537,71,172,11,0,0,0,4,64,1,0,13.52,23.77,7.48,22.91,3,15.9999,36.36363636,2.325581395,90.14084507,37.20930233,9.090909091,1.408450704,0,0,0
421,6,-1.91,HFHS,Vehicle,HFHS Vehicle,F,4,126,105887.0952,14.55,17.5,15.6,483,100,155,9,18.93,6.03,22.31,3,81,3,2,16.34,23.33,7.72,16.96,13.62,20.23,33.33333333,1.935483871,81,52.25806452,33.33333333,3,22.22222222,2,1.290322581
122,2,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,1,106,146273.1439,20.15,27.69,15.25,401,93,95,63,46.65,58.66,9.47,19,58,35,17,26.1,37.47,53.19,9.78,29.51,19.4,30.15873016,20,62.3655914,61.05263158,55.55555556,37.6344086,26.98412698,18.27956989,17.89473684
122,4,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,1,106,134895.0636,19.73,31.26,14.97,375,103,131,70,38.77,59.63,12.38,25,77,38,21,24.04,45.33,50.78,12.53,24.33,17.66,35.71428571,19.08396947,74.75728155,58.77862595,54.28571429,36.89320388,30,20.38834951,16.03053435
122,5,not known,HFHS,FOS+GOS,HFHS FOS+GOS,F,1,106,126736.7142,23.22,28.02,25.31,383,91,139,55,47.31,67.92,21.46,24,61,37,23,30.18,48.45,65.26,24.03,33.54,30.25,43.63636364,17.26618705,67.03296703,43.88489209,67.27272727,40.65934066,41.81818182,25.27472527,16.54676259
223,4,-1.43,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,124,113991.6368,11.6,18.36,44.77,449,110,166,42,21.34,27.19,38.15,13,85,22,8,13.07,27.04,19.25,38.33,12.42,47.64,30.95238095,7.831325301,77.27272727,51.20481928,52.38095238,20,19.04761905,7.272727273,4.819277108
223,5,-1.55_-1.67,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,124,124854.8416,13.66,21.59,35.22,482,100,182,45,16.22,26.02,44.17,21,79,25,16,15.94,30.96,24.2,37.36,12.18,46.4,46.66666667,11.53846154,79,43.40659341,55.55555556,25,35.55555556,16,8.791208791
233,5,-1.43_-1.55,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,119,108411.5742,9.01,11.85,31.85,483,84,118,41,9.33,16.38,22.83,12,54,17,5,10.75,15.83,10.44,28.33,7.07,43.63,29.26829268,10.16949153,64.28571429,45.76271186,41.46341463,20.23809524,12.19512195,5.952380952,4.237288136
233,6,-1.55_-1.67,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,119,106836.3088,9.21,12.89,15.11,573,94,175,45,9.79,14.81,17.65,29,76,20,16,10.18,19.3,12.32,17.4,8.46,16.36,64.44444444,16.57142857,80.85106383,43.42857143,44.44444444,21.27659574,35.55555556,17.0212766,9.142857143
237,3,-1.43,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,128,112022.7021,8.31,13.01,44.32,448,43,144,25,7.31,11.24,41.74,7,37,3,2,8.82,19.48,10.71,45.68,6.54,47.77,28,4.861111111,86.04651163,25.69444444,12,6.976744186,8,4.651162791,1.388888889
237,4,-1.67,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,128,105470.9858,6.44,12.63,23.06,489,31,146,27,6,18.8319,25.5495,10,27,1,1,6.57,21.67,11.12,22.34,6,25.5495,37.03703704,6.849315068,87.09677419,18.49315068,3.703703704,3.225806452,3.703703704,3.225806452,0.684931507
237,5,-1.79,HFHS,FOS+GOS,HFHS FOS+GOS,F,2,128,114042.5675,9.16,13.14,26.83,550,29,194,71,4.37,9.34,27.01,20,22,5,4,9.33,34.02,12.37,35.96,4.09,27.38,28.16901408,10.30927835,75.86206897,11.34020619,7.042253521,17.24137931,5.633802817,13.79310345,2.06185567
128,7,-1.79,HFHS,1472,HFHS 1472,F,1,115,110236.8763,13.28,28.75,36.75,426,118,206,40,14.57,32.91,25.16,19,102,21,13,14.25,40.1,24.56,27.24,11.46,41.78,47.5,9.223300971,86.44067797,49.51456311,52.5,17.79661017,32.5,11.01694915,6.310679612
128,5,not known,HFHS,1472,HFHS 1472,F,1,115,143202.3828,24.17,31.02,31.15,540,208,277,131,38.78,50.45,30.63,79,171,89,66,27.63,42.39,44.31,27.59,31.1,38.9,60.30534351,28.5198556,82.21153846,61.73285199,67.9389313,42.78846154,50.38167939,31.73076923,23.8267148
128,8,not known,HFHS,1472,HFHS 1472,F,1,115,139678.5073,19.34,20.75,25.58,662,238,328,61,33.27,24.36,25.57,29,180,34,18,21.95,28.79,19.46,21.52,25.57,33.3,47.54098361,8.841463415,75.6302521,54.87804878,55.73770492,14.28571429,29.50819672,7.56302521,5.487804878
134,1,-1.43,HFHS,1472,HFHS 1472,F,1,111,112300.0573,11.44,18.4,33.73,482,147,161,135,17.59,29.12,31.68,55,86,71,38,14.02,26.04,23.96,27.37,14.02,46.38,40.74074074,34.16149068,58.50340136,53.41614907,52.59259259,48.29931973,28.14814815,25.85034014,23.60248447
134,3,-1.55,HFHS,1472,HFHS 1472,F,1,111,107562.8205,12.04,21.82,35.82,456,133,198,64,17.08,21.91,50.04,28,102,34,20,13.37,29.26,18.5,39.62,13,54.84,43.75,14.14141414,76.69172932,51.51515152,53.125,25.56390977,31.25,15.03759398,10.1010101
134,4,-1.67_-1.79,HFHS,1472,HFHS 1472,F,1,111,106023.6336,12.52,23.11,52.71,479,156,215,76,17.63,31.6,55.69,44,110,52,32,13.92,32.47,26.65,46.28,14.49,66.28,57.89473684,20.46511628,70.51282051,51.1627907,68.42105263,33.33333333,42.10526316,20.51282051,14.88372093
245,5,not known,HFHS,1472,HFHS 1472,F,2,120,127961.9447,12.09,11.78,18.97,338,46,80,25,25.86,13.58,49.99,7,30,10,5,14.83,17.01,11.45,41.21,16.97,32.55,28,8.75,65.2173913,37.5,40,21.73913043,20,10.86956522,6.25
245,7,not known,HFHS,1472,HFHS 1472,F,2,120,120533.6261,9.52,8.88,9.94,439,54,67,24,19.57,47.47,4.5,3,31,5,2,11.18,12.21,33.97,4.89,11.54,5.78,12.5,4.47761194,57.40740741,46.26865672,20.83333333,9.259259259,8.333333333,3.703703704,2.985074627
247,2,-1.43_-1.55,HFHS,1472,HFHS 1472,F,2,127,101701.8562,8.91,10.34,30.2,469,69,124,49,8.16,15.39,43.75,12,49,14,7,10.12,13.53,11.13,40.68,7.09,50.06,24.48979592,9.677419355,71.01449275,39.51612903,28.57142857,20.28985507,14.28571429,10.14492754,5.64516129
247,4,-1.67_-1.79,HFHS,1472,HFHS 1472,F,2,127,99637.9499,6.38,13.14,31.97,391,36,125,33,3.83,5.37,41.56,11,31,6,5,6.6,21.61,10.55,26.46,3.69,35.41,33.33333333,8.8,86.11111111,24.8,18.18181818,16.66666667,15.15151515,13.88888889,4
