Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,Age,BW(g),FirstMealSize,LatencyFirstMeal,EatingRate,AverageMealSize(g),AverageMealDuration(g),NumberMeals,TotalIntake(g),IntervalBtwMeals(min),LocomotorActivity(12h),CentreTime%,CentreDistance%,DistanceThigmotaxis(10%),DistanceThigmotaxis(20%),TimeThigmotaxis(10%),TimeThigmotaxis(20%),Rearing_ExternalZone10%,Rearing_ExternalZone20%,Rears(12h),Rearing_Centre,FaecalPellets,Basal_Glucose,IpGTT_0min,IpGTT_15min,IpGTT_30min,IpGTT_60min,IpGTT_90min,IpGTT_120min,AUC_crude,AUC_vs_basal,AUC%,SPT_Ratio,SPT_Ratio_OD,SPT_Ratio_ON,SPT_PreferenceScore,SPT_PreferenceScore_Percentage,SPT_PreferenceScore_OD,SPT_PreferenceScore_ON,SPT_CumulativeDrinkIntake_Water,SPT_CumulativeDrinkIntake_Saccharin,SPT_CumulativeDrinkIntake_Water_OD,SPT_CumulativeDrinkIntake_Saccharin_OD,SPT_CumulativeDrinkIntake_Water_ON,SPT_CumulativeDrinkIntake_Saccharin_ON,SPT_TotalCumulative_WaterDiet_0h,SPT_TotalCumulative_WaterDiet_12h,SPT_TotalCumulative_WaterDiet_24h,SPT_TotalCumulative_WaterDiet_36h,SPT_TotalCumulative_WaterDiet_48h,SPT_TotalCumulative_SaccharinDiet_0h,SPT_TotalCumulative_SaccharinDiet_12h,SPT_TotalCumulative_SaccharinDiet_24h,SPT_TotalCumulative_SaccharinDiet_36h,SPT_TotalCumulative_SaccharinDiet_48h,FPT_PreferenceScore,FPT_PreferenceScore%,FPT_PreferenceScore_OD,FPT_PreferenceScore%_OD,FPT_PreferenceScore_ON,FPT_PreferenceScore%_ON,FPT_TotalCumulative_CTDiet,FPT_TotalCumulative_HFHSDiet,FPT_TotalCumulative_CTDiet_OD,FPT_TotalCumulative_HFHS_OD,FPT_TotalCumulative_CTDiet_ON,FPT_TotalCumulative_HFHSDiet_ON,FPT_TotalCumulative_HFHSDiet_ON_divided_OD,FPT_TotalCumulative_CTDiet_0h,FPT_TotalCumulative_CTDiet_12h,FPT_TotalCumulative_CTDiet_24h,FPT_TotalCumulative_CTDiet_36h,FPT_TotalCumulative_CTDiet_48h,FPT_TotalCumulative_HFHSDiet_0h,FPT_TotalCumulative_HFHSDiet_12h,FPT_TotalCumulative_HFHSDiet_24h,FPT_TotalCumulative_HFHSDiet_36h,FPT_TotalCumulative_HFHSDiet_48h
CT_CT_C4_L113_P408_F,113,408,4,F,Control,Vehicle,PND70,17.8,1.36,21.18,0.16,0.8,,2,2.24,459.17,22276.3,,42,15,58,,,1158,3932,4310,298,26,6.7,6.7,16.5,12.2,9.7,7.3,6.3,1177,12373,17563,1.36,1.5,0.53333333,0.42,42.42,0.6,0.347826087,9.5,7,2,3,7.5,4,0,4,5.5,9,9.5,0,2,3,5,7,0.92,91.67,0.89,89.473684,0.92,92.307692,0.7,7.7,0.2,1.7,0.5,6,352.9411765,0,0.4,0.4,0.5,0.7,0,2.5,3.1,6.6,7.7
CT_CT_C4_L113_P409_F,113,409,4,F,Control,Vehicle,PND70,17.8,0.54,68.95,0.35,0.5,24.14,4,2.62,527.1,29330.8,5.2,29,32.6,71,70.2,94.8,3539,3105,4429,533,32,7.2,7.2,15.2,13,9.4,7.9,6.8,1196,12332,16604,0.87,0.8,1.375,0.54,53.57,0.444444444,0.578947368,6.5,7.5,2.5,2,4,5.5,0,3,4,5,6.5,0,3.5,4,6,7.5,0.94,93.65,0.6,60,0.95,95.041322,0.8,11.8,0.2,0.3,0.6,11.5,,0,0.2,0.4,0.8,0.8,0,4.1,4.4,11.8,11.8
HFHS_CT_C2_L123_P211_F,123,211,2,F,HFHS,Vehicle,PND70,17.6,7.96,16.88,1.29,2.32,29.82,6,14.1,523.1,16667.5,8.6,30.5,20.9,69.6,54.6,91.4,969,2843,3103,622,13,7.3,7.3,11.9,12.7,9.7,9,6.8,1182,12306,16192,1.43,4,1,0.59,59,0.8,0.5,7,10,1,4,6,6,0,4,4,6,7,0,5,6,7,10,0.98,98.13,0.97,96.774194,0.98,98.312236,0.5,26.3,0.1,3,0.4,23.3,776.6666667,0,0.3,0.4,0.5,0.5,0,7.6,10.4,26.1,26.3
HFHS_CT_C2_L123_P212_F,123,212,2,F,HFHS,Vehicle,PND70,17.4,5.46,0,0.77,2.96,63.79,2,6.02,110.35,17844.5,5.9,30.7,32.7,69.3,75,94.1,1576,1977,2279,486,16,7.9,7.9,13.2,12.2,8.8,6,4.4,1042,12094,13187,2.75,,1.75,0.73,73,1,0.636363636,6,,0,,6,,0,4,4,6,6,0,5.5,,,,0.97,97.41,0.92,92,0.98,98.067633,0.6,22.6,0.2,2.3,0.4,20.3,882.6086957,0,0.1,0.2,0.5,0.6,0,7,8.6,21.9,22.6
HFHS_CT_C2_L123_P213_F,123,213,2,F,HFHS,Vehicle,PND70,18.6,1.12,32.42,0.81,1.14,23.5,4,5.32,92.55,31376,9.8,37.9,19.7,62.1,47.3,90.2,1270,4222,4529,487,25,7.9,7.9,12,11.3,10.8,8.9,6.5,1182,12234,14962,3,,2,0.75,75,1,0.666666667,3,9,0,3,3,6,0,2,2,3,3,0,3.5,4.5,7,9,0.97,97,0.9,89.830508,0.99,98.755187,0.9,29.1,,5.3,0.3,23.8,449.0566038,0,0,0.2,0.5,0.9,0,13.4,14.8,25.2,29.1
HFHS_CT_C2_L123_P218_F,123,218,2,F,HFHS,Vehicle,PND70,20,0.24,122,1.25,0.54,7.2,4,3.2,351.97,15385.5,2.7,29,29.3,71.1,70.8,97.2,971,2284,2601,130,24,7.8,7.8,12.3,10.5,9,8.3,6.4,1094,12158,14029,2.8,2,3.33333333,0.74,74,0.666666667,0.769230769,2.5,7,1,2,1.5,5,0,1,1.5,2,2.5,0,2.5,3.5,6,7,0.99,98.62,0.89,89.473684,0.99,99.261993,0.4,28.6,0.2,1.7,0.2,26.9,1582.352941,0,0.2,0.3,0.3,0.4,0,8.8,9.8,27.9,28.6
HFHS_CT_C3_L125.1_P302_F,125.1,302,3,F,HFHS,Vehicle,PND70,20.5,0.54,19.02,0.53,0.58,18.13,5,2.4,613,15369.1,3.8,29.1,18.4,71,53.8,96.2,592,3009,3089,284,25,7.2,7.2,15.5,12.3,10,8.4,6.5,1213,12349,16844,2.36,0.25,0.57142857,0.3,29.73,0.2,0.363636364,,5.5,,1.5,7,4,0,3,,,,0,3,4,5,5.5,0.94,94.49,0.86,85.714286,0.95,95,0.7,12,0.1,0.6,0.6,11.4,1900,0,0.3,0.3,0.6,0.7,0,5.4,5.8,11.8,12
HFHS_CT_C3_L125.2_P303_F,125.2,303,3,F,HFHS,Vehicle,PND70,19.1,6.2,12.57,0.7,2.05,49.12,4,8.68,404.78,20691.8,7.5,30.7,27.9,69.3,65.7,92.4,1270,1896,2192,664,24,8.9,8.9,14.2,11.5,10.2,7.5,7.2,1178,12110,13230,0.92,1.66666667,0.88888889,0.52,52,0.625,0.470588235,6,6.5,1.5,2.5,4.5,4,0,2,3,5.5,6,0,2.5,4,5.5,6.5,0.93,92.86,0.85,85,0.94,93.627451,1.6,20.8,0.3,1.7,1.3,19.1,1123.529412,0,1.3,1.4,1.4,1.6,0,7.7,8.4,19.8,20.8
HFHS_CT_C3_L125.2_P304_F,125.2,304,3,F,HFHS,Vehicle,PND70,19.8,1.44,38.25,0.6,2.08,57.43,5,8.52,339.85,26937.7,6.8,32.8,25.3,67.1,57.9,93.2,1463,3722,4108,632,32,8.7,8.7,15.2,12,10.4,8.5,7.5,1243,12199,14284,0.5,1.2,2.8,0.67,66.67,0.545454545,0.736842105,5,10,2.5,3,2.5,7,0,2.5,3.5,3.5,5,0,4,5,8,10,0.91,91.47,0.92,91.666667,0.91,91.449814,,26.8,0.2,2.2,,24.6,1118.181818,0,,,,,0,14,14.8,25.4,26.8
HFHS_CT_C3_L125.1_P305_F,125.1,305,3,F,HFHS,Vehicle,PND70,19.7,4.62,,1.02,3.49,56.95,4,0.36,120.43,18749.7,4.9,36.2,21.7,63.9,63.2,95.1,939,2656,2809,233,26,6.7,6.7,7.7,,7.8,5.8,5.6,,11998,11966,1.33,0.75,0.75,0.43,42.86,0.428571429,0.428571429,6,4.5,2,1.5,4,3,0,2.5,3.5,5,6,0,2,3,4,4.5,0.99,98.55,0.9,90,0.99,98.867925,0.4,27.1,0.1,0.9,0.3,26.2,2911.111111,0,0.3,0.4,0.4,0.4,0,7.5,7.9,26.6,27.1
HFHS_CT_C3_L125.2_P306_F,125.2,306,3,F,HFHS,Vehicle,PND70,18.8,1.44,35.3,0.48,0.84,29.14,4,2.5,442.65,23975.2,6.3,26.2,30.6,73.8,60.4,93.7,1981,3075,3279,436,27,7.9,7.9,15.1,12.1,9.5,6.8,7.3,1157,12209,14639,1.33,0.33333333,0.88888889,0.43,42.86,0.25,0.470588235,6,4.5,1.5,0.5,4.5,4,0,2.5,3,5,6,0,2.5,3,4.5,4.5,0.95,94.88,0.91,90.909091,0.95,95.202952,1.5,27.8,0.2,2,1.3,25.8,1290,0,1.3,1.3,1.3,1.5,0,12.4,13.5,26.9,27.8
HFHS_CT_C4_L126_P419_F,126,419,4,F,HFHS,Vehicle,PND70,18.4,4.1,26.63,0.54,1.69,51.91,3,5.6,340.9,18280.5,6.7,34.4,22.7,65.5,63.2,93.2,725,4032,4417,628,16,8.8,8.8,12.9,11.9,10,9.2,8.3,1228,12172,13952,0.83,0.66666667,1.42857143,0.55,54.55,0.4,0.588235294,5,6,1.5,1,3.5,5,0,1.5,2.5,4.5,5,0,3,3,5,6,0.99,98.95,1,100,0.99,98.762376,0.5,,0,,0.5,39.9,554.1666667,0,0.3,0.3,0.5,0.5,0,13.9,17.4,43.4,47.1
HFHS_CT_C4_L126_P420_F,126,420,4,F,HFHS,Vehicle,PND70,18.9,0.48,25.28,0.6,1.52,41.99,5,7.84,408.07,30258.7,10.3,33.9,24.9,66.1,63.4,89.7,2190,3128,3646,741,15,7.5,7.5,16.2,11.6,10,7.8,6,1184,12284,15790,0.86,1,1.25,0.54,53.85,0.5,0.555555556,6,7,2,2,4,5,0,3,4,5,6,0,2.5,4,6.5,7,0.99,99.3,1,100,0.99,99.267399,0.2,28.5,0,1.4,0.2,27.1,1935.714286,0,0,0,0.2,0.2,0,14.9,15.8,28,28.5
HFHS_CT_C4_L126_P421_F,126,421,4,F,HFHS,Vehicle,PND70,17.8,0.38,94.47,0.27,0.39,23.79,4,2.14,391.47,23887.4,4.5,34.3,25,65.6,72.6,95.5,1785,3107,4129,343,17,7.1,7.1,14.7,10.5,9.8,8.8,6.2,1161,12309,16352,0.92,3.5,0.6,0.52,52,0.777777778,0.375,6,6.5,1,3.5,5,3,0,3.5,4,5.5,6,0,0,2,5,6.5,0.95,95.31,1,100,0.95,95.041322,0.6,12.2,0,0.7,0.6,11.5,1642.857143,0,0.5,0.5,0.6,0.6,0,8.7,8.9,11.7,12.2
HFHS_FOS+GOS_C1_L106_P122_F,106,122,1,F,HFHS,FOS+GOS,PND70,19.6,0.54,27.43,0.33,0.32,15.76,4,1.96,445.25,24884.9,,44.4,12,55.7,,,554,2369,2475,531,19,9.1,9.1,16.6,14.9,11.5,9.6,9,1421,12329,15610,4,4,4,0.8,80,0.8,0.8,3,12,1,4,2,8,0,2,3,3,3,0,4,6,10,12,0.96,96.34,1,100,0.96,96.0674157,1.4,36.9,0,2.7,1.4,34.2,1266.666667,0,1,1,1.4,1.4,0,18.2,19.2,35.2,36.9
HFHS_FOS+GOS_C1_L106_P124_F,106,124,1,F,HFHS,FOS+GOS,PND70,22.5,2.42,10.6,0.53,0.68,21.5,5,4.2,541.17,19829.5,3.5,29,26.1,71.1,68.4,96.6,781,2938,3234,410,33,8,8,19.5,12.8,11.4,9.7,7.8,1391,12431,17381,2.89,3.33333333,2.66666667,0.74,74,0.769230769,0.727272727,4.5,13,1.5,5,3,8,0,2,3.5,4.5,4.5,0,4,6,10,13,0.99,99.38,1,99.62121,0.99,99.2207792,0.4,64.5,0.1,,0.3,38.2,145.2471483,0,0.2,0.2,0.3,0.4,0,15,22.6,45.8,64.5
HFHS_FOS+GOS_C2_L124_P223_F,124,223,2,F,HFHS,FOS+GOS,PND70,20.6,0.46,2.53,0.49,0.7,23.62,6,4.86,545.52,18858.7,2.2,25.3,31.1,74.7,71,97.9,964,3788,4265,201,26,8.5,8.5,18.3,13.3,11.9,8.8,7.3,1368,12348,16094,1.43,2,1.33333333,0.59,59,0.666666667,0.571428571,7,10,1,2,6,8,0,3,3,6,7,0,4,5,9,10,0.97,97.32,0.8,80.487805,1,99.661017,0.9,32.7,0.8,3.3,0.1,29.4,890.9090909,0,0.1,0.7,0.7,0.9,0,19.3,21.2,31.3,32.7
HFHS_FOS+GOS_C2_L124_P224_F,124,224,2,F,HFHS,FOS+GOS,PND70,19,2.22,11.13,0.87,1.2,22.85,,,443.87,27119.5,7.6,29,27.8,71.1,54.9,92.3,1934,3463,4087,539,23,8.4,8.4,10.2,9,8.1,7.2,6.1,969,11961,11536,0.78,1,0.71428571,0.44,44,0.5,0.416666667,9,7,2,2,7,5,0,5,6,8,9,0,3,4,6,7,0.98,98.35,0.95,95.081967,0.99,99.009901,0.6,35.8,0.3,5.8,0.3,30,517.2413793,0,0.3,0.3,0.3,0.6,0,13.3,16.3,33,35.8
HFHS_FOS+GOS_C2_L124_P225_F,124,225,2,F,HFHS,FOS+GOS,PND70,18.1,0.9,35.88,0.77,0.95,20.51,3,3.94,211.8,21527.1,5.3,29,28.2,71,63.8,94.7,1416,3008,2959,258,27,9,9,9.2,7.5,6,5.8,6.5,825.8,,9175,0.92,0.33333333,1.11111111,0.48,48,0.25,0.526315789,6,5.5,1.5,0.5,4.5,5,0,3,3.5,5,6,0,3.5,3.5,5,5.5,0.99,99.42,1,100,0.99,99.358974,0.2,34.4,0,3.4,0.2,31,911.7647059,0,0.1,0.1,0.2,0.2,0,20.8,22.6,32.8,34.4
HFHS_FOS+GOS_C2_L119_P231_F,119,231,2,F,HFHS,FOS+GOS,PND70,18,0.64,14.98,0.33,0.65,32.71,4,3.22,407.97,14849.6,2.1,31.5,28.8,68.5,79.9,97.9,752,2199,2561,114,23,5.9,5.9,14.4,10.8,8.5,7.5,6.5,1081,12373,18318,,,4.16666667,0.89,89,1,0.806451613,2.5,20,0,,3,12.5,0,2,2,3,2.5,0,5,8.5,16,20,0.95,94.96,0.79,79.166667,0.98,98.26087,0.7,13.2,0.5,1.9,0.2,11.3,594.7368421,0,0,0.5,0.7,0.7,0,2.4,4.2,13.1,13.2
HFHS_FOS+GOS_C2_L119_P232_F,119,232,2,F,HFHS,FOS+GOS,PND70,17.5,0.24,2.03,0.36,0.55,25.17,5,3.56,182.72,23566.6,5.4,32.2,28,67.8,67.4,94.6,1311,2230,3219,349,27,8.4,8.4,17.2,12.6,11.2,10.9,8.5,1395,12387,16607,1.5,0.75,2.25,0.6,60,0.428571429,0.692307692,8,12,4,3,4,9,0,3,6,7,8,0,5,8,12,12,0.99,99.45,0.99,99.115044,1,100,0.1,18.1,0.1,11.2,0,6.9,61.60714286,0,0,0,0,0.1,0,6.9,16.9,16.9,18.1
HFHS_FOS+GOS_C2_L119_P233_F,119,233,2,F,HFHS,FOS+GOS,PND70,17.6,0.7,14.05,0.23,0.57,41.84,6,3.7,445.3,32536.4,6.8,33.5,25.6,66.5,57.2,93.3,2084,4142,4458,617,38,8.9,8.9,13.5,12.3,10.7,8.2,7.9,1232,12164,13837,1,0.75,1.14285714,0.5,50,0.428571429,0.533333333,11,11,4,3,7,8,0,4,6,9,11,0,2,3,9,11,0.94,93.55,0.85,85,1,100,0.6,8.7,0.6,3.4,0,5.3,155.8823529,0,0,0.4,0.4,0.6,0,3.4,5.4,7.3,8.7
HFHS_FOS+GOS_C2_L128_P236_F,128,236,2,F,HFHS,FOS+GOS,PND70,20,0.28,,0.68,0.27,6.67,3,2.14,376.62,13081.4,2.3,38,21,62.1,76.8,97.8,1618,2339,3442,85,31,8.3,8.3,15.4,12.7,10.3,8.9,8.2,1278,12282,15398,0.43,1.33333333,0.18181818,0.3,30,0.571428571,0.153846154,7,3,1.5,2,5.5,1,0,3,4,6.5,7,0,1,1,1,3,0.99,98.59,1,100,0.98,98.253275,0.4,27.9,0,5.4,0.4,22.5,416.6666667,0,0.3,0.3,0.4,0.4,0,10.8,14,25.7,27.9
HFHS_FOS+GOS_C2_L128_P237_F,128,237,2,F,HFHS,FOS+GOS,PND70,19,0.64,55.63,0.22,0.45,34.92,3,2.38,390.7,25743.2,5.3,34.8,20.4,65.2,62,94.8,982,2895,3090,416,22,7.7,7.7,13.5,12.1,9.3,8.2,6.8,1160,12236,15058,0.79,1,0.7,0.44,44,0.5,0.411764706,7,5.5,2,2,5,3.5,0,4,5,6,7,0,1,3,5.5,5.5,0.99,98.67,0.97,97.321429,0.99,99.117647,0.6,44.6,0.3,10.9,0.3,33.7,309.1743119,0,0.3,0.4,0.4,0.6,0,20,29.2,42.9,44.6
HFHS_FOS+GOS_C2_L128_P238_F,128,238,2,F,HFHS,FOS+GOS,PND70,18.2,0.66,67.63,0.31,0.41,21.9,3,1.78,504.85,20316.9,2.3,24.6,41.5,75.3,80.4,97.8,1923,2352,3141,149,23,7.5,7.5,16.3,12.2,8.9,8.6,6.5,1198,12298,15970,0.92,0.4,1.28571429,0.48,48,0.285714286,0.5625,6,5.5,2.5,1,3.5,4.5,0,2,3.5,5,6,0,3,4,5.5,5.5,0.96,96.27,0.84,84.210526,0.98,98.26087,0.5,12.9,0.3,1.6,0.2,11.3,706.25,0,0.2,0.3,0.3,0.5,0,6.9,7.6,12,12.9
HFHS_FOS+GOS_C3_L114_P311_F,114,311,3,F,HFHS,FOS+GOS,PND70,21.7,0.26,11.28,0.36,0.35,15.84,4,2.44,291.98,23554.5,10.6,37.1,19.3,63,36.1,89.4,1136,3211,3350,424,22,6.8,6.8,14.7,12.1,8.5,7.3,6.6,1117,12301,16423,1.56,2.33333333,0.18181818,0.39,39.13,0.7,0.153846154,7,4.5,1.5,3.5,5.5,1,0,4,4.5,6,7,0,0.5,1,1.5,4.5,0.96,95.65,1,100,0.95,95,1.2,26.4,0,3.6,1.2,22.8,633.3333333,0,1,1,1.2,1.2,0,12.1,14.7,25.4,26.4
HFHS_1472_C1_L115_P128_F,115,128,1,F,HFHS,1472,PND70,15.7,0.34,4.83,0.28,0.42,25.15,6,3.26,463.8,23467.2,,47.1,11.1,53,,,725,2717,2914,471,19,8.3,8.3,15.5,11.1,9.9,8.4,6.6,1193,12197,14367,2.33,,2.2,0.7,70,0.75,0.6875,3,7,0.5,1.5,2.5,5.5,0,2,2.5,3,3,0,3,4.5,7,7,0.95,95.28,0.86,86.36364,0.96,96.3157895,1,20.2,0.3,1.9,0.7,18.3,963.1578947,0,0.7,,0.9,1,0,8.7,9.2,18.8,20.2
HFHS_1472_C1_L115_P130_F,115,130,1,F,HFHS,1472,PND70,18.4,2.28,0.97,0.34,1.09,52.86,3,3.86,167.63,20972.7,3.7,32.6,22.9,67.4,64.6,96.3,976,3197,3396,398,15,10.1,10.1,15.8,12.2,11.2,8.6,7.9,1300,12088,12869,0.79,0.25,1,0.44,44,0.2,0.5,7,5.5,2,0.5,5,5,0,3.5,4,5.5,7,0,3,3,5,5.5,0.97,97.42,0.89,89.28571,0.99,99.2125984,0.4,15.1,0.3,2.5,0.1,12.6,504,0,0,0.2,0.3,0.4,0,3.8,5.3,14.1,15.1
