"family","sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"Acholeplasmataceae","Male","week 5",-0.987248640096646,0.405290491616853,1.22636226234431,0.744213356054891,0.849572367525363,0.826850026990282,"not restored","not restored"
"Akkermansiaceae","Female","week 5",0.070368828629194,0.946265572681153,1.70868027911195,0.363250311637854,0.725906132688437,0.483873483340942,"not restored","not restored"
"Akkermansiaceae","Female","week 10",0.901213887679487,0.378178968621446,2.65033193687728,0.0688824448606071,-0.103166072336861,1,"not restored","not restored"
"Akkermansiaceae","Male","week 5",1.67834600951467,0.244698185701967,-0.508592810066525,1,0.198498827788122,1,"not restored","not restored"
"Akkermansiaceae","Male","week 10",0.156557728141428,0.879098194658468,1.59547667371822,0.417874038922509,-0.0595660545804187,0.953519697905226,"not restored","not restored"
"Anaerofustaceae","Female","week 10",0.994149249779877,0.80797594402678,-1.32888242741399,0.614959893335435,-1.29452306335184,0.614959893335435,"not restored","not restored"
"Anaerovoracaceae","Female","week 5",3.12925713003958,0.00977861328088799,-3.3616708373633,0.0038549513838616,-0.302780831386635,0.763978180625672,"restored","not restored"
"Anaerovoracaceae","Female","week 10",0.81909631522862,0.421615842130407,-3.73883749088827,0.00845812112622866,-1.06800364932351,0.310432694017647,"not restored","not restored"
"Anaerovoracaceae","Male","week 5",2.42901439524952,0.0881902318488548,-2.7640564672382,0.0287527807723034,-1.34884334315664,0.186876315630995,"not restored","not restored"
"Anaerovoracaceae","Male","week 10",0.327642281575493,0.746394948869253,-4.64662299519882,0.0016080359539027,0.800658600253518,0.440234418450584,"not restored","not restored"
"Atopobiaceae","Female","week 5",-1.00768131258812,0.343134208305027,1.65266991896297,0.373508056249403,0.433671734435211,1,"not restored","not restored"
"Atopobiaceae","Female","week 10",0.573190672179162,0.83399119108774,0.0855314159512938,0.933368528172971,-1.27497773745561,0.457026422996108,"not restored","not restored"
"Atopobiaceae","Male","week 5",1.08653011957993,0.334199391156847,0.0768390444457297,0.939817729417486,-0.993618266909636,0.67298509839237,"not restored","not restored"
"Atopobiaceae","Male","week 10",-0.199153295685062,0.846539080644269,1.16873743920326,0.692090872065048,-0.956147006082052,0.692090872065048,"not restored","not restored"
"Bacteroidaceae","Female","week 5",0.724539016945115,0.503549916901259,2.87268586033741,0.0139275677417226,1.19757133316062,0.239366541765739,"not restored","not restored"
"Bacteroidaceae","Female","week 10",-1.61674089194035,0.157251741452287,1.58569087327783,0.278320719963685,1.17094818339404,0.278320719963685,"not restored","not restored"
"Bacteroidaceae","Male","week 5",1.12258149293617,0.293071494278939,-1.65726080789748,0.2492410271432,-0.906334622276254,0.383606067863943,"not restored","not restored"
"Bacteroidaceae","Male","week 10",1.56717288963868,0.147665007075111,-1.62245415884999,0.183928701677798,-1.86827934557403,0.183928701677798,"not restored","not restored"
"Bifidobacteriaceae","Female","week 5",-2.69344162826953,0.063721689856206,2.68634370260329,0.0621112829730343,0.653868610509228,1,"not restored","not restored"
