"order","sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"Acholeplasmatales","Male","week 5",-0.987248640096646,0.405290491616853,1.22636226234149,0.744213355903948,0.849572367526302,0.826850026933675,"not restored","not restored"
"Bacteroidales","Female","week 5",-1.90285683340219,0.0707464966725549,5.02202110890118,3.21705634653778e-05,1.23846739548644,0.224025745172561,"not restored","not restored"
"Bacteroidales","Female","week 10",-1.86502815656802,0.075572165349428,0.885189683493191,0.397037637119853,1.45641378221735,0.349586014100389,"not restored","not restored"
"Bacteroidales","Male","week 5",-1.37868422394244,0.201145669371208,-1.31492959466618,0.439727424848732,-0.315370529366279,0.758735866810072,"not restored","not restored"
"Bacteroidales","Male","week 10",0.087198853937101,0.932410340700589,-1.10760477570284,0.553223435967358,0.570476243162295,0.57231801681148,"not restored","not restored"
"Bifidobacteriales","Female","week 5",-2.69344162826953,0.063721689856206,2.68634370260329,0.0621112829730343,0.653868610509228,1,"not restored","not restored"
"Bifidobacteriales","Female","week 10",-0.680482336227629,0.520324045063079,2.69760525737817,0.0773853750550506,0.141958338228359,0.890340687639286,"not restored","not restored"
"Bifidobacteriales","Male","week 5",-5.27394391569328,0.00145825059828621,5.03064008129963,0.00106223248173204,0.0653569212689986,1,"restored","not restored"
"Bifidobacteriales","Male","week 10",-1.3608155377097,0.209717943148728,3.66797012049178,0.00858366594373298,-0.829693649149091,0.421709428141919,"not restored","not restored"
"Burkholderiales","Female","week 5",-0.728522372620864,0.580325437313515,7.46192937050877,0.00141132616142718,0.366410794441794,1,"not restored","not restored"
"Burkholderiales","Female","week 10",-0.265825345805363,0.798742878018072,4.99048494821008,5.30174043637648e-05,-0.159867105912328,1,"not restored","not restored"
"Burkholderiales","Male","week 5",0.0343229106833486,0.973303406410578,1.76904081773017,0.294911665293036,0.296132853572881,0.771296605233965,"not restored","not restored"
"Burkholderiales","Male","week 10",-2.14639949080296,0.121719312905331,6.84158965676808,9.49882786330577e-05,0.370206547823015,1,"not restored","not restored"
"Chlamydiales","Female","week 10",-0.533883988333385,0.622461537744462,-1.24316312101612,0.575672319526178,-1.26778260252802,0.575672319526178,"not restored","not restored"
"Chlamydiales","Male","week 10",1.14643349685459,0.730792400359863,-0.946048047182452,0.713779498047626,-1.39446717444866,0.713779498047626,"not restored","not restored"
"Christensenellales","Female","week 5",3.74202136203964,0.00225833447400366,-6.81339883682581,1.54399572286684e-07,-1.19303686681032,0.241114081925977,"restored","not restored"
"Christensenellales","Female","week 10",1.27358143682104,0.239407046451753,-7.30721089807141,3.66004144346839e-08,-4.33115948409821,0.000124145555578254,"not restored","not restored"
"Christensenellales","Male","week 5",0.945737144288805,0.354554975041357,-3.66895483626346,0.00281108473549866,2.24614744993178,0.0319382612146057,"not restored","not restored"
"Christensenellales","Male","week 10",0.869728142063679,0.404911437186991,-6.03847743260997,0.000539886416990803,-0.538087580649037,0.601814658042807,"not restored","not restored"
"Clostridiales","Female","week 5",3.1641272954061,0.00915382527748358,-2.90129162940302,0.0259012035024225,-3.17454908032724,0.0235008176413367,"restored","restored"
"Clostridiales","Female","week 10",2.03604581911442,0.147335559261077,-1.36388560963515,0.613050751803958,0.26075968358538,0.79926421213942,"not restored","not restored"
"Clostridiales","Male","week 5",1.79586584353773,0.221150662284611,-1.40242739721519,0.376645497259112,-0.599573230588249,0.560605212764581,"not restored","not restored"
"Clostridiales","Male","week 10",2.14189873088775,0.115225864115667,-0.193307174957417,1,1.48402172855388,0.493407631954562,"not restored","not restored"
"Coriobacteriales","Female","week 5",2.6080616218828,0.0415375077463704,0.0438556617802633,1,-0.573318733003708,1,"not restored","not restored"
"Coriobacteriales","Female","week 10",1.15314864525964,0.484715316571601,-0.526513549206445,0.610961412002602,-1.1396418411411,0.561393469367208,"not restored","not restored"
"Coriobacteriales","Male","week 5",1.87526717727411,0.21301416375365,-0.0635661706161239,0.950202400810804,-1.43949509634082,0.342242912899121,"not restored","not restored"
"Coriobacteriales","Male","week 10",-0.164525940458084,0.872905869468051,0.767791429462993,0.798049823587515,-0.875247255864201,0.798049823587515,"not restored","not restored"
"Deferribacterales","Female","week 5",0.0207121522848577,0.9840371280255,-1.11495012855706,0.605974181025079,-0.905789204556768,0.605974181025079,"not restored","not restored"
"Deferribacterales","Female","week 10",1.13201434723401,0.542457857492978,-1.77014476388,0.173548065151844,-0.978063822600802,0.336719340260385,"not restored","not restored"
"Deferribacterales","Male","week 5",1.95460891825529,0.128343081075308,1.00296396407969,0.927182967738943,-0.402287590224027,0.927182967738943,"not restored","not restored"
"Deferribacterales","Male","week 10",-0.706009498342737,0.488544616048735,-1.50138972929697,0.330449268831419,-1.49097954880696,0.330449268831419,"not restored","not restored"
"Desulfovibrionales","Female","week 5",1.8425687197238,0.109204042090884,-3.45715714606271,0.0177457869404991,0.801198837520291,0.443282857439271,"not restored","not restored"
"Desulfovibrionales","Female","week 10",1.15515104972604,0.26042132580283,-3.56067236761129,0.00223475533543785,-2.57390369331789,0.0145864673774375,"not restored","not restored"
"Desulfovibrionales","Male","week 5",0.86453242366887,0.407483112941564,-2.05714977241657,0.153353133203646,1.85173214220759,0.153353133203646,"not restored","not restored"
"Desulfovibrionales","Male","week 10",1.24282032572155,0.227017701280182,-2.40451878401749,0.0435992761774111,0.207411243431393,0.836928523908262,"not restored","not restored"
"Enterobacterales","Female","week 5",-0.265243793626924,0.793486397540712,-0.14990070080673,1,0.101325473939511,1,"not restored","not restored"
"Enterobacterales","Female","week 10",-0.470587920792664,0.653542239943188,-0.792960265549819,0.87001174292071,-0.0851848941727498,0.932810608803741,"not restored","not restored"
"Enterobacterales","Male","week 5",-1.95205485303253,0.12788075516008,-1.37634354074495,0.401350883102097,-1.10664175297417,0.401350883102097,"not restored","not restored"
"Enterobacterales","Male","week 10",0.0898129421554649,0.93019458068871,-1.55927058445442,0.295578510836574,-0.2312845882097,0.821147111354561,"not restored","not restored"
"Erysipelotrichales","Female","week 5",-3.97705311801536,0.0082274593508067,1.18823731049979,0.562047628823407,0.105957591184772,0.917470457219162,"not restored","not restored"
"Erysipelotrichales","Female","week 10",0.256635551083666,0.805537587454923,-0.916941811641519,0.762405504382343,0.915897950825881,0.762405504382343,"not restored","not restored"
"Erysipelotrichales","Male","week 5",0.355399426512247,0.725675238457922,-1.35768191094951,0.39353542583972,-0.980880456557509,0.39353542583972,"not restored","not restored"
"Erysipelotrichales","Male","week 10",0.898386070742626,0.389034071996764,-0.603200750002065,0.807519526328271,-0.868201563185207,0.807519526328271,"not restored","not restored"
"Eubacteriales","Female","week 10",0.994149249779877,0.80797594402678,-1.32888242741399,0.614959893335435,-1.29452306335184,0.614959893335435,"not restored","not restored"
"Lachnospirales","Female","week 5",3.48101170934072,0.00459353767799138,0.751355407270109,0.664197867347114,1.0167796749327,0.664197867347114,"not restored","not restored"
"Lachnospirales","Female","week 10",0.0910558567957415,0.928300324117919,-0.272424205548618,0.906222618877747,-0.782303807158215,0.906222618877747,"not restored","not restored"
"Lachnospirales","Male","week 5",2.2351645682509,0.0984011555079152,2.46873446555323,0.0720645817211309,0.116761525928126,0.909334732925799,"not restored","not restored"
"Lachnospirales","Male","week 10",0.581346769918877,0.566955341993941,0.450012799340286,1,0.514073302310452,1,"not restored","not restored"
"Lactobacillales","Female","week 5",-3.87730885182303,0.000982866735892299,-0.944520581546308,0.726538316642939,-0.232996748296347,0.819628243224437,"not restored","not restored"
"Lactobacillales","Female","week 10",1.42717896177929,0.232544889293721,-2.99472830788597,0.0101886244194385,-1.59378685730177,0.12023908986262,"not restored","not restored"
"Lactobacillales","Male","week 5",-2.61603898193127,0.055385770971815,-1.3348332262448,0.288322021409814,-1.57979966677521,0.288322021409814,"not restored","not restored"
"Lactobacillales","Male","week 10",0.195465332270095,0.849646491415017,-1.69734276799548,0.228113555430571,-1.33076837693348,0.228113555430571,"not restored","not restored"
"Monoglobales","Female","week 5",-0.932628385683775,0.38804064593246,-1.97370906586868,0.150366152327602,-1.18986983506018,0.260122646596427,"not restored","not restored"
"Monoglobales","Female","week 10",-0.372069349744727,0.722169336858886,-1.7395883053827,0.238477387270159,0.212519985432451,0.836373268348919,"not restored","not restored"
"Monoglobales","Male","week 5",-1.04137542307142,0.30902845593668,-0.119636150340024,1,0.381857564809492,1,"not restored","not restored"
"Monoglobales","Male","week 10",0.410226764177186,0.68560716763978,-1.39432940613365,0.376898915783479,0.635297984861345,0.536655991312903,"not restored","not restored"
"Oscillospirales","Female","week 5",4.25418514785879,0.0131028270667098,-4.70554262856292,0.00155939689623192,-0.345213302109563,0.736790798027644,"restored","not restored"
"Oscillospirales","Female","week 10",0.79948902115688,0.433955920271617,-6.29178983754556,7.21753015403339e-07,-2.16008534802312,0.0379057673177023,"not restored","not restored"
"Oscillospirales","Male","week 5",1.80809464076602,0.107825907101942,-1.62170919695845,0.115191447612096,2.96710989397271,0.0170426932198957,"not restored","not restored"
"Oscillospirales","Male","week 10",1.05827062456564,0.301683638589346,-4.61403761552395,0.00151123475354462,1.18968221310106,0.258075271472746,"not restored","not restored"
"Peptococcales","Female","week 5",4.24022718621727,0.0138520059051073,-3.07134405655003,0.0105828618663465,0.891988147015853,0.382665500819495,"restored","not restored"
"Peptococcales","Female","week 10",0.0906860731563091,0.928562658025379,-2.08773708490913,0.0887725647630363,-1.15243504128009,0.257180991825984,"not restored","not restored"
"Peptococcales","Male","week 5",2.96817296712138,0.0342620984862013,-0.379995837571697,0.71653131504023,1.31214893769828,0.455143695149246,"not restored","not restored"
"Peptococcales","Male","week 10",1.9368678584328,0.0988946257414074,-2.46571129038215,0.0629257653029644,0.281850617482238,0.783188681703241,"not restored","not restored"
"Peptostreptococcales-Tissierellales","Female","week 5",6.13799082208187,7.07290537770126e-06,-7.16923971521378,1.54847281387772e-07,-4.74990165891833,6.07007215566835e-05,"restored","restored"
"Peptostreptococcales-Tissierellales","Female","week 10",1.85427607807897,0.0771545975096996,-3.37872825989183,0.0136749011707354,-0.126684144108349,0.901554219382366,"not restored","not restored"
"Peptostreptococcales-Tissierellales","Male","week 5",4.99831816661818,0.00103900214414789,-4.69528159100863,0.00103609455075224,-1.35400705119467,0.199494327015973,"restored","not restored"
"Peptostreptococcales-Tissierellales","Male","week 10",-1.19094364171415,0.266131772398579,-1.87907328098269,0.166323536161759,1.4186703355403,0.179497985173098,"not restored","not restored"
"Rhizobiales","Male","week 10",0.98327279521404,1,-1.22614288220272,1,-1.20454578400334,1,"not restored","not restored"
"Rickettsiales","Female","week 5",0.778532652463901,0.444548564994163,-3.72179489826379,0.00142629375549521,-1.56281840837703,0.12735636944505,"not restored","not restored"
"Rickettsiales","Female","week 10",1.01815095645807,0.319741096837897,-3.48396435850352,0.00426250441292223,-0.338902431423661,0.736769966675576,"not restored","not restored"
"Rickettsiales","Male","week 5",0.23506271695846,0.819006266086433,-0.822741549536336,0.857347351737862,0.615265893126123,0.857347351737862,"not restored","not restored"
"Rickettsiales","Male","week 10",0.305873590047391,0.766703004902795,-2.86126595848469,0.0258760550511924,1.12224485605374,0.280247522045525,"not restored","not restored"
