"phylum","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Firmicutes","Male","week 10",1.6144038835732,0.120692382795029,-0.0175151681177731,0.140598745407117,0.101783541923129,NA,1.6144038835732,-3.64383690622205,0.0117149618080662,-0.245813228537222,-0.0565618921173853,0.321827615250447,0.429357897516446,-3.64383690622205,0.0591933269722757,0.954001075726423,-0.0922424560792688,0.0972548462515558,0.321827615250447,0.429357897516446,0.0591933269722757,"not restored","not restored"
"Patescibacteria","Female","week 5",-0.748637029376497,0.479272080518015,-0.000253031326954148,0.000131977418731046,0.0667645053777092,NA,-0.748637029376497,2.10200186305842,0.264572027348649,-3.77814144225297e-05,0.000390630637210961,0.151408525145932,NA,2.10200186305842,0.157589805213837,0.880127594695921,-0.000189391988076773,0.000215226973054339,0.151408525145932,NA,0.157589805213837,"not restored","not restored"
"Patescibacteria","Female","week 10",-0.884083548908819,0.403982861551535,-0.000462256340309937,0.000208042634201033,0.15536463692901,NA,-0.884083548908819,-1.1420745485508,0.450921879144276,-0.000132727289950376,3.72205327612687e-05,0.0496095095453038,NA,-1.1420745485508,-1.23455470122432,0.450921879144276,-0.000133941581582148,3.27059692445902e-05,0.0496095095453038,NA,-1.23455470122432,"not restored","not restored"
"Patescibacteria","Male","week 5",0.173914019512374,0.866099037489001,-0.00016570121856016,0.00019291926482495,0.00134954310872002,NA,0.173914019512374,1.88294040251163,0.253686761232964,-3.64132757098777e-05,0.000493908910370957,0.257909440599485,NA,1.88294040251163,-0.497840154210684,0.834052438899032,-0.000327793749428012,0.000205566282147082,0.257909440599485,NA,-0.497840154210684,"not restored","not restored"
"Patescibacteria","Male","week 10",-1.99438427468239,0.0784658063116826,-0.000539891517607469,3.55380763878269e-05,0.179293470700505,0.74825736928186,-1.99438427468239,-0.0530944462111286,0.958509924286906,-0.000196303650077941,0.000186940086901654,0.15265145029147,NA,-0.0530944462111286,1.2287253256404,0.724755117739867,-8.32741108438529e-05,0.000301403760597678,0.15265145029147,NA,1.2287253256404,"not restored","not restored"
"Proteobacteria","Female","week 5",0.0326523214617382,0.974286746555614,-0.000734315307603906,0.000757616721292893,7.4160314070958e-05,NA,0.0326523214617382,7.33425080712473,0.00145850702644095,0.00557808501539027,0.0113527498464113,0.704204166013018,0.739389884714007,7.33425080712473,0.306708385700455,1,-0.00240468212756363,0.00309426050864487,0.704204166013018,0.739389884714007,0.306708385700455,"not restored","not restored"
"Proteobacteria","Female","week 10",0.21096088509511,0.84079066862144,-0.00390960389886205,0.004621714994893,0.00100574536436323,0.963714969761153,0.21096088509511,4.53370043558122,0.000205575428925743,0.00488792810286458,0.0128300748700316,0.445290178388442,NA,4.53370043558122,-0.173176676852983,0.863539437458268,-0.00422577944663711,0.00356213619674828,0.445290178388442,NA,-0.173176676852983,"not restored","not restored"
"Proteobacteria","Male","week 5",-0.311682991777402,0.762671787765676,-0.00592170277711259,0.00449554163996542,0.00549517542793031,0.39211871767097,-0.311682991777402,1.74629977310731,0.306719505377025,-0.00110003676824077,0.0108344119429979,0.217895344904509,NA,1.74629977310731,0.316444437673604,0.756128155592518,-0.00510745361494963,0.00688410986553629,0.217895344904509,NA,0.316444437673604,"not restored","not restored"
"Proteobacteria","Male","week 10",-1.9225373662248,0.0897614633849046,-0.00348729361942769,0.000295864036654472,0.165165698096351,0.734591166651064,-1.9225373662248,6.62426009247865,0.000127606301858926,0.00795943028570252,0.0159200298686586,0.602101525844725,0.707043376465855,6.62426009247865,0.450251634684022,1,-0.00316549549146499,0.00482090236607364,0.602101525844725,0.707043376465855,0.450251634684022,"not restored","not restored"
"Verrucomicrobiota","Female","week 5",0.070368828629194,0.946265572681153,-0.0674651106411831,0.0714250326471178,0.000223516601261044,0.456193109186422,0.070368828629194,1.70873715650428,0.363215582878368,-0.020906539866607,0.151455935344821,0.112190202431121,0.572582897899616,1.70873715650428,0.726086098374489,0.483767606620442,-0.0563038823739849,0.111186429928895,0.112190202431121,0.572582897899616,0.726086098374489,"not restored","not restored"
"Verrucomicrobiota","Female","week 10",0.90084352915004,0.378373266379196,-0.0119971794312053,0.0302395632451313,0.0398265392216975,NA,0.90084352915004,2.65030046182564,0.0688862392544027,0.0282891646648705,0.310035417892938,0.386467618635524,0.952074305688309,2.65030046182564,-0.103201487337735,1,-0.143179524246538,0.130276225995801,0.386467618635524,0.952074305688309,-0.103201487337735,"not restored","not restored"
"Verrucomicrobiota","Male","week 5",1.67834600951467,0.244698185701967,-0.0352855692805836,0.258109001884588,0.378578153499475,NA,1.67834600951467,-0.508592810066525,1,-0.164721112695217,0.103225658069638,0.0208387207849817,0.540722287727009,-0.508592810066525,0.198498827788122,1,-0.121886752372282,0.146069589948735,0.0208387207849817,0.540722287727009,0.198498827788122,"not restored","not restored"
"Verrucomicrobiota","Male","week 10",0.156622018447212,0.879048982730601,-0.0972865642091284,0.111725747087934,0.00177698143741484,0.65601756802517,0.156622018447212,1.59544137786415,0.417897198427163,-0.031800614329008,0.198364776450082,0.12136191963427,0.838869677674943,1.59544137786415,-0.0596276669756443,0.953471678157681,-0.118700994560637,0.11240383501338,0.12136191963427,0.838869677674943,-0.0596276669756443,"not restored","not restored"
