"order","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Acholeplasmatales","Female","week 5",NA,NA,NA,NA,NA,NA,NA,1.24316312101612,0.66693705655736,-8.59777398384337e-06,3.56886056723762e-05,0.0548316346277899,NA,1.24316312101612,-1.01638476397806e-16,1,-2.17131840435959e-05,2.17131840435959e-05,0.0548316346277899,NA,-1.01638476397806e-16,"not restored","not restored"
"Acholeplasmatales","Female","week 10",NA,NA,NA,NA,NA,NA,NA,-6.69433041052043e-10,1,-1.80716800991462e-05,1.80716800872404e-05,0.083508412307905,NA,-6.69433041052043e-10,1.5580016932697,0.385481288925063,-4.13530788798182e-06,3.13061666938188e-05,0.083508412307905,NA,1.5580016932697,"not restored","not restored"
"Acholeplasmatales","Male","week 5",-0.987248640096646,0.405290491616853,-8.37990663215559e-05,3.27545972687484e-05,0.0456392000317273,NA,-0.987248640096646,1.22636226234149,0.744213355903948,-2.0794760377626e-05,7.17555524399618e-05,0.0543972243033006,NA,1.22636226234149,0.849572367526302,0.826850026933675,-2.84154318691983e-05,6.42411824469861e-05,0.0543972243033006,NA,0.849572367526302,"not restored","not restored"
"Bacteroidales","Female","week 5",-1.90285683340219,0.0707464966725549,-0.165568436986557,0.00730760465069265,0.170812025906757,NA,-1.90285683340219,5.02202110890118,3.21705634653778e-05,0.11455194194175,0.270281005494866,0.433814480943098,NA,5.02202110890118,1.23846739548644,0.224025745172561,-0.0298226080721587,0.122882302291431,0.433814480943098,NA,1.23846739548644,"not restored","not restored"
"Bacteroidales","Female","week 10",-1.86502815656802,0.075572165349428,-0.203168236750992,0.0107722052351628,0.131365158661243,NA,-1.86502815656802,0.885189683493191,0.397037637119853,-0.0897882507657869,0.207894643372457,0.1061368402858,NA,0.885189683493191,1.45641378221735,0.349586014100389,-0.0490156659205479,0.236843229541642,0.1061368402858,NA,1.45641378221735,"not restored","not restored"
"Bacteroidales","Male","week 5",-1.37868422394244,0.201145669371208,-0.168039817339416,0.0407220953113099,0.0452492586971294,0.685245373503086,-1.37868422394244,-1.31492959466618,0.439727424848732,-0.161795422144266,0.0424136790457738,0.0405848700649333,0.564129809751369,-1.31492959466618,-0.315370529366279,0.758735866810072,-0.118515797849235,0.089001841117389,0.0405848700649333,0.564129809751369,-0.315370529366279,"not restored","not restored"
"Bacteroidales","Male","week 10",0.087198853937101,0.932410340700589,-0.157394149301148,0.170027938784323,0.000411092718590985,0.42448067400671,0.087198853937101,-1.10760477570284,0.553223435967358,-0.136971759193987,0.0405770308295918,0.0848777786836856,NA,-1.10760477570284,0.570476243162295,0.57231801681148,-0.0666640608512243,0.118545943869776,0.0848777786836856,NA,0.570476243162295,"not restored","not restored"
"Bifidobacteriales","Female","week 5",-2.69344162826953,0.063721689856206,-0.198076128215278,-0.0122398375788195,0.335023683041878,0.877654588039491,-2.69344162826953,2.68634370260329,0.0621112829730343,0.00764631867284942,0.0757030902352479,0.545648298292916,NA,2.68634370260329,0.653868610509228,1,-0.0229469464133977,0.0424548199484113,0.545648298292916,NA,0.653868610509228,"not restored","not restored"
"Bifidobacteriales","Female","week 10",-0.680482336227629,0.520324045063079,-0.107586407607866,0.0603133999302076,0.0320360692193623,0.548355894750881,-0.680482336227629,2.69760525737817,0.0773853750550506,0.0109453504559884,0.131644826151383,0.434387972251155,NA,2.69760525737817,0.141958338228359,0.890340687639286,-0.0542775603875843,0.0615071057130979,0.434387972251155,NA,0.141958338228359,"not restored","not restored"
"Bifidobacteriales","Male","week 5",-5.27394391569328,0.00145825059828621,-0.253412259360132,-0.0993979471482942,0.600672946068367,0.847376509860517,-5.27394391569328,5.03064008129963,0.00106223248173204,0.0685529350753236,0.17460467690098,0.603804416081099,0.826721885109038,5.03064008129963,0.0653569212689986,1,-0.0515026224804665,0.0546747726729752,0.603804416081099,0.826721885109038,0.0653569212689986,"restored","not restored"
"Bifidobacteriales","Male","week 10",-1.3608155377097,0.209717943148728,-0.184405306356262,0.047137657618858,0.12125284884483,0.826927396506772,-1.3608155377097,3.66797012049178,0.00858366594373298,0.0477652808828019,0.184835123455406,0.936468524976848,NA,3.66797012049178,-0.829693649149091,0.421709428141919,-0.0949026883339075,0.0422407446774614,0.936468524976848,NA,-0.829693649149091,"not restored","not restored"
"Burkholderiales","Female","week 5",-0.728522372620864,0.580325437313515,-0.00206161219355657,0.00111080544513997,0.0350331098469568,0.502734048054367,-0.728522372620864,7.46192937050877,0.00141132616142718,0.00571820472799788,0.0115139135078206,0.709499037800209,0.74308067138553,7.46192937050877,0.366410794441794,1,-0.0023447502918737,0.00316864841230039,0.709499037800209,0.74308067138553,0.366410794441794,"not restored","not restored"
"Burkholderiales","Female","week 10",-0.265825345805363,0.798742878018072,-0.00673185074254757,0.00539486641962022,0.00508980541325628,0.990854435009118,-0.265825345805363,4.99048494821008,5.30174043637648e-05,0.00569705405188424,0.0135245495211607,0.491448855041864,NA,4.99048494821008,-0.159867105912328,1,-0.00413964275702583,0.00353584803920325,0.491448855041864,NA,-0.159867105912328,"not restored","not restored"
"Burkholderiales","Male","week 5",0.0343229106833486,0.973303406410578,-0.00503946206602681,0.00519687874580856,0.00010538281065475,NA,0.0343229106833486,1.76904081773017,0.294911665293036,-0.00104995256601265,0.0110233580203707,0.227061575911258,NA,1.76904081773017,0.296132853572881,0.771296605233965,-0.00522432678255294,0.00690568105633256,0.227061575911258,NA,0.296132853572881,"not restored","not restored"
"Burkholderiales","Male","week 10",-2.14639949080296,0.121719312905331,-0.00349204487201319,9.58834612475013e-05,0.18743201329149,0.728761280350639,-2.14639949080296,6.84158965676808,9.49882786330577e-05,0.00840729056210744,0.0164182998179987,0.624069677226798,0.724838207930534,6.84158965676808,0.370206547823015,1,-0.00333192805079209,0.00470114882667512,0.624069677226798,0.724838207930534,0.370206547823015,"not restored","not restored"
"Chlamydiales","Female","week 5",NA,NA,NA,NA,NA,NA,NA,0.66675551606162,1,-6.40451235415719e-06,1.29697682065612e-05,0.0861185392646456,NA,0.66675551606162,1.60204609770386,0.330480090439622,-1.81637469541629e-06,1.77362229534976e-05,0.0861185392646456,NA,1.60204609770386,"not restored","not restored"
"Chlamydiales","Female","week 10",-0.533883988333385,0.622461537744462,-2.88689775687667e-05,1.96435511004595e-05,0.012959030899643,NA,-0.533883988333385,-1.24316312101612,0.575672319526178,-1.13055040376955e-05,4.74769696837952e-06,0.0548316346277899,NA,-1.24316312101612,-1.26778260252802,0.575672319526178,-1.11496328794276e-05,4.59182581011161e-06,0.0548316346277899,NA,-1.26778260252802,"not restored","not restored"
"Chlamydiales","Male","week 10",1.14643349685459,0.730792400359863,-8.06160552775608e-06,1.42971303572993e-05,0.0562439885208977,NA,1.14643349685459,-0.946048047182452,0.713779498047626,-8.79162684209355e-06,4.80926138207343e-06,0.057434179632749,NA,-0.946048047182452,-1.39446717444866,0.713779498047626,-9.9831083708001e-06,3.96258522149335e-06,0.057434179632749,NA,-1.39446717444866,"not restored","not restored"
"Christensenellales","Female","week 5",3.74202136203964,0.00225833447400366,0.000798811525145764,0.00278500629471055,0.37842413768395,NA,3.74202136203964,-6.81339883682581,1.54399572286684e-07,-0.00386961448356997,-0.0020915634182752,0.597559530645436,NA,-6.81339883682581,-1.19303686681032,0.241114081925977,-0.0013835320186052,0.000359990496414161,0.597559530645436,NA,-1.19303686681032,"restored","not restored"
"Christensenellales","Female","week 10",1.27358143682104,0.239407046451753,-0.000417523794875436,0.00143792017978809,0.0667879406497889,NA,1.27358143682104,-7.30721089807141,3.66004144346839e-08,-0.00257934853806099,-0.00145682764675857,0.599511777855124,NA,-7.30721089807141,-4.33115948409821,0.000124145555578254,-0.00172330165233961,-0.000622579358269053,0.599511777855124,NA,-4.33115948409821,"not restored","not restored"
"Christensenellales","Male","week 5",0.945737144288805,0.354554975041357,-0.000345632828519317,0.000925133573727642,0.0374321198432164,NA,0.945737144288805,-3.66895483626346,0.00281108473549866,-0.00150187157096324,-0.000427852941610886,0.535432476652631,NA,-3.66895483626346,2.24614744993178,0.0319382612146057,5.72293639432155e-05,0.00118538392044595,0.535432476652631,NA,2.24614744993178,"not restored","not restored"
"Christensenellales","Male","week 10",0.869728142063679,0.404911437186991,-0.000677175351273464,0.0015436273901106,0.0537396626572815,NA,0.869728142063679,-6.03847743260997,0.000539886416990803,-0.00259633879586707,-0.00118389800958796,0.531955568695469,0.741408401526839,-6.03847743260997,-0.538087580649037,0.601814658042807,-0.00088422185552701,0.00053869228241983,0.531955568695469,0.741408401526839,-0.538087580649037,"not restored","not restored"
