"family","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Enterococcaceae",0.856793002235943,0.823407160896861,-0.00106965638165727,0.0024050193802187,0.0510606510780973,0.102475712319664,0.856793002235943,-1.47508475507442,0.314934403119338,-0.00268790879403966,0.000470411170540887,0.104915984244296,NA,-1.47508475507442,-0.382159304865151,0.706817745703864,-0.00186641037499522,0.00129190958958533,0.104915984244296,NA,-0.382159304865151,"not restored","not restored"
"Erysipelatoclostridiaceae",3.25941188265531,0.0221570288896682,0.00352704270208622,0.020294840990683,0.366179665759396,0.5687808894467,3.25941188265531,-2.67880481659828,0.0335203363232819,-0.0193836381579596,-0.00223613352382586,0.264521217587044,0.276602712779821,-2.67880481659828,-1.62133996902603,0.126207580822437,-0.0151434821158099,0.00207214580216483,0.264521217587044,0.276602712779821,-1.62133996902603,"restored","not restored"
"Erysipelotrichaceae",-1.2556508044618,0.233141732561323,-0.109801811907885,0.0295140300933408,0.108163259423054,NA,-1.2556508044618,-0.609135674546246,1,-0.0589296915361691,0.0324386118747797,0.042782063990617,NA,-0.609135674546246,0.321633321994489,1,-0.0386902960582444,0.0526780073527114,0.042782063990617,NA,0.321633321994489,"not restored","not restored"
"Lachnospiraceae",3.02866190190831,0.0189160547739401,0.0420495605506181,0.257659896555801,0.413695872720771,NA,3.02866190190831,-2.431986266076,0.0513610407900284,-0.263181186665694,-0.0192216276900124,0.231306329764028,NA,-2.431986266076,-0.937233246974089,0.361044655221412,-0.17639565147382,0.0675639075017318,0.231306329764028,NA,-0.937233246974089,"not restored","not restored"
"Lactobacillaceae",-1.5637111522473,0.150194731480244,-0.162136719540178,0.028846967118836,0.152366372453374,0.195602969767481,-1.5637111522473,-0.684174724179593,0.544302181355249,-0.0696194057063537,0.0356998998716122,0.0569476880539695,0.14593032810773,-0.684174724179593,-1.13924790206177,0.544302181355249,-0.0806656770590314,0.0244134202597289,0.0569476880539695,0.14593032810773,-1.13924790206177,"not restored","not restored"
"Marinifilaceae",-1.5746822385592,0.141312523659296,-0.0167004029569078,0.00268795459343169,0.160186328041043,NA,-1.5746822385592,-2.6420408174756,0.0331301436616059,-0.0179739608791295,-0.00205062700777213,0.274658594989576,NA,-2.6420408174756,-0.654212965003326,0.52124637945272,-0.0104408763649599,0.00548245750639868,0.274658594989576,NA,-0.654212965003326,"not restored","not restored"
"Mitochondria",0.65052887047806,0.562368027857293,-9.46594836198475e-05,0.000175244935804732,0.0315266252155398,NA,0.65052887047806,-1.7326298368257,0.263886933108115,-0.000196666746590831,2.06186347656561e-05,0.223240876031698,NA,-1.7326298368257,0.509291283562406,0.61815745764864,-8.22769121546921e-05,0.000133779076507161,0.223240876031698,NA,0.509291283562406,"not restored","not restored"
"Monoglobaceae",0.0576152431421928,0.955003386262208,-6.44409327985997e-05,6.7941577938953e-05,0.000255282217605098,NA,0.0576152431421928,-1.22474487139159,0.472916886412786,-6.0658900092864e-05,1.59811384487223e-05,0.0909090909090909,NA,-1.22474487139159,-1.22474487139159,0.472916886412786,-6.06589000928599e-05,1.59811384487183e-05,0.0909090909090909,NA,-1.22474487139159,"not restored","not restored"
"Moraxellaceae",NA,NA,NA,NA,NA,NA,NA,-0.0876981354222305,1,-0.000308909108427693,0.000284426859293009,0.10581729534762,NA,-0.0876981354222305,1.27870725731639,0.660920317580069,-0.000118419933123017,0.000474068987429766,0.10581729534762,NA,1.27870725731639,"not restored","not restored"
"Muribaculaceae",-3.93409839731912,0.00198393401942121,-0.187256303531975,-0.0537695174746575,0.543493325739109,NA,-3.93409839731912,4.06387319232681,0.00269991200859514,0.0715083788226778,0.227429733058638,0.486331067247247,0.529969189268068,4.06387319232681,0.349626210760137,0.731262495320884,-0.0649790885353875,0.0905991879276014,0.486331067247247,0.529969189268068,0.349626210760137,"restored","not restored"
