"metric","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"chao1",0.744162185840069,0.471099947517264,-63.8063754550198,21.234946883591,0.483080399223256,NA,-1.05171521456615,-4.15745141865408,0.00118318481816191,-1.05171521456615,0.306845319956157,"not restored","not restored"
"shannon",3.03135556652921,0.0104402543666067,-0.864753993478006,0.26342807600602,0.411264095264965,0.49758097647217,-1.1298033691216,-3.87455831291896,0.00265680858216324,-1.1298033691216,0.275192223292871,"restored","not restored"
"simpson",5.33804681260028,0.000177016547712961,-0.0845183459092394,0.0273229496787204,0.259295950143747,0.412098625081566,-1.08538392205651,-2.88456491449881,0.021850662119174,-1.08538392205651,0.294062468653411,"restored","not restored"
