"genus","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Akkermansia","Male","week 10",0.156557728141428,0.879098194658468,-0.097290906225184,0.111724357573079,0.00177551826148628,0.656026888721554,0.156557728141428,1.59547667371822,0.417874038922509,-0.0317989306784443,0.198367145147822,0.121360927875211,0.838872054707792,1.59547667371822,-0.0595660545804187,0.953519697905226,-0.118698121279585,0.112407451514223,0.121360927875211,0.838872054707792,-0.0595660545804187,"not restored","not restored"
"Alistipes","Female","week 5",0.653416903736322,0.520259459148095,-0.0179949442417677,0.0345503588487042,0.0251194051276916,NA,0.653416903736322,-3.77459262791219,0.0186285618795338,-0.0705533155019888,-0.0150203800665285,0.352665706566337,NA,-3.77459262791219,-0.75365058296001,0.476742077485276,-0.0347257176065615,0.0180600956650656,0.352665706566337,NA,-0.75365058296001,"not restored","not restored"
"Alistipes","Female","week 10",1.78897867183791,0.13507425564039,-0.0138462632106832,0.0757205794652247,0.0929561037994178,0.703128291282198,1.78897867183791,-4.76256220861767,0.00255705572524254,-0.132855011888073,-0.0465536464499813,0.467506050699981,0.752033241366904,-4.76256220861767,-0.52052880833978,0.614680122286789,-0.0526263298006655,0.0328235627875926,0.467506050699981,0.752033241366904,-0.52052880833978,"not restored","not restored"
"Alistipes","Male","week 5",-0.0937760286508397,0.927103970342192,-0.0510798481622292,0.0469434664886831,0.00345421921259033,NA,-0.0937760286508397,-1.60185979161947,0.267003822883211,-0.129891222399422,0.0193659428204361,0.752592751472678,NA,-1.60185979161947,0.753946958319902,0.464429968925491,-0.0486377612267382,0.100716349646587,0.752592751472678,NA,0.753946958319902,"not restored","not restored"
"Alistipes","Male","week 10",0.0400363359977784,0.969046501999176,-0.0490196330088937,0.0507514529767612,0.0001054698143037,0.594221526713317,0.0400363359977784,-3.76426220785945,0.0043735096661896,-0.137763632521747,-0.0375932298063296,0.668910901761055,NA,-3.76426220785945,1.51975540780985,0.150717504663058,-0.0146575963042043,0.0860558812996653,0.668910901761055,NA,1.51975540780985,"not restored","not restored"
"Anaerofustis","Female","week 10",0.994149249779877,0.80797594402678,-7.35367161569555e-06,1.32005464772204e-05,0.0430594387714037,NA,0.994149249779877,-1.32888242741399,0.614959893335435,-1.13269547430482e-05,5.06858532518317e-06,0.0615230655234664,NA,-1.32888242741399,-1.29452306335184,0.614959893335435,-1.09069213763665e-05,4.92653374876068e-06,0.0615230655234664,NA,-1.29452306335184,"not restored","not restored"
"Anaeroplasma","Female","week 5",NA,NA,NA,NA,NA,NA,NA,1.24316312101612,0.66693705655736,-8.59777398384337e-06,3.56886056723762e-05,0.0548316346277899,NA,1.24316312101612,-1.01638476397806e-16,1,-2.17131840435959e-05,2.17131840435959e-05,0.0548316346277899,NA,-1.01638476397806e-16,"not restored","not restored"
"Anaeroplasma","Female","week 10",NA,NA,NA,NA,NA,NA,NA,-6.69433174858929e-10,1,-1.80716800917639e-05,1.8071680079858e-05,0.083508412307905,NA,-6.69433174858929e-10,1.5580016932697,0.38548128865718,-4.13530788165473e-06,3.13061666874917e-05,0.083508412307905,NA,1.5580016932697,"not restored","not restored"
"Anaeroplasma","Male","week 5",-0.987248640096646,0.405290491616853,-8.37990663215559e-05,3.27545972687484e-05,0.0456392000317273,NA,-0.987248640096646,1.22636226234431,0.744213355849574,-2.07947603735982e-05,7.17555524359516e-05,0.0543972243031013,NA,1.22636226234431,0.849572367525363,0.826850026910258,-2.84154318652755e-05,6.4241182442954e-05,0.0543972243031013,NA,0.849572367525363,"not restored","not restored"
"Anaerotruncus","Female","week 5",3.13858152600385,0.0447976310698985,0.000774005759829778,0.00680570947905691,0.359053967968633,0.635301927616642,3.13858152600385,-2.62698256145278,0.0467779349999358,-0.00833670755548349,-0.00073979042327519,0.480031573466837,NA,-2.62698256145278,-0.0492597997809434,0.961574510961487,-0.00373102915989282,0.0035672127288856,0.480031573466837,NA,-0.0492597997809434,"restored","not restored"
"Anaerotruncus","Female","week 10",0.758394870600928,0.456303983950889,-0.00106028907312959,0.00228226279842771,0.0326179166631653,NA,0.758394870600928,-3.73295613980739,0.00907357171099424,-0.00438488206051465,-0.00108110825932943,0.353335563081495,NA,-3.73295613980739,-1.69919896345511,0.12023189599044,-0.00279642590533711,0.000377287845965519,0.353335563081495,NA,-1.69919896345511,"not restored","not restored"
"Anaerotruncus","Male","week 5",0.977161245751784,0.339112850324968,-0.000713001770841791,0.00198355924007828,0.0398601675805203,NA,0.977161245751784,-0.930000179570914,0.717854840419521,-0.0020788150054918,0.000773522208004167,0.034643411956455,NA,-0.930000179570914,0.0879245764290569,0.93045245850305,-0.00139148750759966,0.00151733711459325,0.034643411956455,NA,0.0879245764290569,"not restored","not restored"
"Anaerotruncus","Male","week 10",0.619949879968282,0.541851584329699,-0.00079188343750318,0.00146550020342144,0.0179151280421644,NA,0.619949879968282,-2.99607880400043,0.0101638363772706,-0.0026080155755002,-0.00049981548216182,0.343821393685195,NA,-2.99607880400043,1.10244008506204,0.278026685036847,-0.000490512579659129,0.00165351804405546,0.343821393685195,NA,1.10244008506204,"not restored","not restored"
"Anaerovorax","Female","week 5",0.58107519125484,0.567147202908385,-0.000108432408518444,0.000192787889778853,0.0192173150914522,NA,0.58107519125484,-1.58537575039031,0.244411058590887,-0.000286190214952451,3.53891709777628e-05,0.122330793515901,NA,-1.58537575039031,0.278145482247446,0.782741828712677,-0.000140106230631776,0.000184362252165421,0.122330793515901,NA,0.278145482247446,"not restored","not restored"
"Anaerovorax","Female","week 10",0.521387610640471,0.608138984957276,-8.819660543096e-05,0.000146699109965417,0.0127398737631704,NA,0.521387610640471,-3.7202917240394,0.00143232411576991,-0.000292957185081481,-8.59665268064664e-05,0.283393361110053,NA,-3.7202917240394,-1.35551874937961,0.184188990286458,-0.000169176943823655,3.37940957293759e-05,0.283393361110053,NA,-1.35551874937961,"not restored","not restored"
"Anaerovorax","Male","week 5",2.16091676522255,0.0840204757644807,8.62015867429794e-06,0.000427423872875167,0.175192144623359,NA,2.16091676522255,-1.73018883946251,0.187365271002044,-0.000376216063198975,3.09776856813119e-05,0.0896887749869687,NA,-1.73018883946251,-0.486527440205036,0.629923860941375,-0.000263699816599956,0.000162030865501337,0.0896887749869687,NA,-0.486527440205036,"not restored","not restored"
"Anaerovorax","Male","week 10",0.161914008814558,0.872851423429225,-0.000161716920051724,0.0001891068735073,0.00113853470687019,NA,0.161914008814558,-5.11963671609661,3.80381185588106e-05,-0.000385287680724911,-0.000166201219271619,0.442407248977693,NA,-5.11963671609661,-1.85819397983661,0.0718512438107106,-0.000213804928145815,9.580321690075e-06,0.442407248977693,NA,-1.85819397983661,"not restored","not restored"
"Asaccharospora","Female","week 5",1.10080368283112,0.77359332619602,-8.4582346121107e-06,1.41951309698926e-05,0.0537549792352099,NA,1.10080368283112,-1.02534310154614,0.70506329784394,-9.16177046732712e-06,4.78630935498089e-06,0.0593811797988671,NA,-1.02534310154614,-1.32640266334539,0.70506329784394,-9.8422205933502e-06,4.21530763892046e-06,0.0593811797988671,NA,-1.32640266334539,"not restored","not restored"
"Asaccharospora","Female","week 10",-0.896402605851919,0.456043537634791,-5.34667896657298e-05,2.68682153493131e-05,0.0459962075026203,NA,-0.896402605851919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not restored","not restored"
"Asaccharospora","Male","week 10",NA,NA,NA,NA,NA,NA,NA,1.71783046311108e-10,1,-2.93500432443136e-05,2.93500432489513e-05,0.165148753107309,NA,1.71783046311108e-10,1.29235606976795,0.658555815836472,-1.18985434410937e-05,4.70114339703651e-05,0.165148753107309,NA,1.29235606976795,"not restored","not restored"
"Bacteroides","Female","week 5",0.724539016945115,0.503549916901259,-0.0606446554534833,0.106753305963483,0.0186429583269337,0.717978754862735,0.724539016945115,2.87268586033741,0.0139275677417226,0.0214567328793377,0.125224420009636,0.188253432692202,NA,2.87268586033741,1.19757133316062,0.239366541765739,-0.0208956540549378,0.0808569347061783,0.188253432692202,NA,1.19757133316062,"not restored","not restored"
"Bacteroides","Female","week 10",-1.61674089194035,0.157251741452287,-0.153671406958289,0.0314625711761482,0.124152854604107,0.500177924913794,-1.61674089194035,1.58569087327783,0.278320719963685,-0.0473770852513123,0.299230043187927,0.364543155720663,NA,1.58569087327783,1.17094818339404,0.278320719963685,-0.0771975006118035,0.255989470799818,0.364543155720663,NA,1.17094818339404,"not restored","not restored"
"Bacteroides","Male","week 5",1.12258149293617,0.293071494278939,-0.045072174601983,0.131605130547835,0.0769129366066784,0.593950401783271,1.12258149293617,-1.65726080789748,0.2492410271432,-0.143536501441556,0.0199013472181611,0.120274003067273,0.66721622631451,-1.65726080789748,-0.906334622276254,0.383606067863943,-0.116051290149469,0.0481749019660759,0.120274003067273,0.66721622631451,-0.906334622276254,"not restored","not restored"
"Bacteroides","Male","week 10",1.56717288963868,0.147665007075111,-0.0267404171764963,0.15446189781531,0.336767417655423,NA,1.56717288963868,-1.62245415884999,0.183928701677798,-0.122188236807048,0.0201577048135454,0.0833666142232282,0.820446078877106,-1.62245415884999,-1.86827934557403,0.183928701677798,-0.132950392449154,0.0118903685305433,0.0833666142232282,0.820446078877106,-1.86827934557403,"not restored","not restored"
"Bifidobacterium","Female","week 5",-2.69340576281884,0.0637254373831955,-0.198077715789216,-0.0122384532235882,0.335011341893671,0.87766064259652,-2.69340576281884,2.68512441000953,0.0622391842137847,0.00762260126743357,0.0756281854850436,0.545040047872501,NA,2.68512441000953,0.654332145904947,1,-0.0229225108545443,0.0424300022838117,0.545040047872501,NA,0.654332145904947,"not restored","not restored"
"Bifidobacterium","Female","week 10",-0.680482336227629,0.520324045063079,-0.107586407607866,0.0603133999302076,0.0320360692193623,0.548355894750881,-0.680482336227629,2.69230756514794,0.0779722940049336,0.0108172826831696,0.131520118538127,0.433798379860219,NA,2.69230756514794,0.141390071803896,0.890773507814189,-0.0542935524566313,0.0614954743832347,0.433798379860219,NA,0.141390071803896,"not restored","not restored"
"Bifidobacterium","Male","week 5",-5.27394391569328,0.00145825059828103,-0.253412259360118,-0.0993979471483087,0.600672946068367,0.847376509860517,-5.27394391569328,5.03021731704064,0.00106304954262737,0.0685453900160754,0.174601934665226,0.603807320394475,0.826744532755556,5.03021731704064,0.0650476663015094,1,-0.0515127385291769,0.054670005547048,0.603807320394475,0.826744532755556,0.0650476663015094,"restored","not restored"
"Bifidobacterium","Male","week 10",-1.36060807125596,0.209781477054238,-0.184382517985041,0.0471452133121998,0.121225531318121,0.826895338444921,-1.36060807125596,3.66746639244248,0.00859184511397726,0.0477500770030408,0.184821982841125,0.936482143570983,NA,3.66746639244248,-0.830001655145528,0.421541425361218,-0.0949138803985804,0.0422315897823449,0.936482143570983,NA,-0.830001655145528,"not restored","not restored"
"Bilophila","Female","week 5",2.40742615521427,0.0809989701293733,0.000298383932971131,0.0148356346418438,0.310910969218535,0.657680577808729,2.40742615521427,-2.59949166442726,0.0484648258514669,-0.0175309592154314,-0.00148425091122776,0.509722283029486,NA,-2.59949166442726,0.280217599888349,0.784294354415995,-0.00672194056718734,0.00869480494791045,0.509722283029486,NA,0.280217599888349,"not restored","not restored"
"Bilophila","Female","week 10",0.680359670413536,0.503374535217453,-0.0047338213496487,0.00935623996297684,0.0197285711737807,NA,0.680359670413536,-3.57457481595375,0.00215038641683534,-0.0148764852344271,-0.00409224066305073,0.267930252757932,NA,-3.57457481595375,-2.36541837151704,0.0238545737473128,-0.0114416599983052,-0.000866838171747568,0.267930252757932,NA,-2.36541837151704,"not restored","not restored"
"Bilophila","Male","week 5",1.53160783091221,0.212170699832494,-0.00110240144839202,0.0048213869840907,0.120881663792251,0.413419669519365,1.53160783091221,-0.687279852938166,0.509242355083669,-0.00311481369914826,0.00166332971591639,0.242329727062889,0.52681541200417,-0.687279852938166,2.84785868301614,0.0336880748934546,0.000684271912820834,0.00551742237103247,0.242329727062889,0.52681541200417,2.84785868301614,"not restored","not restored"
"Bilophila","Male","week 10",0.99621498989326,0.329977522671295,-0.00159626888197468,0.00454753333323175,0.0413648685989113,NA,0.99621498989326,-2.41976993459748,0.0591754871778961,-0.0079356739470085,-0.000481260025535947,0.268560727963928,NA,-2.41976993459748,0.770175382572578,0.453169886877717,-0.00240840863957997,0.00513319751519566,0.268560727963928,NA,0.770175382572578,"not restored","not restored"
"Butyricicoccus","Female","week 5",-0.746652782141985,0.482700289810827,-0.000991740293073203,0.00052549281016735,0.0336236389765378,0.350833604586874,-0.746652782141985,-2.70356279644507,0.0874948506014062,-0.000686797666251345,-4.90892224311959e-05,0.294692813865417,0.764472091982755,-2.70356279644507,0.0856877471399552,0.933672698558,-0.000298476586222671,0.000321812808467216,0.294692813865417,0.764472091982755,0.0856877471399552,"not restored","not restored"
"Butyricicoccus","Female","week 10",0.934755473035097,0.3786879084344,-0.000463675611617366,0.00108595542572143,0.0700543745632334,NA,0.934755473035097,-3.70684403720615,0.0129634508571343,-0.00142316153594989,-0.000326121299852002,0.354688040686065,0.569793725158723,-3.70684403720615,-1.25591539224791,0.239600980148774,-0.000814885208503954,0.000230904400718821,0.354688040686065,0.569793725158723,-1.25591539224791,"not restored","not restored"
"Butyricicoccus","Male","week 5",-0.856066565869462,0.411869967088444,-0.000437665381234301,0.00019454155640369,0.0910738330088769,NA,-0.856066565869462,0.300320817940246,1,-0.000158557846518455,0.000209405258452259,0.00770155426553994,NA,0.300320817940246,0.283400016682865,1,-0.000160655250116938,0.000209033897258405,0.00770155426553994,NA,0.283400016682865,"not restored","not restored"
"Butyricicoccus","Male","week 10",1.56800734591358,0.153031237960618,-0.000191636480689637,0.00103594708857006,0.123948967663461,NA,1.56800734591358,-3.46893996274961,0.0097448514103949,-0.00143236546148719,-0.000324532476482594,0.433139594429393,NA,-3.46893996274961,-1.10837423120515,0.289327320444248,-0.000840010260852603,0.000273357198492456,0.433139594429393,NA,-1.10837423120515,"not restored","not restored"
"Candidatus Amphibiichlamydia","Female","week 5",NA,NA,NA,NA,NA,NA,NA,0.666755516035126,1,-6.40451235450506e-06,1.29697682066452e-05,0.0861185392619319,NA,0.666755516035126,1.60204609768273,0.33048009055269,-1.8163746967593e-06,1.77362229545907e-05,0.0861185392619319,NA,1.60204609768273,"not restored","not restored"
"Candidatus Arthromitus","Female","week 10",NA,NA,NA,NA,NA,NA,NA,-7.50058441317401e-10,1,-2.40459318653218e-05,2.40459318505313e-05,0.0576319111675288,NA,-7.50058441317401e-10,1.04298854980737,1,-1.29080999796313e-05,3.28732131074315e-05,0.0576319111675288,NA,1.04298854980737,"not restored","not restored"
"Candidatus Obscuribacter","Female","week 10",NA,NA,NA,NA,NA,NA,NA,0.084981665115118,1,-9.07163782605867e-06,9.56971101193455e-06,0.00453091833417906,NA,0.084981665115118,0.309585823466612,1,-8.81646404729623e-06,1.07268211921583e-05,0.00453091833417906,NA,0.309585823466612,"not restored","not restored"
"Candidatus Saccharimonas","Female","week 5",-0.748637029376497,0.479272080518015,-0.000253031326954148,0.000131977418731046,0.0667645053777092,NA,-0.748637029376497,2.10200186306397,0.264572027232256,-3.77814143777843e-05,0.000390630637164355,0.151408525144117,NA,2.10200186306397,0.157589805208528,0.880127594696044,-0.000189391988037604,0.00021522697301411,0.151408525144117,NA,0.157589805208528,"not restored","not restored"
"Candidatus Saccharimonas","Female","week 10",-0.884083548908819,0.403982861551535,-0.000462256340309937,0.000208042634201033,0.15536463692901,NA,-0.884083548908819,-1.1420745485508,0.450921879144276,-0.000132727289950376,3.72205327612687e-05,0.0496095095453038,NA,-1.1420745485508,-1.23455470122432,0.450921879144276,-0.000133941581582148,3.27059692445902e-05,0.0496095095453038,NA,-1.23455470122432,"not restored","not restored"
"Candidatus Saccharimonas","Male","week 5",0.173914019512374,0.866099037489001,-0.00016570121856016,0.00019291926482495,0.00134954310872002,NA,0.173914019512374,1.8829404025208,0.253686761220905,-3.64132757053276e-05,0.000493908910365856,0.257909440597688,NA,1.8829404025208,-0.497840154213752,0.834052438894242,-0.000327793749424058,0.000205566282143093,0.257909440597688,NA,-0.497840154213752,"not restored","not restored"
"Candidatus Saccharimonas","Male","week 10",-1.99438427468239,0.0784658063128173,-0.000539891517609044,3.5538076389401e-05,0.179293470700505,0.74825736928186,-1.99438427468239,-0.0530944462104547,0.958509924287276,-0.000196303650075653,0.000186940086899408,0.152651450292937,NA,-0.0530944462104547,1.22872532563166,0.724755117743985,-8.32741108436368e-05,0.00030140376059764,0.152651450292937,NA,1.22872532563166,"not restored","not restored"
"Candidatus Soleaferrea","Female","week 5",3.44461600278905,0.00463036901059478,9.40355778554702e-05,0.000378644673062977,0.414245811676539,NA,3.44461600278905,-2.63298473360396,0.049400886749333,-0.000472325592996784,-3.9880808828723e-05,0.278193375064676,NA,-2.63298473360396,-0.288427714758471,0.778443661067851,-0.000235056143256592,0.000180656935898464,0.278193375064676,NA,-0.288427714758471,"restored","not restored"
"Candidatus Soleaferrea","Female","week 10",0.768844763330809,0.597655011891221,-4.60183718810359e-05,9.19214314222084e-05,0.0378264764342027,NA,0.768844763330809,-0.771283072364928,0.621395298607152,-0.000168358760723696,8.22468672947355e-05,0.247698144218353,NA,-0.771283072364928,1.35064690342035,0.621395298607152,-4.75522716098922e-05,0.000192979883571333,0.247698144218353,NA,1.35064690342035,"not restored","not restored"
"Candidatus Soleaferrea","Male","week 5",2.07256227747376,0.100265629009901,-4.70416805355503e-08,0.000148807377604621,0.157370706849559,NA,2.07256227747376,-1.52853692651975,0.271260718457546,-0.000187106507416551,2.6468057159559e-05,0.0697817474180607,NA,-1.52853692651975,-0.26028372974207,0.796214804857236,-0.000122849937171002,9.49542373050966e-05,0.0697817474180607,NA,-0.26028372974207,"not restored","not restored"
"Candidatus Soleaferrea","Male","week 10",1.07412287605027,0.440651833644614,-5.49624730300016e-05,0.000172963200243091,0.0493410817363912,NA,1.07412287605027,-2.05172175034322,0.123926610275464,-0.000236564565414907,6.69973324530571e-06,0.316383600660742,NA,-2.05172175034322,0.903695783713755,0.382651642305035,-7.12413748854959e-05,0.000173643302685906,0.316383600660742,NA,0.903695783713755,"not restored","not restored"
"Caproiciproducens","Female","week 5",-0.896397751146445,0.378640730705632,-2.40842079424918e-05,9.05131597486663e-06,0.0459964274263076,NA,-0.896397751146445,-2.69187000224355e-08,1,-4.94382964773358e-05,4.94382953859526e-05,0.0576337171791132,NA,-2.69187000224355e-08,1.04296457033131,1,-2.65391339214404e-05,6.75873092019213e-05,0.0576337171791132,NA,1.04296457033131,"not restored","not restored"
