"phylum","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Actinobacteriota",-6.42870149646493,3.2611807860476e-05,-0.249289099207002,-0.123084421045678,0.760713601799154,NA,-6.42870149646493,2.91277359207693,0.0301959034507519,0.0263812822439322,0.166921182235381,0.365672498982929,0.36580098792774,2.91277359207693,-0.0552869057527944,0.956622110816656,-0.0724103472149632,0.0687413560100766,0.365672498982929,0.36580098792774,-0.0552869057527944,"restored","not restored"
"Bacteroidota",-2.1981980696013,0.0601561002438362,-0.222404315237704,0.00590699874847783,0.265392377133253,0.289222092982668,-2.1981980696013,4.87197902439933,0.000451368438594259,0.157325070268979,0.40349229686938,0.573952651786713,0.68719792218011,4.87197902439933,-0.486916988457964,0.63351544252421,-0.150271164915503,0.0944728214592948,0.573952651786713,0.68719792218011,-0.486916988457964,"not restored","not restored"
"Deferribacterota",1.71131992306536,0.225444634150899,-0.00451355589938772,0.0375584985084935,0.183858779778014,NA,1.71131992306536,-1.97149759263589,0.132945374801399,-0.0330884985160219,0.00121971984516137,0.160422285775005,0.231011068596923,-1.97149759263589,-1.38380678832401,0.186125148960792,-0.0282631813061,0.00597934326519641,0.160422285775005,0.231011068596923,-1.38380678832401,"not restored","not restored"
"Desulfobacterota",4.06210865408908,0.00183799040417258,0.00985639154765968,0.0326624022443083,0.559332889510377,NA,4.06210865408908,-4.39416762760114,0.000831929580279558,-0.0406912269318645,-0.014261023164805,0.479985772874237,0.509761942223511,-4.39416762760114,-2.17755945992271,0.0444627349845544,-0.0267720727439328,-0.000378710208331464,0.479985772874237,0.509761942223511,-2.17755945992271,"restored","restored"
"Firmicutes",3.0617283632925,0.0098673021623389,0.0677117500698938,0.401902789086959,0.418973134726189,NA,3.0617283632925,-5.12510364588425,0.000141749773868568,-0.575525705317429,-0.240864664367102,0.600733893123707,NA,-5.12510364588425,-0.868765115367861,0.396411911593173,-0.236524386854213,0.0981366540961136,0.600733893123707,NA,-0.868765115367861,"restored","not restored"
"Patescibacteria",-2.60787871645608,0.0228909848159115,-0.000882713763741944,-7.91240380048297e-05,0.34346854274633,NA,-2.60787871645608,0.677978143888943,1,-0.000301760954590173,0.000589315976844247,0.0648442864089892,NA,0.677978143888943,-0.494898617494418,1,-0.000550490656469903,0.000340586274964606,0.0648442864089892,NA,-0.494898617494418,"not restored","not restored"
"Proteobacteria",0.528897591578616,0.606521302247581,-0.00519219819328447,0.00852102510031273,0.0210646305531557,NA,0.528897591578616,2.75345943227085,0.0392263805047763,0.00309361158551458,0.0230141152789191,0.297787939161793,NA,2.75345943227085,0.555197938653855,0.585593677096796,-0.00732811643766208,0.0125923872557424,0.297787939161793,NA,0.555197938653855,"not restored","not restored"
"Verrucomicrobiota",0.868086154539147,0.402374340820821,-0.0338149793269389,0.0786058818494091,0.0547911106719938,NA,0.868086154539147,1.26764913778477,0.24055762594722,-0.0409419915765469,0.165511217740054,0.215019048423976,NA,1.26764913778477,2.33780320307942,0.0934339727593814,0.0116389079073755,0.218092117223977,0.215019048423976,NA,2.33780320307942,"not restored","not restored"
