"genus_species","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Bifidobacterium breve",0.265574246439111,0.884758176466218,-0.000238190401656984,0.000304316223061151,0.00539608432836638,NA,0.265574246439111,-0.434141097219271,1,-0.000269389104968973,0.000183593461687929,0.0113550791847843,0.381718784203685,-0.434141097219271,-0.564506325595107,1,-0.000278971670402414,0.000167716733421139,0.0113550791847843,0.381718784203685,-0.564506325595107,"not restored","not restored"
"Bifidobacterium longum",NA,NA,NA,NA,NA,NA,NA,-6.24614925280809e-16,1,-0.00135049956702481,0.00135049956702481,0.400947711024917,NA,-6.24614925280809e-16,3.16852496124024,0.0159532252420621,0.00068626881671478,0.00338726795076607,0.400947711024917,NA,3.16852496124024,"not restored","not restored"
"Bifidobacterium pseudolongum",-8.63736588821217,1.70092106239781e-06,-0.247766281835431,-0.147946120260141,0.851605101129997,NA,-8.63736588821217,4.38430192142804,0.00107301406819353,0.0494767607717734,0.140523211729375,0.562275651452776,NA,4.38430192142804,-0.0104756968850402,1,-0.0457502151063092,0.0452962358512857,0.562275651452776,NA,-0.0104756968850402,"restored","not restored"
