"genus_species","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Bifidobacterium longum","Female","week 5",NA,NA,NA,NA,NA,NA,NA,0.297727230611147,0.999681250006192,-0.00168119578586213,0.0021740073444041,0.171069355783764,0.800535389816944,0.297727230611147,2.89477754655631,0.0563794716816561,0.00052477279073004,0.00443433908571733,0.171069355783764,0.800535389816944,2.89477754655631,"not restored","not restored"
"Bifidobacterium longum","Female","week 10",NA,NA,NA,NA,NA,NA,NA,0.00897257160652359,1,-0.00260381217377235,0.0026250924804458,0.494008177247958,0.847592191142702,0.00897257160652359,3.48026835009704,0.0147382276002041,0.00147128808254276,0.00648125778661579,0.494008177247958,0.847592191142702,3.48026835009704,"not restored","not restored"
"Bifidobacterium longum","Male","week 5",NA,NA,NA,NA,NA,NA,NA,0.632549457119658,1,-0.000966219626375588,0.00176983016768565,0.416973050962274,NA,0.632549457119658,3.28070704401252,0.0165310135469043,0.000727580712503162,0.0034801027108558,0.416973050962274,NA,3.28070704401252,"not restored","not restored"
"Bifidobacterium longum","Male","week 10",-0.987248640085669,0.405290491752876,-3.30116335786033e-05,1.29032793656502e-05,0.0456392000341311,NA,-0.987248640085669,1.12185273433726e-15,1,-0.00108216610954012,0.00108216610954012,0.726153621383504,NA,1.12185273433726e-15,8.40480927976508,2.45493283558658e-09,0.00346058003590679,0.00566777447970433,0.726153621383504,NA,8.40480927976508,"not restored","not restored"
"Bifidobacterium pseudolongum","Female","week 5",-2.69340576281884,0.0637254373831955,-0.198077715789216,-0.0122384532235882,0.335011341893671,0.87766064259652,-2.69340576281884,2.65824830283296,0.0654174225786886,0.00727302925597682,0.0759887836248142,0.55463167359155,NA,2.65824830283296,0.442367869887659,1,-0.0263558719022607,0.0396791637714787,0.55463167359155,NA,0.442367869887659,"not restored","not restored"
"Bifidobacterium pseudolongum","Female","week 10",-0.680172062441554,0.520507430609414,-0.107585966414257,0.0603298384286676,0.0320125147950806,0.548401244706635,-0.680172062441554,2.76591178596615,0.0717118804244269,0.0121989559808765,0.131595740525593,0.43978471622039,NA,2.76591178596615,0.00762052688284617,0.994096467996266,-0.0570514167584989,0.0574333128649482,0.43978471622039,NA,0.00762052688284617,"not restored","not restored"
"Bifidobacterium pseudolongum","Male","week 5",-5.27394391569328,0.00145825059828621,-0.253412259360132,-0.0993979471482942,0.600672946068367,0.847376509860517,-5.27394391569328,4.98335363810038,0.00114213904136836,0.0678144835373302,0.174477156157662,0.601960226251423,0.821464778204538,4.98335363810038,-0.0217084968648039,1,-0.0539393655851242,0.0528793540897231,0.601960226251423,0.821464778204538,-0.0217084968648039,"restored","not restored"
"Bifidobacterium pseudolongum","Male","week 10",-1.36042886043183,0.209835663060721,-0.184377967997194,0.0471553144773794,0.121187980178751,0.826893044317327,-1.36042886043183,3.66480301743378,0.00863535576843088,0.0476963525861103,0.18485620350979,0.939170882931148,NA,3.66480301743378,-0.972628002938538,0.348515723844803,-0.0995039259354494,0.0377292877782511,0.939170882931148,NA,-0.972628002938538,"not restored","not restored"
