"sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"Female","week 5",5.4630677944372,0.012074440808606,-11.2743811618603,5.76164444737496e-05,-1.90876755395948,0.097871740230458,"restored","not restored"
"Female","week 10",0.98112413578606,0.362267757055227,-8.80075383335484,1.03431335394447e-05,-0.170503556211648,0.867838709752609,"not restored","not restored"
"Male","week 5",2.1250695901216,0.117492562965992,-5.89076133669874,0.000369281978207246,0.88891701532745,0.392596731116231,"not restored","not restored"
"Male","week 10",1.50135187460043,0.341550462195849,-23.7960733828921,1.90942225739299e-09,1.82687925038589,0.0964948410513496,"not restored","not restored"
