"metric","test","sex","timepoint",".y..x","group1","group2","n1.x","n2.x","statistic","p","p.adj","p.adj.signif",".y..y","effsize","n1.y","n2.y","magnitude"
"Shannon","Wilcoxon rank-sum","Female","week 5","Shannon","HFHS FOS+GOS","HFHS B. longum APC1472",12,13,70,0.689,0.81,"ns","Shannon",0.0870285269152674,12,13,"small"
"Shannon","Wilcoxon rank-sum","Female","week 10","Shannon","Control Vehicle","HFHS Vehicle",12,12,57,0.41,0.41,"ns","Shannon",0.176776695296637,12,12,"small"
"Shannon","Wilcoxon rank-sum","Female","week 10","Shannon","Control Vehicle","HFHS FOS+GOS",12,12,125,0.001,0.009,"**","Shannon",0.624610990048117,12,12,"large"
"Shannon","Wilcoxon rank-sum","Female","week 10","Shannon","Control Vehicle","HFHS B. longum APC1472",12,13,114,0.052,0.09,"ns","Shannon",0.391628371118703,12,13,"moderate"
"Shannon","Wilcoxon rank-sum","Female","week 10","Shannon","HFHS Vehicle","HFHS FOS+GOS",12,12,122,0.003,0.009,"**","Shannon",0.58925565098879,12,12,"large"
"Shannon","Wilcoxon rank-sum","Female","week 10","Shannon","HFHS Vehicle","HFHS B. longum APC1472",12,13,113,0.06,0.09,"ns","Shannon",0.380749805254295,12,13,"moderate"
"Shannon","Wilcoxon rank-sum","Female","week 10","Shannon","HFHS FOS+GOS","HFHS B. longum APC1472",12,13,49,0.123,0.148,"ns","Shannon",0.315478410067844,12,13,"moderate"
"Shannon","Wilcoxon rank-sum","Male","week 5","Shannon","Control Vehicle","HFHS Vehicle",12,12,50,0.219,0.263,"ns","Shannon",0.259272486435068,12,12,"small"
"Shannon","Wilcoxon rank-sum","Male","week 5","Shannon","Control Vehicle","HFHS FOS+GOS",12,13,29,0.007,0.04,"*","Shannon",0.533049727356013,12,13,"large"
"Shannon","Wilcoxon rank-sum","Male","week 5","Shannon","Control Vehicle","HFHS B. longum APC1472",12,12,43,0.101,0.152,"ns","Shannon",0.341768277573498,12,12,"moderate"
"Shannon","Wilcoxon rank-sum","Male","week 5","Shannon","HFHS Vehicle","HFHS FOS+GOS",12,13,43,0.06,0.152,"ns","Shannon",0.380749805254295,12,13,"moderate"
"Shannon","Wilcoxon rank-sum","Male","week 5","Shannon","HFHS Vehicle","HFHS B. longum APC1472",12,12,67,0.799,0.799,"ns","Shannon",0.058925565098879,12,12,"small"
"Shannon","Wilcoxon rank-sum","Male","week 5","Shannon","HFHS FOS+GOS","HFHS B. longum APC1472",13,12,111,0.077,0.152,"ns","Shannon",0.358992673525478,13,12,"moderate"
"Shannon","Wilcoxon rank-sum","Male","week 10","Shannon","Control Vehicle","HFHS Vehicle",12,12,69,0.887,0.887,"ns","Shannon",0.0353553390593274,12,12,"small"
"Shannon","Wilcoxon rank-sum","Male","week 10","Shannon","Control Vehicle","HFHS FOS+GOS",12,13,109,0.098,0.274,"ns","Shannon",0.337235541796661,12,13,"moderate"
"Shannon","Wilcoxon rank-sum","Male","week 10","Shannon","Control Vehicle","HFHS B. longum APC1472",12,12,54,0.319,0.383,"ns","Shannon",0.212132034355964,12,12,"small"
"Shannon","Wilcoxon rank-sum","Male","week 10","Shannon","HFHS Vehicle","HFHS FOS+GOS",12,13,106,0.137,0.274,"ns","Shannon",0.304599844203436,12,13,"moderate"
"Shannon","Wilcoxon rank-sum","Male","week 10","Shannon","HFHS Vehicle","HFHS B. longum APC1472",12,12,52,0.266,0.383,"ns","Shannon",0.235702260395516,12,12,"small"
