"sex","timepoint","Family",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Female","week 5","Akkermansiaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.236584093321876,1,"0.23658","ns","Wilcoxon","Abundance",0.247487373415292,12,12,"small"
"Female","week 5","Akkermansiaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.462763970575789,1,"0.46276","ns","Wilcoxon","Abundance",0.152299922101718,12,13,"small"
"Female","week 5","Akkermansiaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.531631442021847,1,"0.53163","ns","Wilcoxon","Abundance",0.130542790372901,12,13,"small"
"Female","week 10","Anaerofustaceae","Abundance","Control Vehicle","HFHS Vehicle",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 10","Anaerofustaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 10","Anaerofustaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.336668367610039,1,"0.33667","ns","Wilcoxon","Abundance",0.208166599946613,12,13,"small"
"Male","week 10","Anaerovoracaceae","Abundance","Control Vehicle","HFHS Vehicle",0.193930852282411,1,"0.19393","ns","Wilcoxon","Abundance",0.271057599454843,12,12,"small"
"Male","week 10","Anaerovoracaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.000262892459993936,0.22,"0.00026","***","Wilcoxon","Abundance",0.735401728703712,12,13,"large"
"Male","week 10","Anaerovoracaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0885337720142296,1,"0.08853","ns","Wilcoxon","Abundance",0.353553390593274,12,12,"moderate"
"Male","week 10","Anaerovoracaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",2.59241531758704e-05,0.023,"2.6e-05","****","Wilcoxon","Abundance",0.846818800163073,12,13,"large"
"Male","week 10","Anaerovoracaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.435730660031737,1,"0.43573","ns","Wilcoxon","Abundance",0.164991582276861,12,12,"small"
"Male","week 10","Anaerovoracaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",2.59241531758704e-05,0.023,"2.6e-05","****","Wilcoxon","Abundance",0.846818800163073,13,12,"large"
"Female","week 5","Anaerovoracaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0164808233724501,1,"0.01648","*","Wilcoxon","Abundance",0.49540572187682,12,12,"moderate"
