"sex","timepoint","Genus",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Female","week 5","ASF356","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00183954919898362,1,"0.00184","**","Wilcoxon","Abundance",0.642266096886863,12,12,"large"
"Female","week 5","ASF356","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.966025415429009,1,"0.96603","ns","Wilcoxon","Abundance",0.0170374810923996,12,13,"small"
"Female","week 5","ASF356","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00334255495353717,1,"0.00334","**","Wilcoxon","Abundance",0.592856888246083,12,13,"large"
"Female","week 10","ASF356","Abundance","Control Vehicle","HFHS Vehicle",1,1,"1.00000","ns","Wilcoxon","Abundance",0,12,12,"small"
"Female","week 10","ASF356","Abundance","Control Vehicle","HFHS FOS+GOS",0.000388676700160291,0.65,"0.00039","***","Wilcoxon","Abundance",0.730459144390832,12,12,"large"
"Female","week 10","ASF356","Abundance","Control Vehicle","HFHS B. longum APC1472",0.898322200968342,1,"0.89832","ns","Wilcoxon","Abundance",0.0340749621847993,12,13,"small"
"Female","week 10","ASF356","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000490380122016828,0.81,"0.00049","***","Wilcoxon","Abundance",0.71786502121168,12,12,"large"
"Female","week 10","ASF356","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.966025415429009,1,"0.96603","ns","Wilcoxon","Abundance",0.0170374810923996,12,13,"small"
"Female","week 10","ASF356","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000246536686244326,0.42,"0.00025","***","Wilcoxon","Abundance",0.739031533150315,12,13,"large"
"Male","week 10","ASF356","Abundance","Control Vehicle","HFHS Vehicle",0.108562329798835,1,"0.10856","ns","Wilcoxon","Abundance",0.333978370381169,12,12,"moderate"
"Male","week 10","ASF356","Abundance","Control Vehicle","HFHS FOS+GOS",0.0032623631635454,1,"0.00326","**","Wilcoxon","Abundance",0.593872924789688,12,13,"large"
"Male","week 10","ASF356","Abundance","Control Vehicle","HFHS B. longum APC1472",0.665822484145088,1,"0.66582","ns","Wilcoxon","Abundance",0.0944559238436421,12,12,"small"
"Male","week 10","ASF356","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000672792339483802,1,"0.00067","***","Wilcoxon","Abundance",0.685707140187364,12,13,"large"
"Male","week 10","ASF356","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.303540922686585,1,"0.30354","ns","Wilcoxon","Abundance",0.216791888364837,12,12,"small"
"Male","week 10","ASF356","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00199500554087149,1,"0.00200","**","Wilcoxon","Abundance",0.623764287095758,13,12,"large"
"Female","week 5","Acetatifactor","Abundance","Control Vehicle","HFHS Vehicle",0.000145754104177755,0.25,"0.00015","***","Wilcoxon","Abundance",0.781221490707891,12,12,"large"
"Female","week 5","Acetatifactor","Abundance","Control Vehicle","HFHS FOS+GOS",0.0880538820640584,1,"0.08805","ns","Wilcoxon","Abundance",0.354188786737556,12,12,"moderate"
"Female","week 5","Acetatifactor","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00389079782030987,1,"0.00389","**","Wilcoxon","Abundance",0.582875278034323,12,13,"large"
"Female","week 5","Acetatifactor","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0164808233724501,1,"0.01648","*","Wilcoxon","Abundance",0.49540572187682,12,12,"moderate"
"Female","week 5","Acetatifactor","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.430201002370349,1,"0.43020","ns","Wilcoxon","Abundance",0.163209877499545,12,13,"small"
"Female","week 5","Acetatifactor","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.133203208624273,1,"0.13320","ns","Wilcoxon","Abundance",0.305778184557795,12,13,"moderate"
"Male","week 5","Acetatifactor","Abundance","Control Vehicle","HFHS Vehicle",0.00373374027719773,1,"0.00373","**","Wilcoxon","Abundance",0.598220851009733,12,12,"large"
"Male","week 5","Acetatifactor","Abundance","Control Vehicle","HFHS FOS+GOS",5.39640445204203e-05,0.096,"5.4e-05","****","Wilcoxon","Abundance",0.813121302821256,12,13,"large"
"Male","week 5","Acetatifactor","Abundance","Control Vehicle","HFHS B. longum APC1472",0.000202947964008232,0.35,"0.00020","***","Wilcoxon","Abundance",0.764502213980344,12,12,"large"
"Male","week 5","Acetatifactor","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0864014127261665,1,"0.08640","ns","Wilcoxon","Abundance",0.348382197117563,12,13,"moderate"
"Male","week 5","Acetatifactor","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.118230139068776,1,"0.11823","ns","Wilcoxon","Abundance",0.324797458628435,12,12,"moderate"
"Male","week 5","Acetatifactor","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.605343339336507,1,"0.60534","ns","Wilcoxon","Abundance",0.108785658644084,13,12,"small"
"Female","week 10","Acetatifactor","Abundance","Control Vehicle","HFHS Vehicle",0.136092758377583,1,"0.13609","ns","Wilcoxon","Abundance",0.310212712689664,12,12,"moderate"
"Female","week 10","Acetatifactor","Abundance","Control Vehicle","HFHS FOS+GOS",0.00252582530586469,1,"0.00253","**","Wilcoxon","Abundance",0.623276679048906,12,12,"large"
"Female","week 10","Acetatifactor","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0860379106516222,1,"0.08604","ns","Wilcoxon","Abundance",0.348785495184822,12,13,"moderate"
"Female","week 10","Acetatifactor","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000802200902648342,1,"0.00080","***","Wilcoxon","Abundance",0.690810274017654,12,12,"large"
"Female","week 10","Acetatifactor","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.806490320563296,1,"0.80649","ns","Wilcoxon","Abundance",0.0544347182996192,12,13,"small"
"Female","week 10","Acetatifactor","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",1.05311479368857e-05,0.02,"1.1e-05","****","Wilcoxon","Abundance",0.88687914726232,12,13,"large"
"Male","week 10","Acetatifactor","Abundance","Control Vehicle","HFHS Vehicle",1,1,"1.00000","ns","Wilcoxon","Abundance",0.00593790945556408,12,12,"small"
"Male","week 10","Acetatifactor","Abundance","Control Vehicle","HFHS FOS+GOS",0.29811194108437,1,"0.29811","ns","Wilcoxon","Abundance",0.213574425172396,12,13,"small"
"Male","week 10","Acetatifactor","Abundance","Control Vehicle","HFHS B. longum APC1472",0.118230139068776,1,"0.11823","ns","Wilcoxon","Abundance",0.324797458628435,12,12,"moderate"
"Male","week 10","Acetatifactor","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.476517567424929,1,"0.47652","ns","Wilcoxon","Abundance",0.147859217427043,12,13,"small"
"Male","week 10","Acetatifactor","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.203039025220199,1,"0.20304","ns","Wilcoxon","Abundance",0.265743375241446,12,12,"small"
"Male","week 10","Acetatifactor","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.585769105123929,1,"0.58577","ns","Wilcoxon","Abundance",0.11444524060752,13,12,"small"
"Male","week 5","Acinetobacter","Abundance","Control Vehicle","HFHS FOS+GOS",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Male","week 5","Acinetobacter","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Male","week 5","Acinetobacter","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,13,12,"small"
"Female","week 10","Acinetobacter","Abundance","Control Vehicle","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Female","week 10","Acinetobacter","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Female","week 10","Acinetobacter","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
