"Family",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Peptostreptococcaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Peptostreptococcaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00635355847521916,1,"0.0064","**","Wilcoxon","Abundance",0.747577199336857,7,7,"large"
"Planococcaceae","Abundance","Control Vehicle","HFHS Vehicle",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Planococcaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Planococcaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Rikenellaceae","Abundance","Control Vehicle","HFHS Vehicle",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Rikenellaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Rikenellaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Rikenellaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Rikenellaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Rikenellaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Ruminococcaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Ruminococcaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Ruminococcaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.371093369522698,1,"0.3711","ns","Wilcoxon","Abundance",0.256120416285941,7,7,"small"
"Ruminococcaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Ruminococcaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Ruminococcaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00329451387658258,0.67,"0.0033","**","Wilcoxon","Abundance",0.80251063769595,7,7,"large"
"Saccharimonadaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0282080609586036,1,"0.0282","*","Wilcoxon","Abundance",0.604244783998431,7,7,"large"
"Saccharimonadaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0560987502411349,1,"0.0561","ns","Wilcoxon","Abundance",0.528774116604119,7,7,"large"
"Saccharimonadaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00372197306710855,0.75,"0.0037","**","Wilcoxon","Abundance",0.794183708472564,7,7,"large"
"Saccharimonadaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.722148138236639,1,"0.7221","ns","Wilcoxon","Abundance",0.118794056205853,7,7,"small"
"Saccharimonadaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.172954917988421,1,"0.1730","ns","Wilcoxon","Abundance",0.392232270276368,7,7,"moderate"
"Saccharimonadaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Staphylococcaceae","Abundance","Control Vehicle","HFHS Vehicle",0.137322858274425,1,"0.1373","ns","Wilcoxon","Abundance",0.414371497179578,7,7,"moderate"
"Staphylococcaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.136455274036041,1,"0.1365","ns","Wilcoxon","Abundance",0.417883794459227,7,7,"moderate"
"Staphylococcaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0174628052166114,7,7,"small"
"Staphylococcaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0140470283674153,1,"0.0140","*","Wilcoxon","Abundance",0.674642838425944,7,7,"large"
"Staphylococcaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.199349546367441,1,"0.1993","ns","Wilcoxon","Abundance",0.360155177198622,7,7,"moderate"
"Staphylococcaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0895009308722635,1,"0.0895","ns","Wilcoxon","Abundance",0.472728397900336,7,7,"moderate"
"Streptococcaceae","Abundance","Control Vehicle","HFHS Vehicle",0.946982638750123,1,"0.9470","ns","Wilcoxon","Abundance",0.0355438108234371,7,7,"small"
"Streptococcaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0307212324156618,1,"0.0307","*","Wilcoxon","Abundance",0.598849471616342,7,7,"large"
"Streptococcaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0182335902277282,7,7,"small"
"Streptococcaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0307212324156618,1,"0.0307","*","Wilcoxon","Abundance",0.598849471616342,7,7,"large"
"Streptococcaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.891467370962664,1,"0.8915","ns","Wilcoxon","Abundance",0.0547007706831847,7,7,"small"
"Streptococcaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0754126204649279,1,"0.0754","ns","Wilcoxon","Abundance",0.498935036064582,7,7,"moderate"
"Sutterellaceae","Abundance","Control Vehicle","HFHS Vehicle",0.891467370962664,1,"0.8915","ns","Wilcoxon","Abundance",0.0547007706831847,7,7,"small"
"Sutterellaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.00315890713941138,0.65,"0.0032","**","Wilcoxon","Abundance",0.806061587063584,7,7,"large"
"Sutterellaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.191281772131877,1,"0.1913","ns","Wilcoxon","Abundance",0.366718909548839,7,7,"moderate"
"Sutterellaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0200370024458742,1,"0.0200","*","Wilcoxon","Abundance",0.638822724818517,7,7,"large"
"Sutterellaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.594746046908559,1,"0.5947","ns","Wilcoxon","Abundance",0.159947148705467,7,7,"small"
"Sutterellaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0213077106716282,1,"0.0213","*","Wilcoxon","Abundance",0.632459085783536,7,7,"large"
"Tannerellaceae","Abundance","Control Vehicle","HFHS Vehicle",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Tannerellaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Tannerellaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Tannerellaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0966975676176362,1,"0.0967","ns","Wilcoxon","Abundance",0.461016749314695,7,7,"moderate"
"Tannerellaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.609280159304103,1,"0.6093","ns","Wilcoxon","Abundance",0.153672249771565,7,7,"small"
"Tannerellaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.125201029610315,1,"0.1252","ns","Wilcoxon","Abundance",0.426867360476569,7,7,"moderate"
"UCG-010","Abundance","Control Vehicle","HFHS Vehicle",0.898326787269238,1,"0.8983","ns","Wilcoxon","Abundance",0.0512240832571883,7,7,"small"
"UCG-010","Abundance","Control Vehicle","HFHS FOS+GOS",0.521065738191237,1,"0.5211","ns","Wilcoxon","Abundance",0.188652711865945,7,7,"small"
"UCG-010","Abundance","Control Vehicle","HFHS B. longum APC1472",0.159404993147933,1,"0.1594","ns","Wilcoxon","Abundance",0.39315024251409,7,7,"moderate"
"UCG-010","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.746689534752692,1,"0.7467","ns","Wilcoxon","Abundance",0.103592874294895,7,7,"small"
"UCG-010","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.368980409055662,1,"0.3690","ns","Wilcoxon","Abundance",0.257253697999016,7,7,"small"
"UCG-010","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.69502939426323,1,"0.6950","ns","Wilcoxon","Abundance",0.12223963651628,7,7,"small"
"Xanthomonadaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Xanthomonadaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Xanthomonadaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"[Clostridium] methylpentosum group","Abundance","Control Vehicle","HFHS Vehicle",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"[Clostridium] methylpentosum group","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"[Clostridium] methylpentosum group","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"[Eubacterium] coprostanoligenes group","Abundance","Control Vehicle","HFHS Vehicle",0.42356812798561,1,"0.4236","ns","Wilcoxon","Abundance",0.235262292420706,7,7,"small"
"[Eubacterium] coprostanoligenes group","Abundance","Control Vehicle","HFHS FOS+GOS",0.0499729998820132,1,"0.0500","*","Wilcoxon","Abundance",0.541346961714953,7,7,"large"
"[Eubacterium] coprostanoligenes group","Abundance","Control Vehicle","HFHS B. longum APC1472",0.765837207175087,1,"0.7658","ns","Wilcoxon","Abundance",0.0994961415379113,7,7,"small"
"[Eubacterium] coprostanoligenes group","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0140470283674153,1,"0.0140","*","Wilcoxon","Abundance",0.674642838425944,7,7,"large"
"[Eubacterium] coprostanoligenes group","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.593767798161571,1,"0.5938","ns","Wilcoxon","Abundance",0.166311678688194,7,7,"small"
"[Eubacterium] coprostanoligenes group","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0538060066107224,1,"0.0538","ns","Wilcoxon","Abundance",0.533157162351557,7,7,"large"
